species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,male,sub_adult,u. olhanen.,True,Climbing onto submerged logs.,"['Sea Sponge', 'Small Fish', 'Snail', 'Sea Anemone', 'Mussel']",5.0,5.454545454545454,5.216416232807891,7.478998702273069,5.457781854272205,1.9090909090909092,2022-10-27,37.1,-8.62,0
,male,pre_puberty,A farensis,,Scavenging near tidal pools.,"['Sea Star', 'Polychaete Worm']",6.0,2.8636363636363638,3.6740309560564524,4.786830755889366,2.9940854676698465,1.8181818181818181,2022-10-27,,,1
,male,pre_puberty,u. olhanen.,,Exploring new territory.,['Jellyfish'],5.0,2.1136363636363638,1.8414708367761732,2.675133010807247,2.1324694419770647,2.0,2022-10-27,,,2
,male,pre_puberty,u. olhanen.,,Hiding beneath rocks.,"['Small Fish', 'Barnacle', 'Polychaete Worm']",4.0,2.1136363636363638,2.4206913100776952,3.142385575978261,2.253440007584714,1.8181818181818181,2022-10-27,,,3
,female,sub_adult,A farensis,False,Social contact with other crabs.,"['Mussel', 'Sea Urchin', 'Jellyfish', 'Sea Anemone', 'Sea Sponge']",5.0,2.8363522900619236,3.2006791057715818,4.259610450035864,2.886552039213833,1.9090909090909092,2022-10-27,,,4
,male,adult,A farensis,,Escaping from aggressive fish.,"['Jellyfish', 'Sea Star']",5.0,1.6363636363636365,1.7693246223535761,2.6347350120074977,1.7464978802351079,2.0,2022-10-27,,,5
,female,adult,U. olhanensis,True,Struggling with entangled seaweed.,"['Polychaete Worm', 'Mussel', 'Hermit Crab', 'Algae']",5.0,4.452082892490463,5.247080517153535,7.720294931426668,4.525480001454277,1.7272727272727273,2022-10-27,,,6
,male,pre_puberty,u. olhanen.,,Inspecting discarded crab shell.,"['Algae', 'Barnacle', 'Sea Urchin', 'Mussel', 'Snail']",4.0,1.7727272727272727,2.009042341439754,2.609551075243301,1.827125396862855,1.9090909090909092,2022-10-27,,,7
,female,sub_adult,u. olhanen.,False,Displaying dominance by lifting body.,['Crab (Other Species)'],6.0,1.786860626249385,1.998527406473982,2.6366185589870423,1.8968048495787906,2.0,2022-10-27,,,8
,female,sub_adult,A. Farensis,False,Hiding under floating debris.,['Algae'],5.0,3.0305644798746076,3.8918331371492827,4.753023929967343,3.288446201324335,1.9090909090909092,2022-10-27,,,9
