,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
0,A. Farensis,female,j,False,Guarding eggs under abdominal flap.,['Shrimp'],4.0,0.6787525324534549,0.5635893666767101,0.7457555233451189,0.7300478778866899,2.6363636363636362,2021-07-18,37.1,-8.62,0
1,A. Farensis,male,p,,Searching for mates at twilight.,['Shrimp'],5.0,0.9545454545454546,0.8857053798992954,1.2725234698286452,0.9884964139295588,2.6363636363636362,2021-07-18,,,1
2,u. olhanen.,female,s,False,Climbing onto submerged logs.,['Mussel'],7.0,2.054442666971555,1.989306690317928,2.567829213061513,2.230837196766739,2.5454545454545454,2021-07-18,,,2
3,u. olhanen.,female,p,False,Emerging cautiously from hiding.,"['Small Fish', 'Crab (Other Species)']",8.0,2.8585955172628563,2.5537929895497578,3.403645286881328,3.1431255391501893,2.6363636363636362,2021-07-18,,,3
4,U. olhanensis,male,j,,Interaction with hermit crabs.,"['Sea Star', 'Snail', 'Shrimp', 'Small Fish']",5.0,0.7727272727272727,0.6759713719621837,1.0026590525337793,0.7905752177919161,2.727272727272727,2021-07-18,,,4
5,A farensis,female,s,True,Camouflaging with surrounding mud.,"['Crab (Other Species)', 'Sea Urchin']",6.0,3.4237706654720337,3.1046791713524673,3.791562158896021,3.4266004485755035,2.6363636363636362,2021-07-18,,,5
6,u. olhanen.,male,p,,Climbing barnacle-covered surfaces.,"['Sea Urchin', 'Snail', 'Sea Anemone']",6.0,1.3636363636363635,1.586553859748262,2.0743055714315157,1.418531663405261,2.5454545454545454,2021-07-18,,,6
7,Ucides alvorensis,N/R,j,,Waving claws rhythmically.,"['Coral Fragment', 'Snail', 'Hermit Crab', 'Sea Urchin']",7.0,1.7272727272727273,2.369382893802582,3.527960370860732,1.7290786659021542,2.727272727272727,2021-07-18,,,7
8,U. olhanensis,female,a,False,Hiding in sandy burrow.,"['Mussel', 'Hermit Crab', 'Snail', 'Small Fish']",3.0,2.7874140971818684,2.69351764829212,3.2594568868204634,2.8911276611217738,2.6363636363636362,2021-07-18,,,8
9,A farensis,female,a,False,Inspecting discarded crab shell.,['Mussel'],6.0,4.180322756932493,4.299947434660509,5.767628188535245,4.311020336902444,2.727272727272727,2021-07-18,,,9
10,U. olhanensis,female,p,False,Climbing onto submerged logs.,"['Sea Sponge', 'Algae']",9.0,1.6928713993385711,1.4349814171461865,2.131112616852321,1.7571584656371095,2.727272727272727,2021-07-18,,,10
11,A. Farensis,male,a,,Escaping predator silhouette overhead.,"['Mussel', 'Shrimp', 'Jellyfish', 'Hermit Crab', 'Snail']",8.0,2.1818181818181817,2.39519858794223,3.168911016125992,2.283815278856278,2.727272727272727,2021-07-18,,,11
12,U. olhanensis,N/R,a,,Guarding eggs under abdominal flap.,['Jellyfish'],8.0,3.272727272727273,3.171061729396186,4.537994695993348,3.32665857919457,2.727272727272727,2021-07-18,,,12
13,u. olhanen.,female,a,False,Moving toward warmer water pockets.,"['Coral Fragment', 'Algae']",5.0,4.264635595874357,4.907197162587675,7.054921430120817,4.4538754503715445,2.6363636363636362,2021-07-18,,,13
14,A farensis,male,j,,Crab moving quickly across rocks.,"['Polychaete Worm', 'Coral Fragment', 'Snail']",6.0,1.0,0.777023741434355,1.0192829923700233,1.005056754315701,2.5454545454545454,2021-07-18,,,14
15,U. olhanensis,female,s,False,Climbing submerged rocks.,"['Sea Anemone', 'Sea Urchin', 'Small Fish', 'Snail']",7.0,1.9751343034819315,1.9342361891071393,2.875275254468939,2.156474386241602,2.5454545454545454,2021-07-18,,,15
16,U. olhanensis,male,s,,Color changes during molting.,"['Sea Star', 'Sea Anemone']",7.0,2.9545454545454546,3.328186680012401,4.075367211634557,2.959180193954683,2.4545454545454546,2021-07-18,,,16
17,Ucides alvorensis,male,p,,Searching for food in tidal pools.,"['Sea Sponge', 'Hermit Crab', 'Crab (Other Species)']",2.0,0.8181818181818182,0.866632942238973,1.0889422246790503,0.89345862364836,2.6363636363636362,2021-07-18,,,17
18,U. olhanensis,female,p,False,Moving sideways along sandy bottom.,"['Jellyfish', 'Sea Star', 'Mussel', 'Barnacle', 'Coral Fragment']",4.0,1.1454574969304756,1.3997535590280983,1.918015544117055,1.2433855437896641,2.6363636363636362,2021-07-18,,,18
19,A. Farensis,male,p,,Color changes during molting.,['Sea Anemone'],2.0,1.7727272727272727,1.6676868031440224,2.153948610530227,1.9020548890745956,2.727272727272727,2021-07-18,,,19
20,U. olhanensis,female,p,False,Climbing barnacle-covered surfaces.,['Jellyfish'],4.0,1.5813051761299484,1.8357192094510948,2.494899486884971,1.625859801961503,2.6363636363636362,2021-07-18,,,20
21,u. olhanen.,female,s,False,Resting in shaded rock crevice.,"['Crab (Other Species)', 'Algae']",10.0,2.646038405183426,3.5223794672581685,4.6387640243921915,2.6847659604599605,2.5454545454545454,2021-07-18,,,21
22,A farensis,male,p,,Claw snapping in competition.,"['Sea Anemone', 'Sea Star']",8.0,0.8863636363636364,0.6625219993585448,0.8059974434393365,0.9212087264204384,2.727272727272727,2021-07-18,,,22
