,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,u. olhanen.,male,adult,True,Searching tidal pools for nutrients.,"['Small Fish', 'Snail', 'Barnacle', 'Mussel']",4.0,49.5,47.10946031641666,40.54948119530519,1472.8316432155966,37.02606,-8.01873,0
1,u. olhanen.,male,sub_adult,,Color change during molting stress.,"['Crab (Other Species)', 'Coral Fragment']",9.0,40.0,40.64956837682005,1140.200354771169,34.89070977373691,,,1
2,Ucides alvorensis,male or female,adult,,Retreating swiftly from perceived danger.,"['Algae', 'Jellyfish', 'Small Fish', 'Sea Star', 'Sea Sponge']",9.0,58.5,60.68789373109598,897.0548437640157,49.08515969608282,,,2
3,U. olhanensis,female,adult,False,Collecting biofilm from sunken wood.,"['Polychaete Worm', 'Sea Sponge']",8.0,7.612796485241325,8.508187333104289,7.158441628205447,6.829654223962693,,,3
4,U. olhanensis,male,adult,,Picking algae carefully off rock faces.,"['Crab (Other Species)', 'Shrimp']",10.0,27.0,28.94910383516919,541.4994072791883,23.182451391886925,,,4
5,U. olhanensis,N/R,sub_adult,,Mating ritual involving antennae brushing.,['Snail'],8.0,43.83482490831381,44.460057072557255,36.05922534578343,44.26137121542324,,,5
6,A farensis,male,sub_adult,,Retreating swiftly from perceived danger.,"['Algae', 'Hermit Crab']",7.0,16.25,16.53742381373754,12.18974360317046,180.57542760828468,,,6
7,Ucides alvorensis,male,adult,,Brief social contact with fellow crabs.,['Sea Urchin'],6.0,19.5,21.374860344993664,243.98436244945265,17.440439507460606,,,7
8,A. Farensis,male,juvenile,,Guarding hole in substrate from intruders.,"['Small Fish', 'Snail', 'Polychaete Worm', 'Hermit Crab', 'Algae']",6.0,15.5,20.461080984414536,14.669299956666377,286.4444535975456,,,8
9,U. olhanensis,male,pre_puberty,,Inspecting remains of another crab.,"['Sea Sponge', 'Small Fish', 'Barnacle']",11.0,5.25,4.262958046368038,9.265136305929975,3.1648101205430383,,,9
10,A farensis,male,sub_adult,True,Engaging in struggle with seaweed entanglement.,"['Polychaete Worm', 'Crab (Other Species)', 'Algae', 'Coral Fragment']",12.0,32.5,37.898859758245344,31.556832807039143,1005.514917981413,,,10
11,A farensis,N/R,adult,,Guarding eggs beneath body flap.,"['Barnacle', 'Sea Anemone', 'Coral Fragment', 'Jellyfish', 'Crab (Other Species)']",6.0,11.201707419545265,11.243336229238022,9.384400290043581,12.348234880592868,,,11
12,u. olhanen.,female,adult,False,Guarding eggs beneath body flap.,"['Jellyfish', 'Barnacle', 'Coral Fragment', 'Sea Anemone']",8.0,36.47474508822648,34.29742401783952,20.779960391476926,28.79420009927973,,,12
13,u. olhanen.,female,sub_adult,False,Sheltering under broken shell piece.,"['Mussel', 'Sea Anemone', 'Coral Fragment', 'Hermit Crab']",11.0,34.49555218473259,27.371026465294566,25.771135341363696,23.31220307187256,,,13
14,A farensis,female,adult,True,Progressing cautiously through new area.,"['Algae', 'Polychaete Worm', 'Sea Urchin']",10.0,9.227011873799238,9.483191717935227,5.949358581905123,6.806950899346555,,,14
15,A. Farensis,male,adult,,Scavenging at the edge of tidal pools.,"['Sea Urchin', 'Hermit Crab']",9.0,43.5,46.9991926979469,1501.8699941034351,42.14079067188995,,,15
16,U. olhanensis,female,sub_adult,True,Gradual movement in cold conditions.,"['Crab (Other Species)', 'Hermit Crab', 'Small Fish']",10.0,11.024745757993324,10.058735465210294,7.32546598602742,8.948109230137982,,,16
17,A. Farensis,male,sub_adult,,Reacting to sudden changes in temperature.,"['Snail', 'Shrimp', 'Coral Fragment', 'Mussel']",7.0,10.0,8.235409626549785,6.82254644196448,48.309422099376704,,,17
18,A. Farensis,female,adult,False,Protecting territory in confined space.,"['Sea Urchin', 'Small Fish']",8.0,17.416876662192443,15.974637631008422,11.186355464094213,12.985031749930217,,,18
19,U. olhanensis,male,adult,,Sheltering under broken shell piece.,"['Crab (Other Species)', 'Small Fish', 'Polychaete Worm']",8.0,45.0,44.47528552226224,33.00462018339471,1323.126175512847,,,19
20,U. olhanensis,male,adult,True,Foraging through tangled seagrass roots.,"['Polychaete Worm', 'Shrimp', 'Sea Anemone', 'Barnacle', 'Jellyfish']",8.0,18.0,17.62981793545717,13.463324580746603,162.00885746265317,,,20
21,Ucides alvorensis,male,juvenile,,Sheltering under broken shell piece.,"['Shrimp', 'Barnacle']",10.0,9.0,11.977454676320537,10.050463100518789,104.83233687426804,,,21
