,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],is_gravid?,behavior
0,190,56.23678908750668,90,A. Farensis,-7.99163,False,62.68838690628737,p,female,1,164.10794529783146,37.01025,"['Coral Fragment', 'Sea Sponge', 'Barnacle', 'Mussel', 'Sea Anemone']",7,False,Sideways walking along bay edge.
1,350,65.1594916339311,70,u. olhanen.,,True,101.61908468523495,a, ,2,147.0758568655604,,['Coral Fragment'],13,True,Mating behavior with antenna touching.
2,220,85.28282025992883,50,U. olhanensis,,False,370.2423752253497,s,female,3,136.57230909707613,,['Hermit Crab'],4,False,Escaping from aggressive fish.
3,70,83.84669294910361,50,U. olhanensis,,False,56.5767556880867,s, ,4,147.21638226869595,,"['Sea Urchin', 'Crab (Other Species)']",8,False,Feeding on small mollusks.
4,200,72.53936517017559,50,A. Farensis,,True,177.12400539204322,s,male,5,113.21048476777044,,['Algae'],8,True,Dragging shell fragment backward.
5,100,75.69839493344242,90,A farensis,,False,37.82085005389068,p,male,6,153.76139452086815,,['Sea Sponge'],6,False,Shaking claws after contact.
6,170,71.50137337925564,30,A farensis,,False,137.20184709841786,p,female,7,168.21385922666173,,"['Polychaete Worm', 'Sea Star']",7,False,Retreating into burrow.
7,230,87.77425321500255,30,U. olhanensis,,False,6.273625514306693,s,female,8,110.24908382530968,,"['Crab (Other Species)', 'Jellyfish', 'Sea Sponge', 'Snail']",4,False,Claw waving directed at nearby crab.
8,230,56.35573205812686,50,A. Farensis,,False,35.40176242827843,a,male,9,136.08816389004315,,"['Mussel', 'Sea Sponge', 'Barnacle', 'Jellyfish']",8,False,Territorial display against intruder.
9,200,83.95398442252544,70,A farensis,,False,67.06071125779037,a,male,10,174.40595244787863,,"['Mussel', 'Algae']",4,False,Climbing submerged rocks.
10,250,95.47185712591158,40,A farensis,,True,47.23834535337777,p,male or female,11,111.87760897179977,,"['Barnacle', 'Polychaete Worm', 'Small Fish']",6,True,Claw waving directed at nearby crab.
11,420,74.93648284434913,40,A. Farensis,,False,299.96828311084084,s,nan,12,129.19168385072052,,"['Hermit Crab', 'Sea Sponge']",8,False,Shaking claws after contact.
12,150,87.38419580733094,20,A. Farensis,,True,3.5899696753070582,p,male,13,168.97847917848506,,"['Shrimp', 'Jellyfish']",7,True,Sideways walking along bay edge.
13,190,64.92186764119567,50,A. Farensis,,False,33.576987955470585,a,male,14,157.35397701464103,,"['Sea Sponge', 'Polychaete Worm', 'Small Fish', 'Sea Urchin']",7,False,Picking detritus from seabed.
