,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,u. olhanen.,male,p,True,Side-stepping along sandy coastal floor.,"['Crab (Other Species)', 'Shrimp', 'Sea Anemone', 'Sea Star']",4.0,2.727272727272727,3.34841530712291,32.65254229028184,2.6335180649723045,37.1,-8.62,0
1,U. olhanensis, ,a,,Slowly navigating around seagrass beds.,['Polychaete Worm'],4.0,5.454545454545454,4.9615441622835625,21.306308815456088,4.032336563361881,,,1
2,Ucides alvorensis,male,p,,Group migration across shallow seabed.,"['Polychaete Worm', 'Sea Sponge', 'Hermit Crab']",8.0,2.8636363636363638,2.623262587922848,21.561865139514705,1.9685474816139068,,,2
3,A. Farensis,male,s,,Camouflaging with nearby mud.,"['Sea Sponge', 'Jellyfish', 'Barnacle', 'Algae']",4.0,4.7727272727272725,5.02994874540233,4.074427707580701,52.18549735160338,,,3
4,A farensis,male or female,j,,Swiftly dashing across exposed sand.,"['Snail', 'Barnacle']",5.0,1.3636363636363635,1.396005830660616,2.5706774032197894,1.1755685910762768,,,4
5,u. olhanen.,male,s,,"Stationary, blending into rocky backdrop.","['Crab (Other Species)', 'Sea Sponge', 'Polychaete Worm', 'Mussel']",6.0,2.5,2.9632835783199867,2.2012041834314338,25.930074796973997,,,5
6,U. olhanensis,female,a,False,Scavenging at the edge of tidal pools.,"['Coral Fragment', 'Jellyfish']",4.0,3.0688549763525073,3.386860392222685,2.5570980425749323,2.9096764138536484,,,6
7,Ucides alvorensis,male,p,,Slowly navigating around seagrass beds.,"['Sea Anemone', 'Sea Sponge']",7.0,2.3181818181818183,1.9737142911443035,1.771707801346025,11.670959146793907,,,7
8,A farensis,female,s,False,Rapid clawing during feeding bouts.,"['Sea Sponge', 'Jellyfish', 'Algae', 'Hermit Crab']",8.0,0.9992898548069079,1.0118400577940385,0.7231623502678143,0.8475682192308166,,,8
9,U. olhanensis,male,p,,Advancing toward bait in water.,"['Sea Urchin', 'Crab (Other Species)']",5.0,1.2272727272727273,1.167192780257282,0.8475298644146612,4.449854813964372,,,9
10,A. Farensis,female,s,False,Frequent pausing while exploring.,"['Jellyfish', 'Coral Fragment']",4.0,2.6241241658399077,2.3740487364384326,1.7900902692936944,1.9813211022555537,,,10
11,U. olhanensis,female,a,False,Scaling steep rock faces near shore.,"['Sea Star', 'Polychaete Worm', 'Sea Urchin', 'Snail', 'Hermit Crab']",2.0,5.446112925515258,5.636903090110014,3.794301485339491,4.854785335355971,,,11
12,U. olhanensis,female,p,False,Engaging in antennae-to-antennae contact.,"['Algae', 'Crab (Other Species)', 'Jellyfish', 'Hermit Crab']",4.0,1.6057146494403787,2.005344949692756,1.4618863661652555,1.677109288055405,,,12
13,A farensis,male,j,,Brief social contact with fellow crabs.,"['Barnacle', 'Crab (Other Species)']",9.0,1.4545454545454546,1.1574116900640627,0.9945738643365755,4.52421573476916,,,13
14,U. olhanensis,female,p,False,Claw shaking post-contact gesture.,"['Hermit Crab', 'Sea Urchin']",7.0,2.6480449546286247,3.177086322763907,2.4041378912807576,2.5520631295140217,,,14
15,A farensis,male,a,,Harvesting food beneath floating debris.,['Mussel'],5.0,5.7272727272727275,5.803824676825712,4.276449879231555,77.24471036359775,,,15
16,A. Farensis,female,j,False,Filtering detritus from shallow bottom.,['Algae'],4.0,0.6320263516908059,0.4891183308133048,0.3075455019126589,0.39251164014571727,,,16
17,U. olhanensis,female,p,False,"Stationary, blending into rocky backdrop.","['Sea Sponge', 'Sea Star', 'Mussel']",7.0,1.5693143783605863,1.509380147512706,1.109440534853625,1.2325410651563387,,,17
18,u. olhanen.,male,j,,Vibrating antennae in flowing current.,"['Sea Urchin', 'Hermit Crab']",10.0,1.1818181818181819,1.1883385408473295,5.713911126198739,0.8448210662689708,,,18
19,A. Farensis,male,a,,Protecting territory in confined space.,"['Sea Urchin', 'Jellyfish']",5.0,2.1818181818181817,2.229533866794991,1.7177752095625705,12.828644565350567,,,19
20,U. olhanensis,female,p,False,Approaching small fish with curiosity.,"['Polychaete Worm', 'Coral Fragment', 'Sea Anemone', 'Jellyfish', 'Sea Urchin']",5.0,1.5218134138003045,1.8661953527411044,1.222649301254311,1.6133871917190832,,,20
21,u. olhanen.,female,s,False,Swimming briefly to avoid disturbance.,['Snail'],6.0,3.029933030351209,3.987898541390129,2.8600989972175683,3.297982883790949,,,21
22,A farensis,female,s,False,Gradual movement in cold conditions.,"['Snail', 'Polychaete Worm', 'Sea Urchin', 'Sea Sponge', 'Sea Anemone']",5.0,1.088004741056528,1.055174775560248,0.7492100911342537,0.8818191720595538,,,22
23,u. olhanen.,male,a,,Camouflaging with nearby mud.,"['Sea Urchin', 'Crab (Other Species)']",5.0,4.909090909090909,5.0417708022351,4.3814648560800995,56.29197476735928,,,23
24,U. olhanensis,male,s,,Performing dominance display by body lifting.,"['Polychaete Worm', 'Coral Fragment', 'Sea Star', 'Snail']",4.0,3.977272727272727,3.7852892938641816,32.20947913484098,3.042405561487638,,,24
25,U. olhanensis,male,p,,Darting away in response to sudden shadow.,['Crab (Other Species)'],8.0,3.1363636363636362,2.2531280696659413,1.6662164053588286,16.807232877775082,,,25
26,u. olhanen.,female,s,False,Rhythmic waving as social cue.,"['Coral Fragment', 'Mussel', 'Crab (Other Species)', 'Sea Sponge', 'Polychaete Worm']",3.0,1.7619458505449244,1.4423892128317728,1.1520677902458418,1.1594057969322196,,,26
27,A farensis,female,p,False,Guarding hole in substrate from intruders.,"['Barnacle', 'Sea Anemone', 'Snail']",10.0,1.0287400762425867,1.298838764489138,0.8155966924387555,1.1398166064380435,,,27
28,u. olhanen.,female,s,True,Progressing cautiously through new area.,"['Sea Anemone', 'Polychaete Worm', 'Crab (Other Species)', 'Barnacle', 'Algae']",6.0,2.2447910377349927,2.107961897488122,1.636963346288281,1.7399105469614276,,,28
29,U. olhanensis,male,a,,Feeding on decaying matter among rocks.,['Sea Urchin'],7.0,6.0,5.801757251476838,5.182794063131154,81.25230839331283,,,29
30,u. olhanen.,female,s,True,Side-stepping along sandy coastal floor.,['Sea Sponge'],5.0,2.29632900686627,3.036055292605559,2.137692082791589,2.5004970335772385,,,30
31,U. olhanensis,male,a,,Claw snapping in aggressive encounter.,"['Sea Urchin', 'Jellyfish']",9.0,4.090909090909091,3.868530187127538,2.807452809775368,42.04857786209693,,,31
32,A farensis,male,p,,Slowly navigating around seagrass beds.,"['Shrimp', 'Jellyfish', 'Sea Urchin', 'Sea Sponge']",5.0,3.8863636363636362,4.754500002172353,56.50674690374307,4.17449518763924,,,32
33,A farensis,female,s,False,Interaction with nearby hermit crab.,"['Barnacle', 'Snail', 'Jellyfish']",7.0,4.0414996039896245,3.986163708915751,2.9626355684089676,3.564357015658502,,,33
34,U. olhanensis,male,a,,Frequent pausing while exploring.,"['Hermit Crab', 'Sea Urchin']",6.0,5.318181818181818,5.3595111531588,4.591500109464561,61.05175903080717,,,34
35,Ucides alvorensis,female,a,False,Slowly navigating around seagrass beds.,"['Coral Fragment', 'Small Fish', 'Crab (Other Species)']",10.0,4.85543260752353,5.307592289484542,3.986342974432587,4.761790342377103,,,35
36,U. olhanensis,female,a,True,Traversing algae-slick rock surfaces.,"['Sea Sponge', 'Small Fish']",7.0,1.7823076458722626,1.8436461209785109,1.393468541147425,1.4840539510133837,,,36
37,Ucides alvorensis,female,s,False,Progressing cautiously through new area.,"['Sea Sponge', 'Sea Anemone', 'Snail', 'Crab (Other Species)']",6.0,1.3541376183593288,1.3527851307101224,1.0764973610515463,1.1975066825431657,,,37
38,u. olhanen.,female,p,False,Displaying territorial behavior against intruder.,"['Mussel', 'Sea Anemone', 'Sea Urchin']",9.0,1.647216118696874,1.6106012385604667,1.2777181332103706,1.3994731006867016,,,38
39,A farensis, ,p,,Protecting territory in confined space.,"['Sea Urchin', 'Hermit Crab', 'Mussel', 'Coral Fragment', 'Barnacle']",7.0,2.3863636363636362,2.1426283799902297,4.181445228391985,1.8203512361896188,,,39
40,u. olhanen.,female,s,True,Color change during molting stress.,"['Algae', 'Coral Fragment', 'Sea Star']",7.0,1.9452775214218454,2.0791306779099687,1.5661943556919733,1.732496338426924,,,40
41,A farensis,female,a,True,Retreating swiftly from perceived danger.,"['Sea Urchin', 'Sea Anemone', 'Jellyfish']",4.0,4.924391849704836,5.869372834281316,3.799132368973085,5.243103385987159,,,41
42,A farensis,male,p,,Harvesting food beneath floating debris.,"['Sea Anemone', 'Crab (Other Species)', 'Barnacle', 'Coral Fragment', 'Small Fish']",6.0,2.522727272727273,2.5695725936723917,16.908473093480698,2.2229580431550184,,,42
43,U. olhanensis,male,a,,"Burrowing into soft, sandy sediment.",['Sea Urchin'],5.0,4.363636363636363,4.735122148412762,3.831020511566628,53.01766671540144,,,43
44,U. olhanensis,female,p,False,Scaling steep rock faces near shore.,"['Jellyfish', 'Algae', 'Hermit Crab', 'Polychaete Worm']",12.0,1.9832456418454265,2.6439242905977833,1.989876646454463,2.2396821011972823,,,44
45,U. olhanensis,female,s,False,Engaging in antennae-to-antennae contact.,"['Algae', 'Coral Fragment', 'Sea Sponge']",6.0,4.051316362439646,3.419168317891558,2.4745146511597373,2.9283589424621597,,,45
46,A farensis,female,s,True,Lying still to avoid detection.,"['Snail', 'Sea Urchin']",8.0,5.600345845664211,6.155065996149997,3.8273975359222607,5.337861132024372,,,46
47,u. olhanen.,male,s,,Guarding eggs beneath body flap.,"['Mussel', 'Sea Sponge', 'Crab (Other Species)', 'Shrimp']",6.0,1.9318181818181819,1.615462489304978,8.979328843693196,1.1671882916075487,,,47
48,u. olhanen.,female,s,False,Color change during molting stress.,"['Algae', 'Sea Urchin', 'Hermit Crab', 'Crab (Other Species)', 'Jellyfish']",10.0,3.3881497266423977,3.2405528143453974,1.9848974642973298,2.6289673400467986,,,48
49,A farensis,male,j,,Retreating quickly into hidden burrow.,"['Crab (Other Species)', 'Jellyfish', 'Sea Anemone']",5.0,1.6818181818181819,1.669733217964128,9.029271237664423,1.38039822702111,,,49
50,A farensis,female,s,False,Adopting threatening stance when approached.,"['Shrimp', 'Sea Urchin', 'Algae']",5.0,0.8119682962161552,0.9885301387856006,0.630866031971197,0.8244719189940155,,,50
51,A farensis,female,j,False,Resting in shaded crevice along cliff.,['Sea Star'],6.0,0.7831846635340859,0.516217694643659,0.4026535750088495,0.45508968073135897,,,51
