species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
u. olhanen.,male,pre_puberty,True,Inspecting discarded crab shell.,"['Snail', 'Sea Anemone']",8.0,15.0,12.778405550072485,17.637950497680638,15.78130132959479,24.0,2022-07-29,37.02606,-8.01873,0
U. olhanensis,female,sub_adult,True,Hiding under seagrass blades.,"['Small Fish', 'Crab (Other Species)', 'Algae', 'Polychaete Worm']",8.0,35.819712373386224,35.43869436975696,49.90367544118999,39.314779280594884,23.0,2022-07-29,,,1
U. olhanensis,female,adult,False,Sitting still blending with environment.,"['Sea Star', 'Crab (Other Species)']",6.0,20.812864601122186,23.08605102284403,33.713833081013306,22.834710308211246,24.0,2022-07-29,,,2
u. olhanen.,female,pre_puberty,False,Moving sideways along sandy bottom.,['Hermit Crab'],9.0,10.455671942738253,9.160069376537457,11.694886275835918,10.580384629293508,24.0,2022-07-29,,,3
A farensis,female,sub_adult,True,Hiding in sandy burrow.,"['Sea Sponge', 'Hermit Crab', 'Sea Anemone', 'Sea Star', 'Algae']",6.0,44.05863775332539,53.37309809469051,67.94828628405249,48.43080874442573,22.0,2022-07-29,,,4
u. olhanen.,female,adult,True,Exchanging antenna taps.,['Barnacle'],7.0,38.758282654995014,46.038256989896574,58.67268370481762,40.73784626938404,22.0,2022-07-29,,,5
A farensis,female,pre_puberty,True,Climbing algae-covered rocks.,"['Hermit Crab', 'Jellyfish', 'Algae']",11.0,17.578433370394944,20.145200726626683,29.480938053341667,19.211867029779434,23.0,2022-07-29,,,6
u. olhanen.,male,sub_adult,,Slow movement near seagrass patches.,"['Sea Anemone', 'Small Fish']",5.0,45.0,49.72454608154385,59.72077067666039,48.12069686647298,24.0,2022-07-29,,,7
U. olhanensis,female,adult,True,Rapid crossing of open sand.,"['Barnacle', 'Jellyfish', 'Crab (Other Species)']",8.0,25.6328353479208,25.749710441566947,34.49043147210088,28.176615924780027,23.0,2022-07-29,,,8
Ucides alvorensis,male or female,adult,,Retreating into burrow.,"['Sea Anemone', 'Crab (Other Species)', 'Sea Star', 'Jellyfish', 'Sea Sponge']",6.0,60.0,65.78600571843286,96.47826444210044,65.47658992131095,24.0,2022-07-29,,,9
