,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,U. olhanensis,male,adult,True,Resting in shaded crevice along cliff.,"['Sea Urchin', 'Sea Sponge', 'Crab (Other Species)', 'Polychaete Worm', 'Hermit Crab']",3.0,6.0,6.56609349078341,9.38895696497146,6.340797646986843,48.0,2020-03-16,37.02606,-8.01873,0
1,A farensis,female,pre_puberty,False,Adopting threatening stance when approached.,['Hermit Crab'],8.0,7.9521773946924705,10.340875420509523,14.04272214939075,8.155509038545551,47.0,2020-03-16,,,1
2,u. olhanen.,male,pre_puberty,,Creeping under the cover of seagrass.,"['Hermit Crab', 'Sea Sponge']",5.0,13.5,12.713434023284954,18.80473371132411,14.35989953149954,49.0,2020-03-16,,,2
3,U. olhanensis,male,juvenile,,Creeping under the cover of seagrass.,"['Mussel', 'Hermit Crab']",9.0,2.0,1.6927025981923345,2.03321211996435,2.0369030726337076,51.0,2020-03-16,,,3
4,A. Farensis,male,adult,,Swimming briefly to avoid disturbance.,"['Small Fish', 'Hermit Crab']",7.0,7.5,7.909666435176014,9.720691095565838,7.975488000524233,48.0,2020-03-16,,,4
5,U. olhanensis,female,sub_adult,True,Sifting through sediment for scraps.,"['Barnacle', 'Small Fish', 'Shrimp', 'Algae', 'Jellyfish']",8.0,15.301251551645747,18.641307675155268,23.39262749399727,16.45304084335693,46.0,2020-03-16,,,5
6,A farensis,male,adult,,Staying half-submerged in loose sand.,"['Sea Urchin', 'Small Fish', 'Crab (Other Species)', 'Jellyfish', 'Polychaete Worm']",7.0,15.0,15.353679210797988,20.07973723573046,15.342834287229666,49.0,2020-03-16,,,6
7,U. olhanensis,male,pre_puberty,,Staying half-submerged in loose sand.,['Snail'],11.0,6.75,-999.0,8.846654582386856,7.150564298450776,48.0,2020-03-16,,,7
8,u. olhanen.,male,adult,,Frequent pausing while exploring.,"['Crab (Other Species)', 'Sea Urchin', 'Sea Anemone']",6.0,42.0,42.45579742167518,52.31598763511259,44.96775875303888,49.0,2020-03-16,,,8
9,A. Farensis,female,pre_puberty,False,Collecting biofilm from sunken wood.,"['Snail', 'Coral Fragment']",9.0,17.85904540912605,15.65868806175762,22.844346976818887,19.480244804008233,47.0,2020-03-16,,,9
10,u. olhanen.,male,adult,True,Claw shaking post-contact gesture.,"['Algae', 'Hermit Crab']",7.0,28.5,25.729758805209794,33.324533064397805,30.519246116659197,50.0,2020-03-16,,,10
11,U. olhanensis,male,adult,,Performing dominance display by body lifting.,['Snail'],9.0,28.5,27.34503354136254,35.73709920447237,28.738509482035152,45.0,2020-03-16,,,11
12,U. olhanensis,male,adult,,Resting in shaded crevice along cliff.,"['Sea Anemone', 'Sea Urchin', 'Mussel', 'Sea Star']",7.0,9.0,8.83846832668694,10.772943949592195,9.243522884178775,47.0,2020-03-16,,,12
13,U. olhanensis,female,adult,False,Picking algae carefully off rock faces.,['Polychaete Worm'],5.0,10.787888465006883,9.176010204312869,11.185192694857257,11.754016418090442,49.0,2020-03-16,,,13
14,A farensis,male,juvenile,,Waving claw in signal to another crab.,"['Barnacle', 'Snail', 'Small Fish', 'Jellyfish', 'Coral Fragment']",13.0,4.0,4.336553994791307,5.9582821069970615,4.316561823750677,47.0,2020-03-16,,,14
15,U. olhanensis,male,sub_adult,,Hiding beneath overhanging rock.,['Jellyfish'],9.0,25.0,23.03099771828235,30.015167440751874,26.61025760744455,48.0,2020-03-16,,,15
16,u. olhanen.,female,sub_adult,False,Claw snapping in aggressive encounter.,"['Hermit Crab', 'Sea Sponge', 'Sea Anemone']",6.0,27.98652096489782,31.754306770991697,39.452377822825646,28.592915536891493,48.0,2020-03-16,,,16
17,u. olhanen.,male,adult,,Mating ritual involving antennae brushing.,"['Sea Anemone', 'Hermit Crab', 'Barnacle']",10.0,7.5,7.606286924738195,10.450334041393395,7.699938143184352,47.0,2020-03-16,,,17
18,U. olhanensis,female,adult,False,Foraging through tangled seagrass roots.,['Barnacle'],9.0,32.26322131600428,32.06071782556415,41.24973403017882,35.387428318699094,48.0,2020-03-16,,,18
19,A farensis,male,adult,,Camouflaging with nearby mud.,"['Algae', 'Sea Urchin', 'Shrimp', 'Hermit Crab', 'Polychaete Worm']",13.0,45.0,46.79943203498693,59.72764542658297,47.562635139021346,46.0,2020-03-16,,,19
20,A farensis,female,sub_adult,False,Resisting aggressive fish encounter.,"['Small Fish', 'Sea Sponge', 'Snail']",8.0,26.942320320780084,28.851816162161118,36.520774249761935,29.4404192402803,46.0,2020-03-16,,,20
21,Ucides alvorensis,male,adult,,Emerging slowly after perceived threat.,"['Algae', 'Small Fish', 'Sea Anemone']",8.0,28.5,29.652399131614274,38.15561337197575,29.69383992489647,47.0,2020-03-16,,,21
22,A farensis,male,adult,,Engaging in struggle with seaweed entanglement.,['Sea Anemone'],9.0,15.0,14.668284770712386,20.667885801494254,15.5769095123833,47.0,2020-03-16,,,22
23,U. olhanensis,female,adult,True,Rapid clawing during feeding bouts.,"['Sea Sponge', 'Mussel', 'Algae', 'Jellyfish', 'Sea Anemone']",13.0,13.567816008516525,12.797300986423688,17.3097481195704,14.173968951306373,47.0,2020-03-16,,,23
24,A. Farensis,male,adult,,Sifting through sediment for scraps.,"['Barnacle', 'Jellyfish', 'Sea Urchin', 'Snail', 'Small Fish']",7.0,10.5,11.46752335639673,14.764142758633252,11.408917530926292,48.0,2020-03-16,,,24
