species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
U. olhanensis,male,juvenile,True,Climbing barnacle-covered surfaces.,"['Coral Fragment', 'Shrimp', 'Barnacle', 'Hermit Crab', 'Sea Urchin']",10.0,15.0,19.79002409358032,25.70742969134852,15.55228769177612,42.0,2020-10-14,37.02606,-8.01873,0
U. olhanensis,male,adult,,Pausing frequently during exploration.,"['Barnacle', 'Sea Star']",7.0,30.0,28.36566139412519,37.528541015832545,32.496426924281295,42.0,2020-10-14,,,1
A farensis,female,sub_adult,True,Displaying dominance by lifting body.,"['Sea Urchin', 'Crab (Other Species)', 'Sea Anemone']",8.0,10.575645288117146,13.929408740738493,20.409819834242647,11.357102022561323,40.0,2020-10-14,,,2
A. Farensis,female,adult,True,Hiding in sandy burrow.,"['Jellyfish', 'Crab (Other Species)', 'Shrimp', 'Algae', 'Hermit Crab']",8.0,23.42645819236114,24.613447625661077,30.223064957081554,25.167028850633713,43.0,2020-10-14,,,3
U. olhanensis,male,sub_adult,,Camouflaging with surrounding mud.,"['Polychaete Worm', 'Sea Sponge', 'Coral Fragment', 'Hermit Crab', 'Sea Urchin']",6.0,13.75,11.848503794912247,15.05937307489681,13.805738020503975,43.0,2020-10-14,,,4
u. olhanen.,female,sub_adult,False,Color changes during molting.,"['Coral Fragment', 'Sea Anemone']",7.0,30.969256454494797,35.62823653618929,53.12548544822038,33.090949451824045,43.0,2020-10-14,,,5
U. olhanensis,female,pre_puberty,False,Moving toward bait.,"['Small Fish', 'Jellyfish', 'Sea Star', 'Shrimp']",10.0,11.120387327938682,12.65548543547748,16.662947906109753,11.124964535159863,42.0,2020-10-14,,,6
A. Farensis,female,adult,False,Exploring new territory.,"['Sea Anemone', 'Sea Urchin', 'Polychaete Worm', 'Algae']",8.0,10.187249448002731,11.914259596204605,15.689748151369555,10.90705542228814,42.0,2020-10-14,,,7
A farensis,female,sub_adult,False,Using claws to dig into sediment.,"['Sea Star', 'Coral Fragment', 'Sea Urchin']",9.0,32.24849757911619,35.36061503678392,44.61847658744041,32.422903342552004,42.0,2020-10-14,,,8
U. olhanensis,male,sub_adult,,Climbing submerged rocks.,"['Hermit Crab', 'Shrimp', 'Sea Anemone', 'Sea Sponge']",5.0,11.25,11.148989347212268,16.351198680313068,11.489761843201386,44.0,2020-10-14,,,9
U. olhanensis,female,pre_puberty,True,Inspecting discarded crab shell.,['Mussel'],5.0,20.19697990836662,16.232979318467144,20.736975257099296,20.853736539293582,42.0,2020-10-14,,,10
Ucides alvorensis,male or female,pre_puberty,,Color changes during molting.,['Algae'],9.0,8.25,8.77227171306172,10.680245344971313,8.792082335935087,43.0,2020-10-14,,,11
U. olhanensis, ,adult,,Shaking claws after contact.,"['Algae', 'Snail', 'Small Fish']",6.0,43.5,47.153320165823956,58.948835087436024,46.92789114787579,41.0,2020-10-14,,,12
A. Farensis,female,adult,False,Stillness in cold water.,['Sea Urchin'],10.0,17.148013256827948,19.49137729802802,24.91679116268015,18.71752507545969,41.0,2020-10-14,,,13
A farensis,male,pre_puberty,,Hiding in sandy burrow.,"['Algae', 'Mussel', 'Sea Urchin', 'Sea Anemone', 'Crab (Other Species)']",5.0,21.75,15.315860639398753,20.92156971488828,21.944312817345104,43.0,2020-10-14,,,14
A farensis,female,adult,True,Picking detritus from seabed.,"['Sea Urchin', 'Shrimp', 'Polychaete Worm']",5.0,31.899922683925418,32.70327214259919,42.114370406865966,32.74648391803544,41.0,2020-10-14,,,15
u. olhanen.,male,juvenile,,Hiding in sandy burrow.,"['Sea Urchin', 'Algae']",6.0,9.5,8.678803781642074,10.918771663160546,9.585569399786023,42.0,2020-10-14,,,16
u. olhanen.,N/R,juvenile,,Vibrating antennae in water currents.,"['Crab (Other Species)', 'Mussel', 'Sea Sponge', 'Snail', 'Sea Urchin']",7.0,5.5,4.887184732337058,6.079054043175699,5.947262887925644,40.0,2020-10-14,,,17
Ucides alvorensis,male or female,pre_puberty,,Escaping predator silhouette overhead.,"['Mussel', 'Sea Star', 'Polychaete Worm', 'Shrimp', 'Hermit Crab']",11.0,15.75,11.526486502009133,16.574654792896833,16.876053654949363,41.0,2020-10-14,,,18
U. olhanensis,female,adult,True,Interaction with hermit crabs.,"['Mussel', 'Jellyfish', 'Sea Star', 'Sea Sponge']",11.0,51.69403844416949,51.45169211147504,68.8312469772126,52.816762980937355,42.0,2020-10-14,,,19
u. olhanen., ,adult,True,Territorial display against intruder.,"['Crab (Other Species)', 'Sea Anemone', 'Polychaete Worm']",7.0,40.5,40.36467373224984,53.6017941920457,42.46457700466123,41.0,2020-10-14,,,20
Ucides alvorensis,female,sub_adult,False,Camouflaging with surrounding mud.,"['Mussel', 'Hermit Crab', 'Polychaete Worm']",10.0,11.842769457558497,14.50803340229827,18.934620105439908,12.12680596293342,40.0,2020-10-14,,,21
A farensis,female,adult,True,Resting in shaded rock crevice.,"['Jellyfish', 'Hermit Crab', 'Sea Anemone']",7.0,20.92317641005945,24.489987057339356,30.091696176137958,21.403683016941596,42.0,2020-10-14,,,22
A. Farensis,male,pre_puberty,,Sideways walking along bay edge.,"['Mussel', 'Sea Anemone']",7.0,22.5,24.579955638994562,32.0945800340688,24.1291370278141,42.0,2020-10-14,,,23
U. olhanensis,male,adult,,Guarding a small hole in sediment.,"['Sea Anemone', 'Sea Sponge', 'Small Fish']",5.0,31.5,28.413441878880167,36.328645553024,31.903277153529267,41.0,2020-10-14,,,24
Ucides alvorensis,male,sub_adult,,Vibrating antennae in water currents.,['Mussel'],2.0,33.75,40.37253908969506,53.94967172787486,35.38313224116218,41.0,2020-10-14,,,25
U. olhanensis,female,pre_puberty,False,Retreating into burrow.,"['Coral Fragment', 'Small Fish']",8.0,15.555637937602677,18.698387707121466,23.794438346267253,17.10295382184611,42.0,2020-10-14,,,26
