,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,u. olhanen.,male,adult,True,Retreating into burrow.,['Snail'],7.0,63.0,66.55711530461708,92.05927321980472,68.15136928855713,32.0,2021-08-09,37.02606,-8.01873,0
1,A farensis,female,adult,False,Camouflaging with surrounding mud.,"['Barnacle', 'Shrimp', 'Polychaete Worm']",9.0,19.233546528732333,21.49537085348522,29.447962401384366,20.49077399462319,33.0,2021-08-09,,,1
2,u. olhanen.,male,pre_puberty,,Climbing barnacle-covered surfaces.,"['Sea Anemone', 'Mussel', 'Barnacle', 'Jellyfish']",9.0,33.0,25.455949768541846,37.444592754922034,35.861393694551964,34.0,2021-08-09,,,2
3,u. olhanen.,male,adult,,Guarding eggs under abdominal flap.,"['Small Fish', 'Sea Sponge', 'Polychaete Worm', 'Jellyfish', 'Hermit Crab']",10.0,37.5,34.57945189965757,44.960638030358886,39.30142504649001,34.0,2021-08-09,,,3
4,A farensis,male,juvenile,,Pausing frequently during exploration.,"['Shrimp', 'Sea Urchin', 'Hermit Crab', 'Mussel', 'Barnacle']",10.0,10.0,6.776978482821071,9.606381598265274,10.294307287007836,35.0,2021-08-09,,,4
5,A. Farensis,male,juvenile,,Escaping from aggressive fish.,['Algae'],10.0,8.0,10.528441283770423,14.830172406067557,8.328873434192783,33.0,2021-08-09,,,5
6,u. olhanen.,male,juvenile,,Social contact with other crabs.,"['Small Fish', 'Mussel', 'Sea Anemone', 'Barnacle', 'Polychaete Worm']",6.0,13.0,10.827121457241262,15.689218006819305,13.355377358967422,32.0,2021-08-09,,,6
7,A farensis,female,pre_puberty,True,Waving claws rhythmically.,['Sea Star'],3.0,6.680384108900044,5.951553542009941,7.778811886714979,7.094628008293153,32.0,2021-08-09,,,7
8,A. Farensis,male,pre_puberty,,Climbing barnacle-covered surfaces.,"['Sea Star', 'Barnacle', 'Coral Fragment']",4.0,19.5,17.565315385623933,24.403021536479923,20.326777162773794,33.0,2021-08-09,,,8
9,u. olhanen.,female,juvenile,True,Guarding eggs under abdominal flap.,"['Mussel', 'Snail']",7.0,8.793106971824148,9.88376347340815,14.601816227726928,8.828850008392672,32.0,2021-08-09,,,9
10,U. olhanensis,male,sub_adult,True,Retreating into burrow.,"['Snail', 'Coral Fragment', 'Sea Urchin', 'Sea Anemone', 'Shrimp']",10.0,15.0,13.711179130313036,19.389798341152762,15.285118126196963,32.0,2021-08-09,,,10
