,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,111,34,13
0,6.0,3.701646911022027,3.0,A farensis,-8.01873,False,0.18488049730129955,sub_adult,male,1.0,17.150169986429795,37.02606,"['Small Fish', 'Shrimp', 'Sea Anemone', 'Sea Urchin', 'Algae']",8.0,Moving toward warmer water pockets.,,,
1,12.0,3.5820674280441267,3.0,A farensis,,False,1.3255872266116062,sub_adult,male,2.0,19.42736832816059,,"['Coral Fragment', 'Sea Sponge']",6.0,Picking biofilm on submerged wood.,,,
2,17.0,0.31918795937759237,2.0,A. Farensis,,False,4.2594359473677965,pre_puberty,male,3.0,17.957545025449683,,['Sea Star'],10.0,Stillness in cold water.,,,
3,7.0,5.824628347760557,4.0,A. Farensis,,False,0.415466298877027,sub_adult,male,4.0,17.286647136458072,,"['Sea Star', 'Coral Fragment']",10.0,Cleaning claws with rubbing motion.,,,
4,32.0,5.800170919160231,12.0,A. Farensis,,False,2.882635898106802,juvenile,male,5.0,19.53896432828282,,"['Mussel', 'Jellyfish', 'Sea Urchin', 'Sea Anemone', 'Small Fish']",4.0,Feeding on algae scraped from rocks.,,,
5,19.0,2.8669877096726637,4.0,A farensis,,False,7.11190263766756,pre_puberty,male,6.0,18.789092364892042,,"['Sea Urchin', 'Sea Anemone', 'Sea Sponge']",6.0,Hiding beneath rocks.,,,
6,33.0,6.357545005018508,2.0,U. olhanensis,,False,7.7420729979347405,sub_adult,male,7.0,19.019695996639793,,"['Sea Urchin', 'Algae', 'Hermit Crab', 'Polychaete Worm']",8.0,Picking biofilm on submerged wood.,,,
7,12.0,5.641327500278822,8.0,A farensis,,False,37.27095073600631,sub_adult,male,8.0,18.068094692763168,,"['Sea Anemone', 'Sea Sponge', 'Algae', 'Sea Star', 'Polychaete Worm']",10.0,Moving toward bait.,,,
8,10.0,4.222217944571926,2.0,A. Farensis,,False,2.356811383292738,sub_adult,nan,9.0,18.83923901038594,,"['Shrimp', 'Sea Sponge', 'Jellyfish', 'Barnacle', 'Sea Anemone']",5.0,Moving toward warmer water pockets.,,,
9,26.0,2.768228268685135,8.0,u. olhanen.,,True,18.998255421869576,pre_puberty,male,10.0,19.671611301338217,,"['Sea Anemone', 'Sea Urchin', 'Snail', 'Jellyfish', 'Algae']",8.0,Stillness in cold water.,,,
10,22.0,2.896002246533878,7.0,U. olhanensis,,False,4.664232264669695,juvenile,?,11.0,20.29447184887914,,"['Jellyfish', 'Sea Sponge', 'Crab (Other Species)', 'Snail']",9.0,Searching for food in tidal pools.,,,
11,35.0,8.803140903179628,3.0,A. Farensis,,False,119.77421372621842,sub_adult,male,12.0,21.265494569187222,,"['Barnacle', 'Sea Anemone', 'Jellyfish', 'Hermit Crab', 'Polychaete Worm']",7.0,Retreating into burrow.,,,
12,13.0,5.304330718032501,6.0,A. Farensis,,False,28.160799193038365,sub_adult, ,13.0,18.138978784256082,,['Polychaete Worm'],9.0,Defensive posture when approached.,,,
13,13.0,6.6082129561295115,3.0,A. Farensis,,False,106.88707815027512,pre_puberty,male or female,14.0,19.361901867083926,,"['Small Fish', 'Sea Sponge', 'Hermit Crab']",4.0,Defensive posture when approached.,,,
14,17.0,3.0760478340967854,7.0,U. olhanensis,,False,1.3080264544242204,pre_puberty, ,15.0,19.506761689709943,,"['Snail', 'Jellyfish', 'Shrimp']",7.0,Half buried in sand.,,,
15,9.0,5.502449193347935,3.0,u. olhanen.,,False,0.19978935743812012,sub_adult,male,16.0,18.333722307121537,,"['Coral Fragment', 'Algae', 'Polychaete Worm', 'Hermit Crab', 'Barnacle']",7.0,Waving claws rhythmically.,,,
16,20.0,5.740911427039356,4.0,u. olhanen.,,False,2.537509728425712,juvenile,male,17.0,18.169197171808825,,['Jellyfish'],10.0,Climbing barnacle-covered surfaces.,,,
17,8.0,5.7638256038721565,2.0,u. olhanen.,,False,1.080517663699652,sub_adult,male,18.0,18.1628328893138,,"['Sea Urchin', 'Barnacle', 'Sea Sponge']",7.0,Interaction with hermit crabs.,,,
18,27.0,4.323814912097219,6.0,A farensis,,False,10.294388411423293,adult,nan,19.0,19.404338365826227,,['Algae'],9.0,Moving toward warmer water pockets.,,,
19,7.0,5.3603052686068535,7.0,U. olhanensis,,False,11.991058990422067,juvenile,female,20.0,18.006621503072857,,['Jellyfish'],11.0,Climbing vertical rock face.,,,
20,29.0,3.2438627103736084,4.0,A farensis,,False,37.45971059199772,juvenile,male,21.0,20.1963465205733,,"['Sea Anemone', 'Small Fish', 'Polychaete Worm', 'Algae']",7.0,Territorial display against intruder.,,,
21,14.0,4.539564316487148,3.0,A. Farensis,,False,1.4447840212822727,juvenile,female,22.0,17.748467687757834,,"['Coral Fragment', 'Sea Anemone', 'Hermit Crab']",5.0,Moving toward warmer water pockets.,,,
22,28.0,3.94979255788436,4.0,u. olhanen.,,False,7.954286450425788,juvenile,male,23.0,19.4831183420649,,"['Small Fish', 'Barnacle', 'Sea Anemone']",6.0,Using claws to dig into sediment.,,,
23,12.0,4.950163960463122,6.0,A. Farensis,,False,103.81917340332186,juvenile,male,24.0,18.395528349491318,,['Polychaete Worm'],5.0,Interaction with hermit crabs.,,,
24,27.0,0.4164169292336175,3.0,A farensis,,False,0.9978537862252143,juvenile,female,25.0,19.860391990626084,,['Sea Urchin'],8.0,Climbing submerged rocks.,,,
25,14.0,4.865302670916644,4.0,A. Farensis,,False,3.123582179109078,pre_puberty,male,26.0,17.782111402677675,,"['Snail', 'Shrimp', 'Polychaete Worm', 'Small Fish', 'Sea Sponge']",8.0,Half buried in sand.,,,
26,24.0,4.727331684451171,4.0,A. Farensis,,False,44.295182801727684,juvenile,male,27.0,19.569663107639066,,"['Snail', 'Algae', 'Sea Sponge', 'Sea Urchin', 'Polychaete Worm']",8.0,Sideways walking along bay edge.,,,
27,7.0,6.876020860237778,9.0,A. Farensis,,False,2.2689942715225806,juvenile,female,28.0,18.28926230443478,,"['Barnacle', 'Sea Urchin', 'Jellyfish', 'Polychaete Worm']",8.0,Displaying dominance by lifting body.,,,
28,32.0,3.7225536095127887,5.0,A farensis,,False,2.4840583113191306,sub_adult,nan,29.0,21.347857900329466,,"['Small Fish', 'Sea Sponge']",5.0,Exchanging antenna taps.,,,
29,12.0,2.6583949648575746,5.0,A. Farensis,,False,2.789277400617185,sub_adult,nan,30.0,19.301649443927634,,"['Small Fish', 'Crab (Other Species)']",7.0,Cleaning claws with rubbing motion.,,,
30,35.0,5.4720496406947605,9.0,A farensis,,False,47.6817475671145,adult,male,31.0,21.113347873702516,,['Polychaete Worm'],8.0,Climbing algae-covered rocks.,,,
31,21.0,6.491492404969122,5.0,A farensis,,False,3.2449619466996547,pre_puberty,female,32.0,19.467803929392545,,['Shrimp'],8.0,Crab moving quickly across rocks.,,,
32,10.0,3.036173561407842,3.0,A farensis,,False,1.0951757140193028,pre_puberty,male,33.0,19.19533939181653,,"['Shrimp', 'Sea Urchin', 'Sea Anemone', 'Barnacle', 'Algae']",7.0,Social contact with other crabs.,,,
33,9.0,5.942226271753298,2.0,U. olhanensis,,False,0.058687309754177075,adult,male,34.0,18.597400366844475,,"['Jellyfish', 'Snail']",5.0,Using claws to dig into sediment.,,,
34,11.0,1.676230232904706,6.0,U. olhanensis,,False,6.4906572975875445,sub_adult,female,35.0,18.857633658496376,,"['Algae', 'Sea Urchin', 'Barnacle', 'Polychaete Worm', 'Small Fish']",5.0,Cleaning claws with rubbing motion.,,,
35,15.0,7.214624961941586,3.0,u. olhanen.,,False,14.6520884128309,pre_puberty,male,36.0,17.744871929648454,,['Sea Urchin'],8.0,Inspecting discarded crab shell.,,,
36,28.0,6.906047097961293,3.0,A. Farensis,,False,11.6832559545433,juvenile,male,37.0,20.577327578858707,,['Shrimp'],8.0,Exchanging antenna taps.,,,
37,22.0,6.717575541195141,2.0,A. Farensis,,False,54.8889278902238,pre_puberty,male,38.0,19.611590269271314,,"['Sea Urchin', 'Sea Anemone', 'Snail', 'Barnacle', 'Jellyfish']",7.0,Feeding on detritus in shallow water.,,,
38,16.0,6.855527188298113,7.0,A. Farensis,,False,1.5209807632596313,juvenile,male,39.0,20.201741449452122,,"['Algae', 'Small Fish', 'Sea Urchin', 'Polychaete Worm']",9.0,Claw snapping in competition.,,,
39,17.0,4.452842230464002,4.0,U. olhanensis,,False,2.5701760303553107,pre_puberty,female,40.0,19.696029369099932,,"['Coral Fragment', 'Mussel', 'Shrimp']",9.0,Resting under shell fragment.,,,
40,21.0,5.337598297505894,4.0,U. olhanensis,,False,0.36634855430883934,pre_puberty, ,41.0,19.755504530430084,,"['Barnacle', 'Polychaete Worm', 'Sea Star']",6.0,Interaction with hermit crabs.,,,
41,26.0,4.6579023476441535,9.0,A. Farensis,,False,101.89578156988696,juvenile,male or female,42.0,20.941567917798626,,"['Shrimp', 'Small Fish', 'Snail', 'Polychaete Worm']",7.0,Claw waving directed at nearby crab.,,,
42,14.0,3.4973862061027727,2.0,A. Farensis,,False,24.654596120981807,sub_adult, ,43.0,17.283755358210158,,"['Sea Sponge', 'Hermit Crab', 'Coral Fragment', 'Jellyfish']",10.0,Searching for mates at twilight.,,,
43,8.0,6.943760853946845,3.0,U. olhanensis,,False,1.1007397230873603,sub_adult,male,44.0,18.17885775854324,,['Sea Star'],6.0,Struggling with entangled seaweed.,,,
44,10.0,1.7629724192728782,8.0,U. olhanensis,,False,6.176547289612109,juvenile,female,45.0,18.22563505385413,,['Small Fish'],5.0,Sitting still blending with environment.,,,
45,9.0,7.480223786415623,8.0,u. olhanen.,,True,8.50599243401711,juvenile,male,46.0,18.40145834536386,,['Jellyfish'],9.0,Moving toward bait.,,,
46,11.0,-0.47363392608673216,10.0,A farensis,,False,7.099868795420649,juvenile,male,47.0,19.7823556183872,,"['Crab (Other Species)', 'Sea Anemone', 'Sea Urchin']",8.0,Retreating into burrow.,,,
47,26.0,3.3541978178925174,3.0,A. Farensis,,False,6.940597909888752,pre_puberty,male,48.0,20.093466566307647,,"['Hermit Crab', 'Polychaete Worm', 'Small Fish', 'Sea Anemone', 'Crab (Other Species)']",7.0,Moving sideways along sandy bottom.,,,
48,15.0,5.886382693123847,6.0,U. olhanensis,,True,3.57384158533269,pre_puberty,-,49.0,17.662114240926087,,"['Sea Star', 'Coral Fragment']",8.0,Social contact with other crabs.,,,
49,7.0,0.9364583287822215,12.0,U. olhanensis,,False,150.0,adult,male,50.0,18.522448516848073,,"['Barnacle', 'Sea Anemone']",11.0,Moving toward bait.,,,
50,7.0,5.419641454433609,2.0,u. olhanen.,,False,1.2669140872843363,juvenile,male or female,51.0,17.99395365771904,,"['Polychaete Worm', 'Snail', 'Crab (Other Species)', 'Jellyfish', 'Sea Anemone']",6.0,Sitting still blending with environment.,,,
51,22.0,4.228030692283977,4.0,A farensis,,False,0.3214348170617291,juvenile,male,52.0,18.664038769817235,,"['Barnacle', 'Snail', 'Crab (Other Species)', 'Hermit Crab', 'Small Fish']",8.0,Inspecting discarded crab shell.,,,
52,21.0,0.1900915977816977,4.0,A. Farensis,,False,4.70083570475962,sub_adult,male,53.0,20.014945711265177,,"['Sea Urchin', 'Crab (Other Species)', 'Jellyfish', 'Mussel']",5.0,Escaping predator silhouette overhead.,,,
53,14.0,1.5970250103320192,2.0,u. olhanen.,,False,77.77090866960283,pre_puberty,male,54.0,18.621022727673353,,"['Crab (Other Species)', 'Sea Anemone']",6.0,Emerging cautiously from hiding.,,,
