,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,26,8.725123871267176,2,u. olhanen.,-8.01873,False,0.28965019899630984,juvenile,male,1,11.334900391641774,37.02606,"['Sea Star', 'Sea Anemone', 'Hermit Crab']",9,Foraging among seagrass roots.
1,24,9.496524349228107,8,u. olhanen.,,False,0.31432528263296516,pre_puberty,female,2,8.718790974269513,,"['Sea Sponge', 'Algae', 'Barnacle', 'Sea Anemone', 'Snail']",7,Climbing vertical rock face.
2,34,8.668269186991104,3,u. olhanen.,,False,3.9272475768746538,pre_puberty, ,3,10.3016685589219,,"['Sea Urchin', 'Hermit Crab', 'Sea Star', 'Sea Sponge']",4,Climbing onto submerged logs.
3,33,9.87513799947294,4,U. olhanensis,,False,2.75185907190257,pre_puberty,male,4,9.66961075492004,,['Sea Urchin'],4,Feeding on small mollusks.
4,33,9.277116152632805,3,A. Farensis,,False,0.8532337932391574,juvenile, ,5,11.928701078840703,,"['Small Fish', 'Sea Star', 'Crab (Other Species)']",6,Scavenging near tidal pools.
5,26,9.557345864976215,3,A. Farensis,,False,2.058266002088103,adult,male,6,9.744800620072146,,"['Sea Urchin', 'Jellyfish']",7,Hiding in sandy burrow.
6,21,8.259060557327363,3,A farensis,,False,0.25677988391689976,adult,male,7,9.036302925586368,,"['Crab (Other Species)', 'Barnacle']",11,Stillness in cold water.
7,26,9.032323023648228,3,A farensis,,False,0.48667850741480856,sub_adult,female,8,7.859744699258629,,"['Snail', 'Polychaete Worm', 'Mussel', 'Algae']",7,Retreating quickly from shadow.
8,32,7.442064055396959,5,u. olhanen.,,False,0.7041220303608193,juvenile, ,9,11.783929959957261,,"['Shrimp', 'Snail', 'Sea Urchin']",8,Sitting still blending with environment.
9,22,10.243065315060212,5,A. Farensis,,False,0.32045377892392773,pre_puberty,male,10,8.337341985229937,,"['Algae', 'Mussel', 'Small Fish', 'Sea Star']",12,Moving toward warmer water pockets.
10,12,9.343988684785709,5,A farensis,,False,1.1299139181364901,adult,male,11,7.368672737506309,,"['Snail', 'Sea Star', 'Crab (Other Species)']",9,Displaying dominance by lifting body.
11,20,8.381413146348544,3,U. olhanensis,,True,14.738468355142771,juvenile,?,12,9.5308272297059,,['Sea Anemone'],10,Mating behavior with antenna touching.
12,29,10.737650977314637,5,A farensis,,True,0.44086743114867394,adult,male,13,11.000054634366393,,['Snail'],7,Picking biofilm on submerged wood.
13,26,10.606910367923742,3,A farensis,,False,7.688947838500051,adult,male,14,10.251685607854998,,['Shrimp'],11,Cleaning claws with rubbing motion.
14,42,8.455202648040894,9,A farensis,,True,0.9282411377257905,adult,male,15,11.327740739689977,,"['Barnacle', 'Sea Star', 'Snail']",6,Picking detritus from seabed.
15,36,8.243466065600101,5,U. olhanensis,,False,1.5266177510524193,adult,male or female,16,11.18608513261894,,"['Snail', 'Polychaete Worm', 'Sea Anemone', 'Small Fish']",8,Inspecting discarded crab shell.
16,17,9.643221074993836,8,A farensis,,False,4.257579903137281,pre_puberty,male,17,8.805835929752512,,"['Sea Urchin', 'Coral Fragment']",10,Picking algae from rock surface.
17,59,8.43102419452016,3,U. olhanensis,,False,10.425865401193404,adult, ,18,13.773082887238978,,"['Hermit Crab', 'Coral Fragment', 'Sea Star', 'Shrimp']",7,Moving sideways along sandy bottom.
18,23,9.687553811673531,2,A. Farensis,,False,0.9208343253712804,sub_adult,male,19,10.332709663842232,,"['Sea Anemone', 'Mussel', 'Sea Star']",6,Color changes during molting.
19,28,9.289260758612896,4,U. olhanensis,,False,2.357212913314765,juvenile,male,20,9.919611600947722,,"['Snail', 'Polychaete Worm', 'Mussel', 'Shrimp']",10,Dragging shell fragment backward.
20,31,10.099477018664686,3,A farensis,,False,7.032502351458468,juvenile,male,21,9.73371442801741,,"['Small Fish', 'Crab (Other Species)', 'Coral Fragment']",7,Color changes during molting.
21,16,9.588831809069672,2,U. olhanensis,,False,0.5329220268598078,juvenile,male,22,9.074459877905966,,"['Sea Star', 'Mussel', 'Small Fish', 'Crab (Other Species)', 'Hermit Crab']",6,Moving toward warmer water pockets.
22,51,9.161714929042303,4,A. Farensis,,False,0.9888993848102701,juvenile,female,23,12.809048492187216,,"['Sea Anemone', 'Jellyfish', 'Algae', 'Mussel']",5,Claw waving directed at nearby crab.
23,47,10.56883078900108,2,U. olhanensis,,False,8.178246947829006,adult,male,24,10.337026839745429,,"['Jellyfish', 'Sea Star']",7,Mating behavior with antenna touching.
24,19,8.301864684963913,2,u. olhanen.,,False,2.171019016351828,sub_adult, ,25,8.555424809245322,,"['Mussel', 'Sea Urchin', 'Hermit Crab', 'Sea Sponge', 'Barnacle']",8,Moving in groups.
25,33,8.21900302322407,5,A farensis,,True,1.91950115689135,pre_puberty,female,26,11.146356896147228,,"['Jellyfish', 'Mussel', 'Coral Fragment', 'Shrimp']",12,Shaking claws after contact.
26,19,9.609312992142584,4,A farensis,,False,1.8747275114596498,juvenile,male,27,8.898521876249363,,"['Polychaete Worm', 'Jellyfish']",9,Climbing seaweed stalks.
