species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
A farensis,female,adult,True,Swimming short distance to escape.,"['Jellyfish', 'Coral Fragment', 'Crab (Other Species)']",6.0,17.11896272836745,20.27151358014425,29.570611562575618,17.217485303289802,47.0,2020-05-31,37.02606,-8.01873,0
A farensis,female,pre_puberty,False,Feeding on detritus in shallow water.,"['Coral Fragment', 'Algae']",9.0,6.848313297416264,6.641116471662531,9.301419680453254,7.244669329033746,48.0,2020-05-31,,,1
u. olhanen.,male,pre_puberty,,Vibrating antennae in water currents.,"['Mussel', 'Polychaete Worm']",9.0,15.0,16.59153504491033,20.37822213647376,15.890013137628147,46.0,2020-05-31,,,2
A farensis,female,adult,True,Moving toward warmer water pockets.,"['Shrimp', 'Sea Urchin', 'Small Fish', 'Algae', 'Jellyfish']",7.0,20.469314607577832,21.97259080661117,32.78691762809072,22.075538640121504,45.0,2020-05-31,,,3
u. olhanen.,male,adult,,Slow movement near seagrass patches.,"['Sea Urchin', 'Sea Star', 'Crab (Other Species)', 'Barnacle', 'Polychaete Worm']",10.0,18.0,18.645425351854385,26.436062941421802,18.816634210144542,45.0,2020-05-31,,,4
U. olhanensis,female,adult,False,Hiding under floating debris.,"['Sea Sponge', 'Sea Anemone']",6.0,30.50663197922485,32.71517119618498,45.123221824524364,30.547404812498094,46.0,2020-05-31,,,5
u. olhanen.,male,juvenile,,Climbing seaweed stalks.,"['Small Fish', 'Hermit Crab', 'Jellyfish']",8.0,10.0,12.173340188532759,15.176258425301317,10.618366673904214,47.0,2020-05-31,,,6
u. olhanen.,male,adult,,Climbing onto submerged logs.,"['Jellyfish', 'Mussel']",9.0,45.0,40.901653689903405,55.7348817920505,46.852966668842065,46.0,2020-05-31,,,7
u. olhanen.,female,adult,False,Half buried in sand.,"['Polychaete Worm', 'Jellyfish', 'Small Fish', 'Shrimp', 'Sea Sponge']",7.0,17.275129281226636,17.97125667906913,22.77156584197548,17.36334014738048,45.0,2020-05-31,,,8
u. olhanen.,female,sub_adult,False,Cleaning claws with rubbing motion.,"['Sea Sponge', 'Algae', 'Coral Fragment', 'Crab (Other Species)', 'Small Fish']",6.0,13.133884703060573,18.508165087763444,27.68202835998827,13.517978938906852,46.0,2020-05-31,,,9
u. olhanen., ,adult,True,Exchanging antenna taps.,['Sea Sponge'],4.0,28.5,27.928195837102404,38.47233306225071,30.532966267506545,46.0,2020-05-31,,,10
Ucides alvorensis,male or female,sub_adult,,Climbing seaweed stalks.,"['Sea Star', 'Sea Urchin', 'Barnacle']",10.0,35.0,36.348990636812346,53.99320931751707,37.6430237151686,46.0,2020-05-31,,,11
U. olhanensis,female,juvenile,False,Vibrating antennae in water currents.,"['Algae', 'Shrimp', 'Polychaete Worm', 'Sea Star', 'Hermit Crab']",8.0,8.817275973904428,10.049172418648386,12.64132670131635,9.039744365362374,47.0,2020-05-31,,,12
U. olhanensis,female,adult,False,Feeding on small mollusks.,"['Barnacle', 'Jellyfish', 'Algae']",7.0,32.9342645206611,36.10130003539174,47.73545024663692,34.39437649398547,46.0,2020-05-31,,,13
A farensis,female,sub_adult,False,Retreating quickly from shadow.,"['Hermit Crab', 'Snail', 'Barnacle', 'Sea Star']",10.0,10.555232228322886,13.368084096578354,19.932792982011264,10.580409685919513,45.0,2020-05-31,,,14
Ucides alvorensis,female,sub_adult,True,Using claws to dig into sediment.,"['Sea Sponge', 'Sea Star', 'Jellyfish', 'Barnacle']",9.0,7.401499878606085,8.415860397312363,11.660811647507101,7.654247128286736,47.0,2020-05-31,,,15
U. olhanensis,female,adult,True,Emerging cautiously from hiding.,['Shrimp'],10.0,39.836162599369,45.73804337654465,58.07507837771457,40.55936101331936,45.0,2020-05-31,,,16
A farensis,male,adult,,Displaying dominance by lifting body.,"['Sea Urchin', 'Barnacle', 'Hermit Crab', 'Algae', 'Sea Star']",9.0,25.5,26.168557564651454,35.250304951519816,27.807309405361842,47.0,2020-05-31,,,17
A farensis,male,sub_adult,,Sitting still blending with environment.,"['Sea Sponge', 'Jellyfish']",9.0,15.0,15.164086923222195,18.842643508298835,15.201164926084834,47.0,2020-05-31,,,18
u. olhanen.,female,adult,False,Searching for food in tidal pools.,"['Algae', 'Polychaete Worm', 'Shrimp', 'Crab (Other Species)']",9.0,62.40435604856352,54.99559996881171,73.20731220814301,67.97634740037766,46.0,2020-05-31,,,19
Ucides alvorensis,male or female,pre_puberty,True,Exchanging antenna taps.,"['Snail', 'Shrimp']",9.0,15.0,14.262411487330802,21.340196665768588,15.510125549164545,46.0,2020-05-31,,,20
Ucides alvorensis,male,sub_adult,,Foraging among seagrass roots.,"['Crab (Other Species)', 'Jellyfish', 'Sea Sponge']",8.0,7.5,8.958493142192767,11.802650965480597,8.026648561282931,46.0,2020-05-31,,,21
u. olhanen.,male,adult,,Feeding on algae scraped from rocks.,"['Sea Anemone', 'Algae', 'Jellyfish', 'Sea Star', 'Sea Urchin']",9.0,46.5,42.73997391698345,57.974016725900256,50.063142277585314,47.0,2020-05-31,,,22
A farensis,male,sub_adult,,Using claws to dig into sediment.,"['Sea Star', 'Crab (Other Species)']",8.0,6.25,6.336952669724664,9.467104040604056,6.4308860865372175,46.0,2020-05-31,,,23
A farensis,male,juvenile,,Pausing frequently during exploration.,"['Sea Sponge', 'Small Fish', 'Mussel', 'Sea Urchin', 'Barnacle']",7.0,16.0,22.33944585974472,30.279254333891608,16.298346532349896,45.0,2020-05-31,,,24
A farensis,male,pre_puberty,,Emerging cautiously from hiding.,"['Sea Anemone', 'Snail', 'Barnacle', 'Jellyfish', 'Hermit Crab']",6.0,8.25,7.017374726505224,9.895697904017222,8.78022176059983,47.0,2020-05-31,,,25
Ucides alvorensis,male,pre_puberty,,Dragging shell fragment backward.,"['Mussel', 'Sea Anemone', 'Jellyfish']",8.0,16.5,19.49374596874704,25.043394839594217,17.667558075787934,46.0,2020-05-31,,,26
