,cl [cm],lcl [cm],fw [cm],species_name,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],is_gravid?,behavior
0,33,9.119389160600425,4,A farensis,-7.99163,True,67.9226318792152,adult,male,1,15.557253110798744,37.01025,"['Shrimp', 'Coral Fragment', 'Snail', 'Mussel']",8,True,Pausing frequently during exploration.
1,28,10.647313461705188,3,A. Farensis,,False,14.705029794246315,juvenile,male,2,17.192488949634008,,"['Snail', 'Crab (Other Species)']",8,False,Claw snapping in competition.
2,13,12.372408636540463,2,U. olhanensis,,False,10.668675280807811,pre_puberty,male or female,3,18.676990396245007,,"['Polychaete Worm', 'Sea Sponge', 'Coral Fragment', 'Hermit Crab', 'Sea Anemone']",7,False,Pausing frequently during exploration.
3,12,9.388353795766829,4,U. olhanensis,,True,177.90251979384996,sub_adult,male,4,15.658974402184308,,"['Sea Urchin', 'Algae']",5,True,Rapid claw movement while feeding.
4,8,7.886268147670583,2,A farensis,,False,130.95021841657206,pre_puberty,male,5,17.23229924229449,,"['Sea Star', 'Coral Fragment', 'Algae', 'Jellyfish']",9,False,Hiding under seagrass blades.
5,29,7.914566523599283,6,A farensis,,False,45.861386087430674,pre_puberty,male,6,14.43522252766143,,"['Hermit Crab', 'Algae', 'Shrimp', 'Polychaete Worm']",9,False,Hiding beneath rocks.
6,14,6.93260334814679,3,A farensis,,False,0.1471216347999597,sub_adult,?,7,17.475670569900778,,['Barnacle'],7,False,Defensive posture when approached.
7,18,9.370246252068036,4,A. Farensis,,False,56.84731922565708,pre_puberty,female,8,24.41992717573278,,"['Sea Sponge', 'Jellyfish']",9,False,Climbing algae-covered rocks.
8,39,9.963553833087529,3,u. olhanen.,,False,98.09257016263042,sub_adult,female,9,16.463563585543668,,"['Jellyfish', 'Hermit Crab', 'Shrimp', 'Sea Anemone', 'Algae']",8,False,Moving in groups.
9,26,8.696411858628984,5,A. Farensis,,False,0.6191804468288342,adult, ,10,16.584402149784477,,"['Small Fish', 'Polychaete Worm', 'Crab (Other Species)', 'Jellyfish', 'Barnacle']",4,False,Resting under shell fragment.
10,27,8.01128841371417,4,A farensis,,True,2.5966552323398364,adult,female,11,16.05032108892777,,"['Sea Anemone', 'Sea Sponge', 'Sea Urchin']",7,True,Exchanging antenna taps.
11,31,8.416037126382875,2,A farensis,,False,22.01271420025332,pre_puberty,male,12,15.70896558914525,,"['Algae', 'Polychaete Worm', 'Mussel', 'Jellyfish', 'Sea Star']",11,False,Using claws to dig into sediment.
12,22,9.113044363682944,3,A. Farensis,,False,5.63384454283278,pre_puberty,male,13,17.450885549489723,,"['Mussel', 'Jellyfish', 'Barnacle', 'Polychaete Worm']",11,False,Guarding eggs under abdominal flap.
13,7,6.9370836443623425,3,A. Farensis,,False,57.94756512315273,sub_adult,male,14,20.644700298943164,,"['Snail', 'Sea Star', 'Crab (Other Species)', 'Sea Sponge', 'Shrimp']",8,False,Inspecting discarded crab shell.
14,17,10.049614804043735,8,A. Farensis,,False,2.8720006321401197,adult,male,15,22.15371734417131,,"['Coral Fragment', 'Sea Urchin', 'Snail']",11,False,Moving in groups.
15,13,8.441228437618404,5,u. olhanen.,,True,37.37602209536917,adult,nan,16,21.426798707656197,,"['Polychaete Worm', 'Algae', 'Hermit Crab']",10,True,Half buried in sand.
16,19,9.472753754815523,5,A. Farensis,,False,7.7822439953545315,sub_adult,male,17,22.148661215631115,,"['Shrimp', 'Hermit Crab', 'Sea Anemone', 'Barnacle']",11,False,Exploring new territory.
17,7,9.65898980663487,2,A. Farensis,,False,2.5929306723238494,sub_adult,male,18,16.616861380453674,,['Jellyfish'],9,False,Picking biofilm on submerged wood.
18,23,5.069849588565658,2,A. Farensis,,True,12.434267916882405,adult,male,19,17.43093809993907,,['Barnacle'],7,True,Sideways walking along bay edge.
19,20,7.800632591498439,2,A. Farensis,,False,16.436170989194082,pre_puberty,male,20,15.118054090632288,,['Polychaete Worm'],11,False,Guarding eggs under abdominal flap.
20,43,7.86716133972023,3,u. olhanen.,,False,3.52542642485141,adult,male,21,19.791833128593694,,"['Snail', 'Sea Sponge', 'Polychaete Worm', 'Barnacle']",1,False,Picking biofilm on submerged wood.
21,39,7.086291531710652,2,A. Farensis,,False,1.5083229997591505,pre_puberty,male,22,19.84169015089982,,['Mussel'],10,False,Moving toward warmer water pockets.
22,28,10.437991263976377,7,A farensis,,False,0.9228033490447216,pre_puberty,nan,23,16.6936830150476,,"['Coral Fragment', 'Snail', 'Jellyfish', 'Sea Anemone', 'Shrimp']",10,False,Claw snapping at diver.
23,36,5.948468486812571,5,A. Farensis,,False,0.32768973691246095,sub_adult, ,24,21.61173212839074,,"['Sea Anemone', 'Barnacle', 'Shrimp', 'Sea Urchin']",9,False,Color changes during molting.
24,33,6.1004330418127815,8,A. Farensis,,False,9.837769382245263,sub_adult,female,25,15.920437398976965,,"['Hermit Crab', 'Crab (Other Species)', 'Algae', 'Polychaete Worm']",6,False,Shaking claws after contact.
25,14,7.71368515568914,2,u. olhanen.,,True,10.73357192028369,sub_adult,?,26,17.656158720095213,,"['Snail', 'Hermit Crab', 'Barnacle']",6,True,Feeding on detritus in shallow water.
26,10,7.4133939045116,7,A. Farensis,,False,4.619910349069901,adult,male,27,17.274186631600795,,"['Shrimp', 'Hermit Crab', 'Sea Urchin']",7,False,Sitting still blending with environment.
27,31,6.164742263205861,3,A farensis,,False,2.9160514342559596,pre_puberty,female,28,19.724047749336034,,"['Shrimp', 'Sea Anemone', 'Hermit Crab', 'Mussel', 'Polychaete Worm']",4,False,Emerging cautiously from hiding.
28,11,12.026238428438223,6,A. Farensis,,False,4.3168824602151865,pre_puberty,female,29,22.12653135284711,,['Mussel'],9,False,Picking detritus from seabed.
29,17,12.52137644188513,2,u. olhanen.,,False,20.309532130824905,pre_puberty, ,30,14.276546572221207,,['Algae'],9,False,Climbing onto submerged logs.
30,20,7.839797296229927,5,U. olhanensis,,True,23.71941215173079,sub_adult,male,31,14.902991195979437,,['Polychaete Worm'],9,True,Foraging among seagrass roots.
31,32,7.193553002660648,6,A. Farensis,,False,31.888851453858912,pre_puberty,female,32,19.723507060934143,,"['Mussel', 'Shrimp', 'Sea Sponge']",10,False,Rapid claw movement while feeding.
32,28,11.389327302507356,3,u. olhanen.,,False,1.319425506352778,sub_adult,female,33,15.585297800069965,,['Sea Sponge'],6,False,Claw snapping in competition.
33,32,8.842859881263081,5,u. olhanen.,,False,11.133662633512417,sub_adult,male,34,15.636472644362549,,"['Sea Sponge', 'Algae']",4,False,Dragging shell fragment backward.
34,35,8.952710446401891,6,A. Farensis,,False,9.8821088506515,sub_adult, ,35,18.012038575177534,,"['Crab (Other Species)', 'Jellyfish', 'Hermit Crab', 'Sea Urchin']",7,False,Picking detritus from seabed.
35,24,6.200685764064691,6,A. Farensis,,False,12.546975704580554,sub_adult,nan,36,18.978263333355542,,"['Sea Anemone', 'Hermit Crab', 'Sea Star']",9,False,Hiding in sandy burrow.
36,11,7.856211199518946,5,u. olhanen.,,False,17.56589705171291,sub_adult,male,37,16.97014395662822,,"['Polychaete Worm', 'Barnacle', 'Crab (Other Species)']",9,False,Burrowing into sandy sediment.
37,41,7.668169307364919,4,A. Farensis,,False,19.799613698381137,sub_adult,male,38,17.67868802910362,,"['Algae', 'Crab (Other Species)']",6,False,Emerging cautiously from hiding.
38,27,9.422362722364193,3,A. Farensis,,False,4.1497167161230655,sub_adult,male,39,23.313573491233416,,"['Hermit Crab', 'Shrimp']",4,False,Camouflaging with surrounding mud.
39,15,8.076771623653885,5,A. Farensis,,True,10.354306121849927,adult,female,40,19.002571637237075,,"['Sea Anemone', 'Jellyfish', 'Barnacle']",9,True,Searching for food in tidal pools.
40,12,9.561608366680824,7,A farensis,,False,17.733659650157282,sub_adult,male,41,20.62573611594816,,"['Sea Sponge', 'Mussel', 'Crab (Other Species)']",6,False,Color changes during molting.
41,18,9.434158685589907,2,U. olhanensis,,True,28.225536420233436,pre_puberty,female,42,19.903504074834128,,"['Snail', 'Mussel', 'Shrimp']",11,True,Picking biofilm on submerged wood.
42,47,8.50227631276149,8,A. Farensis,,False,150.0,adult,female,43,14.095236927922016,,"['Crab (Other Species)', 'Barnacle', 'Coral Fragment', 'Sea Urchin', 'Jellyfish']",8,False,Hiding beneath rocks.
43,19,11.477160370513381,5,A farensis,,False,1.952339869097433,sub_adult,female,44,21.544099530196778,,['Mussel'],7,False,Social contact with other crabs.
44,17,10.40771272875202,5,u. olhanen.,,False,2.0113452842571995,sub_adult,male,45,20.048797901693057,,['Sea Urchin'],7,False,Climbing seaweed stalks.
45,37,5.841494921558724,4,A. Farensis,,False,21.02899013667097,pre_puberty,male or female,46,18.159881650913718,,['Algae'],5,False,Camouflaging with surrounding mud.
46,30,10.716450155133055,9,A farensis,,False,6.000842537950117,adult,male,47,21.77958916790768,,"['Shrimp', 'Polychaete Worm', 'Small Fish', 'Barnacle', 'Coral Fragment']",5,False,Climbing seaweed stalks.
47,35,8.913626565719223,11,U. olhanensis,,False,31.69523241424299,sub_adult,female,48,17.64955648446599,,"['Jellyfish', 'Small Fish', 'Sea Urchin']",7,False,Emerging cautiously from hiding.
48,28,8.071470128097848,4,A farensis,,False,7.235714811954981,sub_adult,male or female,49,17.41970942109005,,"['Sea Urchin', 'Small Fish', 'Barnacle', 'Sea Anemone', 'Crab (Other Species)']",4,False,Moving sideways along sandy bottom.
49,19,10.197158542002876,3,A farensis,,False,16.703067243479317,sub_adult,male,50,16.082054557882632,,"['Algae', 'Sea Sponge', 'Sea Star', 'Shrimp', 'Snail']",8,False,Hiding beneath rocks.
50,17,7.022114388497163,3,A farensis,,False,149.04699803453013,pre_puberty,male,51,23.51439451281572,,"['Algae', 'Small Fish']",6,False,Exchanging antenna taps.
51,12,10.283735205844048,4,A. Farensis,,True,6.8636276198423145,pre_puberty,female,52,18.738383815267106,,['Hermit Crab'],7,True,Vibrating antennae in water currents.
52,9,9.474095561236831,4,u. olhanen.,,False,11.849893673885731,sub_adult,male or female,53,20.209734135829432,,['Shrimp'],11,False,Interaction with hermit crabs.
53,26,7.422386025239857,5,A farensis,,False,194.05550305181833,pre_puberty,male,54,15.835594384697375,,"['Jellyfish', 'Polychaete Worm', 'Sea Star', 'Snail']",9,False,Hiding beneath rocks.
54,27,9.031368955649627,3,U. olhanensis,,True,21.232617373247543,sub_adult, ,55,13.351979003881489,,"['Sea Star', 'Sea Sponge', 'Sea Urchin']",12,True,Feeding on small crustaceans.
55,23,8.378642746044214,4,A farensis,,False,0.5053904301758267,pre_puberty,male,56,18.198914058304016,,"['Sea Urchin', 'Shrimp', 'Barnacle', 'Crab (Other Species)']",9,False,Climbing algae-covered rocks.
56,24,7.227647482837684,5,A farensis,,False,2.6926237248612592,adult,male,57,20.94701305982874,,"['Barnacle', 'Sea Anemone', 'Sea Star', 'Algae', 'Sea Urchin']",7,False,Feeding on small crustaceans.
57,10,7.736156018953405,3,A. Farensis,,True,22.46678131002761,adult,?,58,15.779202370318544,,"['Sea Star', 'Polychaete Worm', 'Mussel', 'Barnacle']",6,True,Picking biofilm on submerged wood.
58,22,8.935094582358708,3,A farensis,,False,0.49766086413301536,pre_puberty,male,59,16.503662778250902,,"['Coral Fragment', 'Sea Star']",7,False,Feeding on small crustaceans.
59,17,6.63812612147127,7,u. olhanen.,,False,138.87605941700718,sub_adult,male or female,60,16.265786489999655,,"['Jellyfish', 'Sea Star']",11,False,Rapid crossing of open sand.
60,28,10.568307558510897,3,A. Farensis,,False,42.19394906276341,sub_adult,male,61,17.032509825339968,,['Barnacle'],6,False,Displaying dominance by lifting body.
61,24,10.33148906637777,8,U. olhanensis,,False,5.329481715756423,sub_adult,male,62,19.125901390268503,,"['Sea Urchin', 'Sea Anemone', 'Hermit Crab', 'Coral Fragment']",8,False,Crab moving quickly across rocks.
62,18,9.22174317815639,13,A. Farensis,,False,27.236154497013253,adult,?,63,14.965186200083902,,"['Barnacle', 'Polychaete Worm', 'Sea Star', 'Algae', 'Sea Sponge']",9,False,Burrowing into sandy sediment.
63,21,6.207925768482842,6,A farensis,,False,150.0,pre_puberty, ,64,20.564026609756496,,"['Coral Fragment', 'Sea Anemone']",10,False,Crab moving quickly across rocks.
64,15,7.186292843383304,4,A farensis,,False,11.979426369166255,sub_adult,-,65,11.550504195764958,,"['Coral Fragment', 'Barnacle']",5,False,Moving toward bait.
65,29,8.022233388881936,2,A farensis,,False,1.1455926498556968,adult,nan,66,15.175543329563528,,"['Shrimp', 'Algae']",9,False,Claw snapping in competition.
66,12,9.666023840510574,6,A farensis,,False,0.5233294895095714,sub_adult,-,67,19.08976098969012,,"['Shrimp', 'Mussel']",8,False,Picking biofilm on submerged wood.
67,22,9.773989426777963,2,A. Farensis,,False,1.0196250679139987,sub_adult,male,68,13.177534644382224,,"['Mussel', 'Coral Fragment', 'Barnacle', 'Snail']",5,False,Color changes during molting.
68,21,8.040949436355499,4,u. olhanen.,,False,3.965021219189779,sub_adult,female,69,16.836241623190272,,"['Small Fish', 'Sea Sponge', 'Sea Urchin', 'Shrimp', 'Mussel']",6,False,Claw snapping in competition.
69,25,7.632901425483088,3,A. Farensis,,False,0.6258769043838859,pre_puberty,N/R,70,16.524985343629385,,"['Polychaete Worm', 'Sea Urchin']",6,False,Sitting still blending with environment.
70,6,9.919095031047386,5,A. Farensis,,False,1.0061677200763353,adult,?,71,15.6529819400415,,"['Snail', 'Shrimp', 'Small Fish']",10,False,Using claws to dig into sediment.
71,11,9.15058822591344,4,U. olhanensis,,False,150.0,juvenile,male,72,15.464620732134797,,"['Hermit Crab', 'Algae', 'Shrimp']",11,False,Searching for food in tidal pools.
72,16,6.580935654294912,5,A farensis,,False,3.0162854694323555,pre_puberty,male,73,15.498386147883192,,"['Jellyfish', 'Coral Fragment', 'Hermit Crab', 'Small Fish', 'Shrimp']",9,False,Exchanging antenna taps.
73,25,8.352321110288786,4,A farensis,,False,150.0,juvenile,female,74,19.794494329478685,,"['Crab (Other Species)', 'Coral Fragment']",5,False,Climbing algae-covered rocks.
74,10,7.24864962503338,4,A farensis,,False,0.8975507285045614,juvenile,female,75,17.845501888250794,,"['Algae', 'Barnacle', 'Mussel', 'Shrimp', 'Snail']",6,False,Rapid claw movement while feeding.
75,25,10.736775579899042,2,A. Farensis,,False,6.564243691321195,pre_puberty,male,76,17.944638232764444,,"['Polychaete Worm', 'Mussel']",5,False,Burrowing into sandy sediment.
76,38,5.2470946371662635,2,A farensis,,False,30.43738802110453,sub_adult,male,77,15.063769560139402,,"['Shrimp', 'Jellyfish']",6,False,Slow movement near seagrass patches.
77,6,10.348355792289594,4,u. olhanen.,,False,11.045883071136073,adult,female,78,20.045729701845886,,['Sea Anemone'],7,False,Color changes during molting.
78,13,7.936274304704436,5,A farensis,,False,1.4579980825154952,sub_adult,female,79,21.62860225958737,,"['Shrimp', 'Sea Anemone', 'Barnacle', 'Sea Star']",9,False,Territorial display against intruder.
79,15,8.602339627520326,8,A. Farensis,,False,20.58731588393845,pre_puberty,female,80,18.92732069488706,,"['Mussel', 'Hermit Crab', 'Algae']",6,False,Moving toward warmer water pockets.
80,11,10.554006573882727,7,A farensis,,False,150.0,sub_adult,male,81,20.92254296746023,,"['Mussel', 'Sea Urchin', 'Hermit Crab', 'Algae', 'Small Fish']",6,False,Climbing onto submerged logs.
81,23,8.962868482636843,3,A. Farensis,,True,16.415537315478797,sub_adult,male,82,16.370003106012508,,"['Polychaete Worm', 'Snail', 'Sea Anemone']",7,True,Escaping from aggressive fish.
