,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,132,97,40
0,22.0,5.6546908992651455,4.0,A farensis,-8.01873,False,2.100065189519018,sub_adult,female,1.0,15.190902729785359,37.02606,['Small Fish'],8.0,Stillness in cold water.,,,
1,15.0,7.721483686281955,4.0,U. olhanensis,,True,2.2242182087691202,adult,female,2.0,14.715381808660135,,"['Algae', 'Shrimp']",8.0,Escaping from aggressive fish.,,,
2,31.0,5.633015192509697,6.0,A farensis,,False,3.224575097379868,sub_adult,male,3.0,16.67358588797487,,"['Coral Fragment', 'Sea Sponge', 'Polychaete Worm', 'Snail']",10.0,Picking algae from rock surface.,,,
3,21.0,6.081184190483202,2.0,U. olhanensis,,False,0.6044036959908924,pre_puberty,male,4.0,16.79658636299504,,"['Crab (Other Species)', 'Sea Urchin', 'Snail', 'Polychaete Worm', 'Coral Fragment']",6.0,Searching for mates at twilight.,,,
4,36.0,5.8983406912570295,5.0,U. olhanensis,,True,2.0008530373104185,pre_puberty,male,5.0,17.21563749525995,,"['Sea Star', 'Sea Sponge', 'Crab (Other Species)']",7.0,Claw snapping in competition.,,,
5,27.0,8.882493292199225,5.0,A farensis,,False,0.13539808189656732,adult, ,6.0,19.350974919440908,,"['Shrimp', 'Sea Sponge', 'Crab (Other Species)', 'Polychaete Worm', 'Hermit Crab']",8.0,Guarding a small hole in sediment.,,,
6,36.0,4.239320152414358,7.0,A. Farensis,,False,5.0569269966156405,sub_adult, ,7.0,15.628542523827484,,"['Sea Star', 'Sea Urchin', 'Barnacle', 'Sea Anemone']",10.0,Waving claws rhythmically.,,,
7,37.0,6.648137759040962,2.0,A farensis,,True,0.5131988012970947,sub_adult,male,8.0,18.840884132209364,,"['Polychaete Worm', 'Sea Sponge', 'Sea Urchin', 'Hermit Crab', 'Barnacle']",8.0,Resting in shaded rock crevice.,,,
8,11.0,6.152014103934492,10.0,u. olhanen.,,False,2.295799701577319,sub_adult,female,9.0,15.047624294903608,,"['Sea Star', 'Shrimp']",7.0,Guarding eggs under abdominal flap.,,,
9,59.0,5.764452500743662,8.0,A farensis,,False,1.8971529656331136,adult,nan,10.0,23.113338987425124,,"['Polychaete Worm', 'Algae']",6.0,Half buried in sand.,,,
10,11.0,6.0829772830832916,3.0,A farensis,,False,2.8465780955075393,pre_puberty,male,11.0,11.376268781415385,,"['Algae', 'Sea Star', 'Jellyfish']",7.0,Climbing seaweed stalks.,,,
11,22.0,6.507195955055221,5.0,A. Farensis,,False,0.9360484702067893,juvenile,male,12.0,16.410106624143477,,['Jellyfish'],6.0,Rapid crossing of open sand.,,,
12,20.0,4.009497498989008,3.0,u. olhanen.,,False,4.907280391388214,pre_puberty,?,13.0,16.67084409570661,,"['Shrimp', 'Sea Star', 'Sea Anemone', 'Barnacle', 'Crab (Other Species)']",10.0,Feeding on detritus in shallow water.,,,
13,17.0,9.156662106467055,5.0,u. olhanen.,,True,1.390815277168812,sub_adult,male,14.0,15.327351604219547,,"['Jellyfish', 'Crab (Other Species)', 'Sea Star', 'Coral Fragment', 'Polychaete Worm']",4.0,Half buried in sand.,,,
14,29.0,5.562969892402516,10.0,A. Farensis,,False,9.833221414044296,sub_adult,female,15.0,15.745698739869056,,"['Sea Urchin', 'Sea Star']",11.0,Interaction with hermit crabs.,,,
15,24.0,6.548072735609605,5.0,A. Farensis,,False,1.1194792119757273,adult,male,16.0,16.63666118864862,,"['Crab (Other Species)', 'Small Fish', 'Shrimp', 'Sea Star', 'Sea Anemone']",7.0,Stillness in cold water.,,,
16,27.0,5.615470850644526,4.0,U. olhanensis,,False,1.8795925144962953,adult,nan,17.0,17.315953101512594,,"['Sea Sponge', 'Snail', 'Sea Anemone', 'Crab (Other Species)']",7.0,Feeding on small mollusks.,,,
17,14.0,5.526122257712656,2.0,A. Farensis,,False,2.816031756337303,sub_adult,female,18.0,14.424039812939663,,"['Sea Anemone', 'Snail']",8.0,Color changes during molting.,,,
18,48.0,5.405434079688945,4.0,A farensis,,False,0.21374057386436418,sub_adult,male,19.0,17.44326081042771,,"['Hermit Crab', 'Algae', 'Snail']",7.0,Mating behavior with antenna touching.,,,
19,24.0,6.616873190650526,4.0,A. Farensis,,False,0.6361126063983579,pre_puberty,male or female,20.0,15.566196838386306,,"['Shrimp', 'Sea Urchin', 'Polychaete Worm', 'Hermit Crab']",9.0,Exchanging antenna taps.,,,
20,24.0,7.608844891227496,3.0,U. olhanensis,,False,1.0604895861693004,sub_adult,female,21.0,15.013552925935315,,"['Barnacle', 'Sea Anemone', 'Snail']",9.0,Stillness in cold water.,,,
21,34.0,5.044390018398457,7.0,A farensis,,True,0.25494880915825063,sub_adult,female,22.0,19.434738884824988,,['Crab (Other Species)'],5.0,Exchanging antenna taps.,,,
22,21.0,5.4098622078600185,4.0,u. olhanen.,,False,18.471580564115406,juvenile,male,23.0,15.337665907838053,,"['Barnacle', 'Sea Sponge', 'Small Fish']",12.0,Hiding beneath rocks.,,,
23,27.0,6.42658662897049,4.0,U. olhanensis,,False,1.735771862282778,pre_puberty,male,24.0,19.369284132546582,,"['Barnacle', 'Sea Urchin']",7.0,Emerging cautiously from hiding.,,,
24,29.0,3.045099347533776,5.0,U. olhanensis,,False,0.8944731527818811,adult,male,25.0,19.1882734361426,,"['Sea Sponge', 'Polychaete Worm', 'Mussel', 'Small Fish']",5.0,Inspecting discarded crab shell.,,,
25,22.0,5.177038257502644,7.0,A. Farensis,,True,4.415398867866749,pre_puberty, ,26.0,17.6662692144727,,"['Shrimp', 'Sea Anemone', 'Algae', 'Jellyfish', 'Snail']",10.0,Claw snapping at diver.,,,
26,18.0,6.0851651237495386,5.0,u. olhanen.,,False,0.13358258070273793,sub_adult,male,27.0,15.254926644838527,,"['Sea Urchin', 'Sea Anemone']",3.0,Guarding a small hole in sediment.,,,
27,47.0,5.470004363470332,4.0,U. olhanensis,,False,6.4894415637123,sub_adult,?,28.0,21.274477090456223,,"['Sea Urchin', 'Mussel']",10.0,Dragging shell fragment backward.,,,
28,42.0,5.591441406978886,7.0,U. olhanensis,,False,1.1157901269766575,adult,male,29.0,18.33042486368524,,"['Hermit Crab', 'Barnacle']",7.0,Guarding eggs under abdominal flap.,,,
