species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
A. Farensis,female,juvenile,True,Rapid crossing of open sand.,"['Sea Anemone', 'Small Fish', 'Mussel', 'Sea Star', 'Algae']",2.0,19.789213723060907,22.394879897115587,31.77868285930934,20.300778644398687,24.0,2022-08-30,37.02606,-8.01873,0
u. olhanen.,female,pre_puberty,False,Cleaning claws with rubbing motion.,"['Jellyfish', 'Coral Fragment']",7.0,7.018266737743115,5.963938726498418,7.744939512298499,7.613286341911654,21.0,2022-08-30,,,1
U. olhanensis,female,adult,False,Hiding under floating debris.,"['Sea Urchin', 'Jellyfish']",9.0,18.194669569588655,20.003415830826984,26.295640446877616,18.365593353918978,23.0,2022-08-30,,,2
A. Farensis,male or female,pre_puberty,,Foraging among seagrass roots.,['Shrimp'],6.0,25.5,26.07632667458402,37.94339448966373,25.63638161197073,23.0,2022-08-30,,,3
U. olhanensis,male,sub_adult,,Burrowing into sandy sediment.,"['Jellyfish', 'Small Fish', 'Coral Fragment', 'Shrimp']",8.0,16.25,16.670331440247743,21.947865353004882,17.454792307286986,22.0,2022-08-30,,,4
U. olhanensis,female,pre_puberty,False,Escaping predator silhouette overhead.,"['Sea Anemone', 'Algae', 'Small Fish', 'Sea Sponge', 'Hermit Crab']",12.0,24.698155078388446,27.296903241755476,34.77572167993739,26.654359330127892,22.0,2022-08-30,,,5
A. Farensis,female,sub_adult,True,Feeding on detritus in shallow water.,['Coral Fragment'],6.0,35.136123760923184,36.019339362600455,54.015535393875275,37.97317830102213,25.0,2022-08-30,,,6
A. Farensis,N/R,adult,,Moving sideways along sandy bottom.,['Sea Urchin'],4.0,16.5,15.300306692237612,20.839732089663222,16.93529857363278,25.0,2022-08-30,,,7
u. olhanen.,female,juvenile,False,Color changes during molting.,"['Mussel', 'Sea Star']",5.0,7.152632766149205,6.39054431602271,8.234306240256972,7.214010240649415,23.0,2022-08-30,,,8
u. olhanen.,female,adult,False,Inspecting discarded crab shell.,"['Mussel', 'Sea Urchin', 'Sea Star', 'Crab (Other Species)', 'Small Fish']",6.0,31.44188539154575,31.827860806468756,39.14851961620227,31.77830564472664,23.0,2022-08-30,,,9
u. olhanen.,female,juvenile,True,Moving toward bait.,"['Hermit Crab', 'Barnacle', 'Polychaete Worm', 'Jellyfish', 'Mussel']",7.0,13.709981359220544,10.034395910119473,14.62191159618525,14.991914159301242,23.0,2022-08-30,,,10
A farensis,male,adult,,Moving toward bait.,"['Sea Anemone', 'Polychaete Worm', 'Sea Star']",10.0,24.0,24.6171958630097,30.354231610079335,24.90232029661931,23.0,2022-08-30,,,11
A farensis,female,pre_puberty,True,Scavenging near tidal pools.,"['Sea Anemone', 'Polychaete Worm', 'Crab (Other Species)', 'Algae']",5.0,19.257689680686422,22.675002239591684,30.798615347927147,20.979211168271767,23.0,2022-08-30,,,12
A. Farensis,male,juvenile,,Territorial display against intruder.,"['Algae', 'Small Fish', 'Polychaete Worm', 'Sea Star']",8.0,12.5,9.931662018894793,12.621895559724905,13.559232059493045,23.0,2022-08-30,,,13
u. olhanen.,female,sub_adult,True,Color changes during molting.,"['Mussel', 'Coral Fragment', 'Sea Urchin', 'Small Fish', 'Algae']",7.0,26.742267713280313,27.669926456256913,34.74717928249713,28.632103304428135,23.0,2022-08-30,,,14
u. olhanen.,female,adult,False,Territorial display against intruder.,"['Sea Urchin', 'Algae', 'Shrimp', 'Polychaete Worm', 'Crab (Other Species)']",10.0,34.90764646976154,40.57709129901261,50.232359284408616,38.32483381850581,23.0,2022-08-30,,,15
Ucides alvorensis,N/R,pre_puberty,,Hiding under floating debris.,"['Crab (Other Species)', 'Hermit Crab', 'Jellyfish', 'Coral Fragment', 'Sea Star']",5.0,16.5,15.115809032556275,18.561779620699536,17.679916609403847,23.0,2022-08-30,,,16
u. olhanen.,female,adult,True,Hiding under floating debris.,"['Sea Star', 'Coral Fragment', 'Snail']",10.0,34.48603701857023,40.89672622755411,52.843781926691214,37.40537004515268,22.0,2022-08-30,,,17
u. olhanen.,male,adult,,Emerging cautiously from hiding.,"['Polychaete Worm', 'Crab (Other Species)', 'Barnacle']",9.0,46.5,48.96896994471626,64.71630180773109,47.00205068658136,24.0,2022-08-30,,,18
u. olhanen.,female,adult,True,Feeding on small crustaceans.,"['Small Fish', 'Barnacle', 'Crab (Other Species)']",8.0,41.144292902919794,48.13708026857395,72.05809588322059,44.59834973250022,24.0,2022-08-30,,,19
U. olhanensis,male,adult,True,Territorial display against intruder.,"['Polychaete Worm', 'Hermit Crab', 'Sea Star', 'Jellyfish', 'Algae']",8.0,30.0,27.39774316857469,40.94167351472855,32.18961408780784,23.0,2022-08-30,,,20
A farensis, ,adult,,Picking algae from rock surface.,"['Barnacle', 'Sea Sponge', 'Sea Star', 'Sea Urchin', 'Snail']",10.0,57.0,58.6603039460041,75.84283123740029,59.59600994212245,23.0,2022-08-30,,,21
A farensis,female,sub_adult,True,Inspecting discarded crab shell.,"['Coral Fragment', 'Jellyfish', 'Barnacle', 'Shrimp']",7.0,24.133248456555194,27.470631843848196,36.316149197773804,24.491563667082765,21.0,2022-08-30,,,22
u. olhanen.,male,juvenile,,Claw snapping in competition.,"['Shrimp', 'Mussel', 'Sea Urchin', 'Crab (Other Species)']",7.0,6.5,3.9891088751188164,5.818154449686983,6.565347653501056,23.0,2022-08-30,,,23
U. olhanensis,female,juvenile,True,Sitting still blending with environment.,"['Coral Fragment', 'Sea Star']",7.0,3.518744946574817,4.739163235088188,6.8993527061725235,3.8052244987844657,23.0,2022-08-30,,,24
A farensis,male,pre_puberty,,Searching for food in tidal pools.,"['Sea Anemone', 'Barnacle']",8.0,39.75,29.20873400851838,36.198888719985625,42.30511702922679,24.0,2022-08-30,,,25
A farensis,N/R,sub_adult,,Resting under shell fragment.,"['Sea Urchin', 'Sea Sponge', 'Barnacle', 'Polychaete Worm']",10.0,35.0,35.609900499330465,45.61543106041497,37.69355820312334,23.0,2022-08-30,,,26
A farensis,female,sub_adult,True,Moving sideways along sandy bottom.,"['Sea Urchin', 'Coral Fragment', 'Polychaete Worm', 'Sea Star']",8.0,23.1989568857018,25.57767710409502,36.492277037864206,24.34567236604651,22.0,2022-08-30,,,27
u. olhanen.,male,sub_adult,,Climbing seaweed stalks.,"['Sea Star', 'Algae', 'Mussel', 'Jellyfish', 'Sea Urchin']",8.0,32.5,34.157271253261385,43.59665377953958,32.523861602320515,25.0,2022-08-30,,,28
A farensis,-,adult,,Scavenging near tidal pools.,"['Sea Anemone', 'Snail', 'Jellyfish', 'Hermit Crab']",10.0,30.0,31.347577684387502,39.06860379261555,30.93066707783411,23.0,2022-08-30,,,29
U. olhanensis,male,adult,True,Sitting still blending with environment.,['Sea Star'],8.0,22.5,20.84579279076909,27.050642003419423,23.206813192079984,23.0,2022-08-30,,,30
A. Farensis,male,adult,,Crab moving quickly across rocks.,['Crab (Other Species)'],7.0,43.5,45.94210497805739,56.32516061861537,44.78351042597542,23.0,2022-08-30,,,31
U. olhanensis,female,pre_puberty,True,Hiding beneath rocks.,"['Mussel', 'Polychaete Worm', 'Snail', 'Shrimp']",6.0,36.49857000727395,30.725517460257077,44.40198392833097,37.82649837335376,24.0,2022-08-30,,,32
A farensis,male,sub_adult,,Claw snapping in competition.,"['Shrimp', 'Algae', 'Mussel', 'Sea Anemone']",11.0,26.25,26.65411634921823,32.12085784787543,27.701701016920264,23.0,2022-08-30,,,33
A farensis,female,sub_adult,True,Resting under shell fragment.,"['Sea Sponge', 'Shrimp', 'Mussel', 'Coral Fragment', 'Algae']",6.0,5.481069231693231,6.148895988492861,8.945794631701263,5.587983946367711,21.0,2022-08-30,,,34
u. olhanen.,female,pre_puberty,False,Feeding on small mollusks.,"['Snail', 'Sea Anemone', 'Small Fish', 'Crab (Other Species)']",10.0,9.366226651505949,9.063251498593468,12.321415757224543,10.220704087859753,22.0,2022-08-30,,,35
A. Farensis,female,adult,True,Guarding a small hole in sediment.,"['Crab (Other Species)', 'Polychaete Worm', 'Hermit Crab', 'Snail', 'Sea Anemone']",7.0,60.66100730462696,65.19250349626155,85.26286383396423,66.31233544953687,25.0,2022-08-30,,,36
u. olhanen.,N/R,sub_adult,,Dragging shell fragment backward.,"['Polychaete Worm', 'Sea Anemone', 'Shrimp']",10.0,47.5,42.39933636779501,52.508455597072114,49.71381565112109,21.0,2022-08-30,,,37
U. olhanensis,female,sub_adult,True,Waving claws rhythmically.,"['Shrimp', 'Small Fish', 'Sea Sponge', 'Jellyfish', 'Sea Star']",7.0,29.986734614021692,24.81915264459242,36.53205246189361,31.475922466878778,21.0,2022-08-30,,,38
U. olhanensis,male,pre_puberty,,Picking algae from rock surface.,"['Snail', 'Small Fish', 'Barnacle']",11.0,24.75,27.335188061967298,35.84102738875171,26.9814887445117,21.0,2022-08-30,,,39
U. olhanensis,female,adult,True,Emerging cautiously from hiding.,"['Shrimp', 'Crab (Other Species)', 'Jellyfish']",10.0,36.15989970506984,40.1176296290518,59.810675550888156,39.155853859291696,23.0,2022-08-30,,,40
