species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
u. olhanen.,female,juvenile,True,Exploring new territory.,"['Sea Sponge', 'Barnacle', 'Polychaete Worm']",7.0,10.216269297529301,6.009542607104009,7.99933151416932,11.015057654064773,32.0,2021-10-23,37.02606,-8.01873,0
u. olhanen.,male,juvenile,,Pausing frequently during exploration.,['Snail'],12.0,13.5,12.759703856333406,16.074324904736,13.915748412160656,32.0,2021-10-23,,,1
A farensis,female,adult,False,Moving toward bait.,"['Jellyfish', 'Snail']",9.0,9.496660915796054,12.14839683658569,15.221888165153727,9.527647168482028,32.0,2021-10-23,,,2
A. Farensis,female,juvenile,True,Territorial display against intruder.,"['Barnacle', 'Small Fish', 'Coral Fragment']",6.0,5.399548563531215,4.254501949651461,5.405553058115631,5.60667400939646,30.0,2021-10-23,,,3
A. Farensis,male,adult,,Climbing onto submerged logs.,['Algae'],6.0,36.0,35.42669759160729,47.81054494265514,38.5537446093276,32.0,2021-10-23,,,4
U. olhanensis,male or female,pre_puberty,,Moving toward warmer water pockets.,"['Hermit Crab', 'Small Fish', 'Sea Urchin', 'Sea Star']",7.0,16.5,12.374991454532783,15.713462044685722,17.807633951250217,30.0,2021-10-23,,,5
u. olhanen.,male,pre_puberty,,Rapid claw movement while feeding.,"['Snail', 'Sea Sponge', 'Algae']",9.0,12.0,13.059048408432115,19.464860367080608,12.786294249006172,31.0,2021-10-23,,,6
u. olhanen.,female,adult,True,Picking biofilm on submerged wood.,"['Sea Sponge', 'Sea Urchin', 'Algae', 'Crab (Other Species)']",4.0,27.046406071182325,23.696987425855973,32.795081411475344,27.212938749094405,31.0,2021-10-23,,,7
u. olhanen.,male,sub_adult,,Feeding on algae scraped from rocks.,"['Mussel', 'Barnacle', 'Sea Anemone']",5.0,51.25,44.80790324239759,54.482468572029994,51.426619484076916,33.0,2021-10-23,,,8
u. olhanen.,female,pre_puberty,False,Guarding eggs under abdominal flap.,['Sea Anemone'],4.0,4.380393645980618,6.230729483624231,8.230634513874376,4.735077284507702,30.0,2021-10-23,,,9
u. olhanen.,female,adult,False,Hiding in sandy burrow.,"['Mussel', 'Shrimp']",6.0,7.26554239432934,7.67070443985596,11.095698766723963,7.502910829907882,32.0,2021-10-23,,,10
A. Farensis,female,pre_puberty,False,Struggling with entangled seaweed.,['Mussel'],8.0,23.024833088664323,23.430609849758998,33.5087321014452,23.79079181928754,31.0,2021-10-23,,,11
A farensis,female,pre_puberty,False,Sitting still blending with environment.,"['Sea Urchin', 'Mussel']",7.0,22.856792284327643,31.770760291904413,40.745374896659825,23.395270659799063,30.0,2021-10-23,,,12
A. Farensis,female,sub_adult,False,Interacting with small fish nearby.,['Hermit Crab'],11.0,16.59112837170294,18.70237899768746,25.10117189887874,17.174728359432645,31.0,2021-10-23,,,13
U. olhanensis,female,juvenile,True,Rapid claw movement while feeding.,"['Small Fish', 'Sea Anemone']",3.0,5.820100463678202,4.031530012871478,5.995503951783048,6.063698185326813,31.0,2021-10-23,,,14
U. olhanensis,male,pre_puberty,,Stillness in cold water.,"['Snail', 'Hermit Crab', 'Sea Anemone', 'Sea Star', 'Barnacle']",10.0,8.25,10.593148200081648,13.508908785449611,9.009663416351724,31.0,2021-10-23,,,15
Ucides alvorensis,male or female,pre_puberty,,Color changes during molting.,['Sea Star'],7.0,13.5,11.530539225536328,17.1684582569255,14.063301172743884,30.0,2021-10-23,,,16
u. olhanen.,male,sub_adult,,Interaction with hermit crabs.,"['Snail', 'Hermit Crab', 'Sea Star', 'Small Fish']",8.0,61.25,59.869075694654974,82.49447178774172,66.68281780302613,32.0,2021-10-23,,,17
