,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,12,139,138
0,41.0,7.025872498631909,8.0,u. olhanen.,-8.01873,False,0.8227516501138926,juvenile,male or female,1.0,20.28857970777279,37.02606,"['Algae', 'Sea Urchin', 'Small Fish']",8.0,Scavenging near tidal pools.,,,
1,48.0,6.644815834816493,3.0,A. Farensis,,False,50.129530971880314,sub_adult,female,2.0,22.57168521144959,,['Hermit Crab'],7.0,Searching for mates at twilight.,,,
2,30.0,8.609320048447263,5.0,u. olhanen.,,False,3.1005342384351366,sub_adult,male,3.0,16.268308253506685,,"['Coral Fragment', 'Sea Anemone', 'Jellyfish', 'Polychaete Worm', 'Sea Urchin']",11.0,Scavenging near tidal pools.,,,
3,34.0,7.098958676239574,7.0,u. olhanen.,,False,11.32384540251086,juvenile,nan,4.0,19.88063085646963,,"['Sea Urchin', 'Sea Star', 'Sea Anemone', 'Polychaete Worm']",7.0,Hiding under floating debris.,,,
4,27.0,4.704449367076137,2.0,A farensis,,False,1.3284869523994998,pre_puberty,male,5.0,18.12416644023992,,"['Mussel', 'Snail', 'Shrimp', 'Sea Urchin', 'Barnacle']",10.0,Climbing vertical rock face.,,,
5,45.0,8.409065097488053,6.0,A. Farensis,,True,0.31180902345229033,adult,male,6.0,20.064230500850492,,['Hermit Crab'],9.0,Stillness in cold water.,,,
6,20.0,6.756897376917415,5.0,U. olhanensis,,False,2.593119849038932,sub_adult,-,7.0,16.632319770794425,,"['Crab (Other Species)', 'Jellyfish', 'Coral Fragment', 'Algae']",7.0,Rapid claw movement while feeding.,,,
7,24.0,8.55405031724414,2.0,A. Farensis,,False,5.0983300854775795,sub_adult,male,8.0,17.298715540791704,,"['Coral Fragment', 'Mussel', 'Sea Star', 'Sea Anemone']",7.0,Guarding eggs under abdominal flap.,,,
8,32.0,4.5714867355691595,5.0,u. olhanen.,,False,4.592114381194945,adult,male,9.0,18.95966296170005,,"['Crab (Other Species)', 'Coral Fragment', 'Jellyfish', 'Small Fish']",7.0,Claw snapping in competition.,,,
9,38.0,7.338568067863027,3.0,A. Farensis,,False,8.914430947888057,adult,female,10.0,16.558622968813385,,"['Mussel', 'Polychaete Worm', 'Shrimp']",9.0,Climbing seaweed stalks.,,,
10,19.0,8.634290409078845,3.0,A farensis,,False,13.710051803154249,sub_adult,male,11.0,15.93920116220087,,"['Jellyfish', 'Sea Star']",9.0,Claw snapping at diver.,,,
11,26.0,6.153124336117129,2.0,u. olhanen.,,True,12.020295574140052,sub_adult,male,12.0,17.97785375873562,,"['Coral Fragment', 'Hermit Crab', 'Small Fish', 'Algae', 'Polychaete Worm']",9.0,Guarding eggs under abdominal flap.,,,
12,28.0,8.82815581908132,9.0,A. Farensis,,False,2.032129569548234,pre_puberty,female,13.0,17.42445552312768,,"['Coral Fragment', 'Sea Star', 'Hermit Crab', 'Sea Anemone']",12.0,Mating behavior with antenna touching.,,,
13,44.0,6.704835647071925,7.0,A. Farensis,,False,1.5227298062336685,pre_puberty,male,14.0,21.110963999172117,,"['Polychaete Worm', 'Sea Urchin', 'Snail', 'Crab (Other Species)', 'Sea Anemone']",5.0,Searching for mates at twilight.,,,
14,15.0,7.253282704762899,5.0,u. olhanen.,,False,11.287206182873726,sub_adult, ,15.0,14.316949540668281,,"['Snail', 'Sea Sponge']",5.0,Climbing onto submerged logs.,,,
15,39.0,6.385644741636342,10.0,u. olhanen.,,False,0.3527843376629412,juvenile,male,16.0,17.88508212078954,,['Hermit Crab'],11.0,Resting in shaded rock crevice.,,,
16,35.0,7.292768506916756,3.0,A. Farensis,,False,20.302132174764136,adult,female,17.0,18.08403496301541,,"['Sea Sponge', 'Coral Fragment', 'Barnacle', 'Jellyfish']",9.0,Social contact with other crabs.,,,
17,23.0,5.514160599097973,3.0,U. olhanensis,,False,1.405307500071045,sub_adult,male,18.0,15.01627070010614,,"['Crab (Other Species)', 'Small Fish']",7.0,Mating behavior with antenna touching.,,,
18,26.0,7.858098865588959,7.0,A. Farensis,,False,76.34789335838701,sub_adult, ,19.0,16.86811457352801,,"['Hermit Crab', 'Crab (Other Species)', 'Sea Urchin', 'Shrimp']",9.0,Pausing frequently during exploration.,,,
19,31.0,4.206104031912231,4.0,A farensis,,False,1.893272260508593,pre_puberty, ,20.0,17.915979939945963,,['Shrimp'],9.0,Mating behavior with antenna touching.,,,
20,12.0,5.09439901786563,5.0,A. Farensis,,False,2.119981868489651,pre_puberty,male,21.0,16.28593701152792,,"['Jellyfish', 'Sea Anemone', 'Sea Star', 'Sea Sponge']",7.0,Dragging shell fragment backward.,,,
21,21.0,6.959173457255386,3.0,A farensis,,False,3.8484017123082332,pre_puberty,male,22.0,15.210492018323425,,"['Jellyfish', 'Sea Anemone']",9.0,Rapid claw movement while feeding.,,,
22,16.0,6.211758570862582,5.0,A. Farensis,,True,8.379957068942128,sub_adult,male,23.0,16.0665382047952,,"['Sea Anemone', 'Mussel', 'Shrimp', 'Sea Urchin', 'Coral Fragment']",6.0,Stillness in cold water.,,,
23,33.0,8.168522043999575,6.0,u. olhanen.,,False,1.1592022389200725,sub_adult,?,24.0,18.371801081257328,,"['Jellyfish', 'Barnacle', 'Small Fish']",11.0,Hiding under floating debris.,,,
24,19.0,6.6465915161222044,2.0,u. olhanen.,,False,0.8866448442655436,sub_adult,male,25.0,17.945957570756764,,['Snail'],5.0,Climbing barnacle-covered surfaces.,,,
25,27.0,6.352076601516991,6.0,U. olhanensis,,False,9.20651634510431,pre_puberty,male,26.0,16.333318438138917,,['Sea Anemone'],7.0,Exchanging antenna taps.,,,
26,37.0,8.488381601194739,5.0,A. Farensis,,False,5.406948459606122,pre_puberty,male,27.0,19.036307227263876,,['Small Fish'],5.0,Crab moving quickly across rocks.,,,
27,23.0,6.793053827352873,5.0,U. olhanensis,,False,2.264007828276997,pre_puberty,male,28.0,16.360381987441738,,"['Shrimp', 'Crab (Other Species)']",3.0,Exchanging antenna taps.,,,
28,27.0,7.863228086653296,6.0,A. Farensis,,False,1.7167591947767546,sub_adult, ,29.0,16.363005375074405,,['Jellyfish'],9.0,Retreating quickly from shadow.,,,
