,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,22,10.027463156072649,5,A farensis,-7.99163,True,6.260563189506625,sub_adult,male,1,15.372034370740879,37.01025,['Sea Star'],9,Escaping from aggressive fish.
1,9,11.195893820799714,5,u. olhanen.,,False,20.48225723927358,sub_adult,female,2,14.678537415695546,,"['Barnacle', 'Sea Urchin', 'Algae', 'Small Fish']",5,Half buried in sand.
2,15,11.644084983154015,2,A farensis,,False,4.802126663104105,adult,female,3,13.806032232835431,,['Shrimp'],7,Hiding under floating debris.
3,24,11.74108515116289,2,A. Farensis,,False,2.9115270986450508,sub_adult,male,4,16.849225089900848,,"['Shrimp', 'Snail', 'Coral Fragment']",6,Interacting with small fish nearby.
4,20,9.275052608757413,5,A. Farensis,,False,150.0,pre_puberty,female,5,16.971052177276174,,"['Crab (Other Species)', 'Small Fish', 'Hermit Crab', 'Sea Sponge', 'Shrimp']",9,Struggling with entangled seaweed.
5,19,12.68089698179856,2,A farensis,,False,53.895242678436176,juvenile,nan,6,12.707838802209054,,"['Crab (Other Species)', 'Hermit Crab', 'Small Fish', 'Algae', 'Sea Urchin']",11,Mating behavior with antenna touching.
6,39,7.541456527465227,4,U. olhanensis,,False,0.912147960435989,sub_adult,male,7,12.684096465379529,,"['Barnacle', 'Small Fish', 'Snail', 'Hermit Crab', 'Jellyfish']",13,Crab moving quickly across rocks.
7,16,10.082503473533132,3,A farensis,,False,0.00883873506979423,sub_adult,male,8,14.198168633902103,,['Sea Star'],7,Picking detritus from seabed.
8,26,11.277204607727711,10,A. Farensis,,False,0.8983234135746796,adult,male,9,15.130511933280447,,['Hermit Crab'],7,Displaying dominance by lifting body.
9,11,12.91893792161515,3,U. olhanensis,,False,16.447467512496416,sub_adult,?,10,14.436622314063333,,['Sea Sponge'],7,Feeding on algae scraped from rocks.
10,13,7.662746333236953,2,A farensis,,False,0.08546329964757031,sub_adult,male,11,17.276769705867665,,"['Polychaete Worm', 'Barnacle', 'Crab (Other Species)', 'Sea Sponge', 'Shrimp']",8,Color changes during molting.
11,13,8.998413288228493,4,u. olhanen.,,False,9.749832268796904,sub_adult,female,12,18.645300726236727,,"['Coral Fragment', 'Polychaete Worm']",7,Crab moving quickly across rocks.
12,14,12.306857356673493,4,A. Farensis,,False,18.72669504303611,pre_puberty,male,13,16.70191895401268,,['Small Fish'],9,Feeding on detritus in shallow water.
