,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,U. olhanensis,male,adult,True,Claw snapping in diver confrontation.,"['Small Fish', 'Sea Star', 'Hermit Crab', 'Polychaete Worm']",9.0,34.5,33.78539336056658,27.15858925856478,727.9906065805022,37.02606,-8.01873,0
1,Ucides alvorensis,male,sub_adult,,Resting in shaded crevice along cliff.,"['Barnacle', 'Sea Star']",11.0,45.0,49.822712776011215,42.006677688298275,1264.2940753453931,,,1
2,A. Farensis,female,adult,True,Escaping from pursuing predator silhouette.,"['Hermit Crab', 'Crab (Other Species)']",11.0,42.72043528043893,49.7041121783137,45.262768408954074,35.1425889199926,,,2
3,u. olhanen.,male,adult,,Resisting aggressive fish encounter.,"['Polychaete Worm', 'Sea Sponge', 'Small Fish', 'Sea Urchin', 'Coral Fragment']",10.0,12.0,12.83021193803717,10.377803786474056,129.3751870200374,,,3
4,u. olhanen.,male,adult,,Nibbling detritus off seabed patches.,"['Mussel', 'Polychaete Worm', 'Hermit Crab', 'Small Fish', 'Sea Urchin']",12.0,27.0,26.30554094829139,468.2756617656032,22.649440141902698,,,4
5,u. olhanen.,female,juvenile,True,Staying half-submerged in loose sand.,"['Barnacle', 'Mussel', 'Sea Urchin']",9.0,11.987263485227304,8.17867742452582,5.879504243085405,6.777491141463825,,,5
6,u. olhanen.,female,sub_adult,True,Swimming briefly to avoid disturbance.,"['Barnacle', 'Sea Urchin']",7.0,37.373868727248,38.40147680181821,38.06589510005729,29.91676671126968,,,6
7,Ucides alvorensis,male or female,pre_puberty,,Performing dominance display by body lifting.,"['Algae', 'Jellyfish', 'Hermit Crab']",8.0,44.25,42.52578862943664,466.22631579718546,35.76868210642629,,,7
8,A. Farensis,female,sub_adult,False,Traversing algae-slick rock surfaces.,"['Sea Urchin', 'Snail', 'Barnacle', 'Small Fish']",7.0,26.040069528039055,26.490800847551874,25.151834945712775,18.684380163919453,,,8
9,U. olhanensis,female,adult,False,Darting away in response to sudden shadow.,"['Hermit Crab', 'Algae']",8.0,47.9538254553702,49.71202362514958,40.21178798100476,42.030790249035626,,,9
10,u. olhanen.,female,pre_puberty,True,Advancing toward bait in water.,"['Algae', 'Small Fish', 'Snail']",8.0,16.142747731150518,16.634939946416868,11.397798804968716,11.816297863248739,,,10
11,u. olhanen.,male,pre_puberty,,"Burrowing into soft, sandy sediment.","['Sea Star', 'Small Fish', 'Snail']",9.0,20.25,24.49394575944341,17.280144166537976,328.20427089601327,,,11
12,A farensis,male,sub_adult,,Hiding beneath overhanging rock.,['Barnacle'],6.0,65.0,75.51382283113927,62.47240149543635,4085.3574040696126,,,12
13,U. olhanensis,female,sub_adult,False,Displaying territorial behavior against intruder.,"['Hermit Crab', 'Sea Anemone', 'Small Fish', 'Mussel']",9.0,18.261346316972208,19.003861467196334,13.822170964393418,15.394883051972355,,,13
14,U. olhanensis,female,adult,True,Protecting territory in confined space.,"['Barnacle', 'Snail', 'Crab (Other Species)']",6.0,12.109423554187284,11.785397182836945,9.784857362741322,8.5771796870401,,,14
15,U. olhanensis,female,adult,True,Inspecting remains of another crab.,"['Snail', 'Coral Fragment']",10.0,11.77526277227295,11.504427088197096,8.893015322874607,9.798299796331182,,,15
16,u. olhanen.,female,adult,False,Traversing algae-slick rock surfaces.,"['Sea Sponge', 'Snail', 'Coral Fragment', 'Sea Urchin', 'Jellyfish']",7.0,42.08010712362277,43.07773540625261,30.46904891639506,32.81678889925175,,,16
17,Ucides alvorensis,N/R,pre_puberty,,Sifting through sediment for scraps.,"['Hermit Crab', 'Barnacle', 'Sea Urchin']",10.0,32.25,37.99650794505859,393.2318116681816,29.485262671110995,,,17
18,Ucides alvorensis,male or female,adult,,Displaying territorial behavior against intruder.,"['Sea Star', 'Algae', 'Polychaete Worm', 'Shrimp', 'Sea Anemone']",9.0,29.614855616019007,27.669270483093737,24.283158108003743,25.936206589902856,,,18
19,A farensis,male,adult,,Vibrating antennae in flowing current.,"['Coral Fragment', 'Polychaete Worm', 'Hermit Crab']",8.0,40.5,37.15351097424598,32.60703979274819,710.5480261332625,,,19
20,U. olhanensis,female,adult,False,Brief social contact with fellow crabs.,['Mussel'],4.0,64.84419022352475,69.4112889206047,59.87952828496241,59.464725312678965,,,20
21,A farensis,female,adult,True,Guarding hole in substrate from intruders.,['Shrimp'],6.0,48.73472454064852,46.80967280858629,36.02187419083712,39.21538902683319,,,21
22,Ucides alvorensis,male,adult,,Swimming briefly to avoid disturbance.,"['Jellyfish', 'Sea Urchin', 'Hermit Crab']",8.0,12.0,12.48324371913702,10.416759041735308,119.44840242690074,,,22
23,u. olhanen.,female,juvenile,True,Interaction with nearby hermit crab.,"['Sea Anemone', 'Coral Fragment', 'Snail']",5.0,3.1852359315124024,3.858673404884114,2.7416356402177633,3.4672716313676735,,,23
24,u. olhanen.,female,adult,False,Harvesting food beneath floating debris.,['Sea Star'],9.0,58.99815923454031,59.18384380044099,56.929248992054525,52.189222925691325,,,24
25,u. olhanen.,nan,adult,,Frequent pausing while exploring.,"['Sea Sponge', 'Sea Anemone']",5.0,13.5,14.748344281549882,74.80411281963309,12.351856915426508,,,25
26,U. olhanensis,male,juvenile,,Consuming algae scraped from barnacles.,['Algae'],12.0,10.5,14.485042273880298,10.861368054700389,146.31127495846425,,,26
27,A farensis,female,sub_adult,False,Darting away in response to sudden shadow.,"['Shrimp', 'Barnacle']",7.0,39.04499451974531,37.77749844856835,37.18675466006814,31.585789569498594,,,27
28,u. olhanen.,female,adult,True,Resting in shaded crevice along cliff.,['Crab (Other Species)'],9.0,64.96296813641183,70.73461564039191,55.14966070304056,51.866509536176956,,,28
29,U. olhanensis,female,juvenile,False,Camouflaging with nearby mud.,"['Algae', 'Sea Star']",7.0,4.847754363867287,3.562264038141885,2.4928506488989846,2.511306522802798,,,29
30,A farensis,male,sub_adult,True,Feeding on decaying matter among rocks.,"['Shrimp', 'Polychaete Worm', 'Barnacle']",6.0,7.5,8.033936086997246,6.021426085513619,37.601726894701834,,,30
31,A. Farensis,male,adult,,"Burrowing into soft, sandy sediment.","['Crab (Other Species)', 'Snail', 'Shrimp', 'Sea Urchin']",6.0,52.5,48.155375775421504,42.59647464510417,1829.6690063017454,,,31
32,u. olhanen.,female,adult,True,Resisting aggressive fish encounter.,"['Sea Anemone', 'Jellyfish', 'Sea Sponge', 'Crab (Other Species)']",6.0,59.32075707368009,63.122891618492126,57.451291456581316,46.1521098626811,,,32
33,A. Farensis,male,pre_puberty,,Claw snapping in diver confrontation.,"['Coral Fragment', 'Snail', 'Mussel', 'Polychaete Worm', 'Sea Urchin']",6.0,30.75,28.54394827837876,504.38225505049263,21.242637892340575,,,33
34,U. olhanensis,male,sub_adult,,Searching tidal pools for nutrients.,"['Sea Sponge', 'Sea Star', 'Sea Urchin']",9.0,15.0,14.577400889485101,11.739433090936553,111.66293512531128,,,34
