,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,A farensis,female,sub_adult,True,Adopting threatening stance when approached.,"['Polychaete Worm', 'Sea Sponge', 'Snail', 'Crab (Other Species)']",7.0,11.779663318704534,11.147457666944545,15.659694183493752,12.93078211761343,23.0,2022-09-11,37.02606,-8.01873,0
1,A. Farensis,male,adult,,Guarding hole in substrate from intruders.,"['Polychaete Worm', 'Hermit Crab', 'Barnacle', 'Sea Sponge', 'Shrimp']",8.0,36.0,36.13199641661452,44.75832603954931,36.808847948999365,21.0,2022-09-11,,,1
2,U. olhanensis,male,sub_adult,,Displaying territorial behavior against intruder.,"['Mussel', 'Sea Urchin', 'Jellyfish', 'Sea Sponge', 'Sea Star']",8.0,45.0,51.89832863539368,65.93131717053645,48.82240164913637,22.0,2022-09-11,,,2
3,Ucides alvorensis,male,sub_adult,,Harvesting food beneath floating debris.,"['Algae', 'Crab (Other Species)', 'Jellyfish', 'Sea Anemone']",8.0,21.25,19.925228482030125,28.724212896086556,22.314370156331925,21.0,2022-09-11,,,3
4,A. Farensis,male,adult,,Swimming briefly to avoid disturbance.,"['Coral Fragment', 'Snail', 'Sea Star', 'Algae']",8.0,37.5,34.24938370376449,48.96865802998382,39.55069116185471,24.0,2022-09-11,,,4
5,u. olhanen.,male,sub_adult,,Emerging slowly after perceived threat.,"['Small Fish', 'Jellyfish', 'Polychaete Worm', 'Mussel']",7.0,47.5,48.00809973411455,60.84263739028648,48.334874838715464,23.0,2022-09-11,,,5
6,A farensis,female,juvenile,True,"Burrowing into soft, sandy sediment.","['Snail', 'Algae']",11.0,3.058460098806052,2.9645396445091503,4.200509403095032,3.2964677109285785,22.0,2022-09-11,,,6
7,Ucides alvorensis,male,adult,,Feeding on decaying matter among rocks.,"['Sea Sponge', 'Snail', 'Barnacle', 'Sea Urchin', 'Jellyfish']",6.0,28.5,28.591406059582525,34.40804641991904,31.093225597811134,20.0,2022-09-11,,,7
8,A farensis,male,sub_adult,,Claw shaking post-contact gesture.,"['Sea Urchin', 'Crab (Other Species)', 'Mussel', 'Coral Fragment', 'Sea Star']",10.0,21.25,22.208576888968977,29.196616546930912,21.391447474743163,22.0,2022-09-11,,,8
9,A. Farensis,male,adult,,Scuttling swiftly over rocky terrain.,['Small Fish'],6.0,58.5,58.6844879507827,86.61850416970374,59.661281822313114,22.0,2022-09-11,,,9
10,U. olhanensis,male,pre_puberty,True,Guarding hole in substrate from intruders.,"['Sea Urchin', 'Sea Anemone', 'Sea Star']",10.0,13.5,10.604949655305766,14.605631670051565,14.03694847419203,22.0,2022-09-11,,,10
11,A. Farensis,male,sub_adult,,Hiding beneath overhanging rock.,"['Hermit Crab', 'Sea Urchin', 'Coral Fragment', 'Mussel']",5.0,26.25,21.5486026940511,27.112318655385653,26.78243382675152,21.0,2022-09-11,,,11
12,U. olhanensis,female,sub_adult,False,Consuming algae scraped from barnacles.,['Sea Star'],7.0,12.678524675171005,13.32383054858262,18.0758997310598,13.464493186352989,20.0,2022-09-11,,,12
