,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,u. olhanen.,female,s,False,Scavenging at the edge of tidal pools.,"['Snail', 'Shrimp', 'Sea Star', 'Algae', 'Hermit Crab']",9.0,2.6756403169901737,3.2238354811567445,2.3313395425492733,2.878052115504982,37.1,-8.62,0
1,U. olhanensis,male,s,,Darting away in response to sudden shadow.,['Sea Sponge'],7.0,1.7045454545454546,1.4394808976516495,1.177326390725064,6.980101244071374,,,1
2,A. Farensis,female,a,False,Slowly navigating around seagrass beds.,['Barnacle'],9.0,4.216601448262204,4.104736586727319,3.1864757493091216,3.3203103170554114,,,2
3,Ucides alvorensis,female,p,False,Rhythmic waving as social cue.,"['Barnacle', 'Sea Sponge', 'Coral Fragment']",12.0,2.107632656718971,2.338929422516985,1.8543350450661875,1.9364797435912622,,,3
4,u. olhanen.,female,a,False,Defensive claw movement in water.,"['Snail', 'Algae', 'Hermit Crab']",8.0,1.7231437485834449,1.9443437321588115,1.3107980963060628,1.6497203667386535,,,4
5,U. olhanensis,female,a,False,Frequent pausing while exploring.,"['Snail', 'Crab (Other Species)', 'Jellyfish', 'Coral Fragment']",6.0,4.505195194049604,4.045229588644341,2.8247249996574424,3.5054473323116695,,,5
6,A farensis,female,s,False,Consuming algae scraped from barnacles.,"['Sea Sponge', 'Sea Star', 'Polychaete Worm', 'Jellyfish']",9.0,1.2965088480229838,1.0029235100761702,0.7783202257054586,0.8785468383884484,,,6
7,u. olhanen.,female,j,False,Concealing self beneath floating matter.,"['Shrimp', 'Coral Fragment']",13.0,0.36291101418113164,0.36164517684365577,0.2499767903762731,0.31899158495681196,,,7
8,u. olhanen.,female,p,True,Lying still to avoid detection.,"['Coral Fragment', 'Sea Urchin', 'Sea Sponge', 'Hermit Crab', 'Barnacle']",6.0,0.6985775143666711,0.8363686730532709,0.6443105097232519,0.7447065614440398,,,8
9,u. olhanen.,male,s,,Consuming algae scraped from barnacles.,"['Sea Sponge', 'Shrimp', 'Mussel']",8.0,1.5909090909090908,1.8353686709771189,9.828218258691695,1.5052239235573017,,,9
10,u. olhanen.,male,a,True,Resting in shaded crevice along cliff.,"['Algae', 'Sea Anemone']",4.0,4.7727272727272725,4.377631269738651,48.7547901903487,3.8281996507256837,,,10
11,A farensis,female,p,True,Harvesting food beneath floating debris.,"['Hermit Crab', 'Polychaete Worm', 'Barnacle']",8.0,2.892836994733387,3.1407037361090846,2.2794918538420474,2.7434626567745104,,,11
12,u. olhanen.,female,a,True,Filtering detritus from shallow bottom.,"['Polychaete Worm', 'Crab (Other Species)', 'Sea Star', 'Barnacle', 'Algae']",5.0,0.8251263749873492,0.992675557387295,0.6397704125891467,0.8340156266851865,,,12
13,Ucides alvorensis,female,j,False,Feeding on small crustaceans in crevices.,['Sea Star'],8.0,0.39525327766386464,0.5763587863151424,0.365547320918207,0.48586267707780983,,,13
14,A farensis,male,a,,Lying still to avoid detection.,['Polychaete Worm'],7.0,1.3636363636363635,1.2883867691997557,0.944160175527101,4.94901275572906,,,14
15,U. olhanensis,male,p,,Performing dominance display by body lifting.,"['Small Fish', 'Sea Star']",8.0,1.5681818181818181,1.7791890864339486,1.396853499638292,9.78101485641277,,,15
16,U. olhanensis,female,a,False,Side-stepping along sandy coastal floor.,"['Sea Urchin', 'Small Fish', 'Crab (Other Species)', 'Polychaete Worm']",6.0,3.63096293201224,3.7630747217178735,2.832705295883979,3.0406142814584998,,,16
17,A farensis,male,s,,Engaging in struggle with seaweed entanglement.,"['Mussel', 'Jellyfish', 'Hermit Crab', 'Small Fish', 'Sea Anemone']",7.0,0.7954545454545454,0.7690758625368512,0.652666228590327,2.725529264671636,,,17
18,A farensis,male,s,,Feeding on decaying matter among rocks.,['Algae'],6.0,6.590909090909091,6.586261619177493,5.733902261268001,91.17831761889991,,,18
19,A. Farensis,female,j,False,Engaging in antennae-to-antennae contact.,"['Coral Fragment', 'Shrimp']",6.0,0.9023357595999123,0.6429040370661029,0.4469294700622331,0.5425115170242111,,,19
20,U. olhanensis,female,s,False,Side-stepping along sandy coastal floor.,['Crab (Other Species)'],11.0,1.7623203331997723,1.77511239522934,1.3029906518115084,1.5526032752835235,,,20
21,U. olhanensis,male,a,,Peering out cautiously from cover.,"['Algae', 'Sea Sponge', 'Sea Urchin', 'Snail', 'Shrimp']",7.0,2.1818181818181817,2.3804963878723484,1.8738077551905532,18.0744565393,,,21
22,A farensis,female,j,False,Taking cover beneath seagrass leaves.,"['Small Fish', 'Algae', 'Crab (Other Species)', 'Mussel']",4.0,1.0187343325940228,1.4836622986322794,1.0765940324380703,1.3338402351165797,,,22
23,U. olhanensis,male,s,,Filtering detritus from shallow bottom.,"['Sea Urchin', 'Shrimp', 'Barnacle']",5.0,2.840909090909091,2.7392481143170397,2.181472273292879,20.97511963245134,,,23
24,A farensis,female,s,False,Claw shaking post-contact gesture.,"['Coral Fragment', 'Algae']",4.0,0.48081024445530324,0.6625227032429114,0.4002163311513199,0.5347083076527062,,,24
25,U. olhanensis,male,a,,Lying still to avoid detection.,"['Hermit Crab', 'Coral Fragment', 'Crab (Other Species)']",5.0,4.5,4.821097886522226,60.183413837497326,3.566801897119438,,,25
26,U. olhanensis,female,s,False,Swimming briefly to avoid disturbance.,"['Small Fish', 'Algae', 'Barnacle', 'Shrimp']",3.0,1.338107819893069,1.2903904353434423,0.9320106227584902,1.032342606830355,,,26
