,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,U. olhanensis,male,adult,True,Retreating quickly into hidden burrow.,"['Hermit Crab', 'Sea Star']",4.0,27.0,25.67512473414378,31.324481365233556,28.660111048041184,27.0,2022-01-06,37.02606,-8.01873,0
1,u. olhanen.,female,adult,False,Approaching small fish with curiosity.,"['Hermit Crab', 'Barnacle', 'Snail', 'Coral Fragment']",10.0,26.294718369165718,26.657858578245104,38.520215131105836,27.696483163627306,29.0,2022-01-06,,,1
2,A. Farensis,female,pre_puberty,False,Color change during molting stress.,['Sea Anemone'],7.0,5.053038249066661,4.048598037432554,5.67767843959851,5.252434216546693,28.0,2022-01-06,,,2
3,u. olhanen.,male,adult,,Displaying territorial behavior against intruder.,"['Hermit Crab', 'Barnacle', 'Shrimp']",9.0,76.5,76.07024796903674,110.62886331537032,82.89974736313438,30.0,2022-01-06,,,3
4,A. Farensis,female,pre_puberty,True,Guarding hole in substrate from intruders.,"['Sea Anemone', 'Snail']",11.0,5.842224622605834,7.3035438285744405,9.86705116971595,5.9912608024595215,30.0,2022-01-06,,,4
5,Ucides alvorensis,-,juvenile,,Nibbling detritus off seabed patches.,"['Sea Star', 'Small Fish', 'Coral Fragment', 'Jellyfish', 'Snail']",10.0,17.0,12.936841756697174,17.543353669555913,17.276625132066997,29.0,2022-01-06,,,5
6,A. Farensis,female,pre_puberty,False,Swimming briefly to avoid disturbance.,['Barnacle'],8.0,35.043197305476376,40.200159615698354,53.1525584001007,37.95483113346258,28.0,2022-01-06,,,6
7,A. Farensis,male,adult,,Interaction with nearby hermit crab.,"['Sea Star', 'Mussel', 'Coral Fragment', 'Barnacle', 'Sea Sponge']",12.0,25.5,23.225754504694308,28.16288567656352,27.212948203275932,30.0,2022-01-06,,,7
8,A farensis,male,sub_adult,,Rhythmic waving as social cue.,"['Mussel', 'Coral Fragment', 'Snail', 'Sea Star', 'Small Fish']",7.0,65.0,75.20903765293195,93.13619435658708,65.95044003747319,29.0,2022-01-06,,,8
9,A farensis,female,adult,False,Inspecting remains of another crab.,"['Sea Urchin', 'Barnacle', 'Crab (Other Species)', 'Mussel']",11.0,14.793300829548283,13.524518208861407,18.699632350975445,15.519211103445578,28.0,2022-01-06,,,9
10,A farensis,female,adult,True,Resting in shaded crevice along cliff.,"['Sea Sponge', 'Hermit Crab']",5.0,27.070816224851924,26.995600614154288,36.82014844887925,29.620000838528874,28.0,2022-01-06,,,10
11,u. olhanen.,male,pre_puberty,,Rhythmic waving as social cue.,['Hermit Crab'],12.0,15.75,12.558478210852599,15.276917254759294,16.799306399803054,28.0,2022-01-06,,,11
12,A. Farensis,male,adult,,Searching tidal pools for nutrients.,['Shrimp'],5.0,39.0,35.814817842641425,44.015176105877764,39.15440811900729,27.0,2022-01-06,,,12
