,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,u. olhanen.,N/R,pre_puberty,True,Concealing self beneath floating matter.,"['Polychaete Worm', 'Hermit Crab', 'Jellyfish', 'Snail']",9.0,6.519876328997777,5.833015188524386,4.887572066199685,6.007552031273106,37.02606,-8.01873,0
1,u. olhanen.,female,adult,True,Engaging in antennae-to-antennae contact.,['Sea Anemone'],12.0,23.835014620948993,24.574046183418016,14.888098116743393,20.54375143020649,,,1
2,u. olhanen.,female,juvenile,True,Concealing self beneath floating matter.,"['Small Fish', 'Barnacle', 'Coral Fragment']",8.0,5.257352595230521,6.272664012587494,4.71259327292167,5.165027889119072,,,2
3,A. Farensis,female,pre_puberty,False,Filtering detritus from shallow bottom.,"['Mussel', 'Shrimp', 'Snail', 'Sea Urchin']",12.0,31.406126145551774,21.786893655233122,16.931924070649288,15.443805899517654,,,3
4,A farensis,female,adult,False,Group migration across shallow seabed.,"['Snail', 'Crab (Other Species)', 'Barnacle']",7.0,27.99972488592618,32.7841729745025,30.06213384555774,24.24369935462011,,,4
5,u. olhanen.,male,sub_adult,,Scaling steep rock faces near shore.,"['Mussel', 'Hermit Crab', 'Coral Fragment', 'Shrimp', 'Sea Star']",9.0,8.75,9.668766189333244,8.258822240139606,64.42653391829857,,,5
6,u. olhanen.,male,sub_adult,,Scavenging at the edge of tidal pools.,"['Polychaete Worm', 'Sea Anemone', 'Hermit Crab']",6.0,18.75,20.18571864704514,291.99526118831534,15.260577877735763,,,6
7,U. olhanensis,female,pre_puberty,False,Vibrating antennae in flowing current.,['Jellyfish'],8.0,13.448250091566091,16.772677979860347,12.101129166452514,12.225248694466002,,,7
8,U. olhanensis,female,sub_adult,True,Progressing cautiously through new area.,"['Barnacle', 'Snail', 'Hermit Crab', 'Sea Urchin', 'Shrimp']",6.0,4.474695133381378,3.548304656252461,2.1830098447767132,2.9711785622813944,,,8
9,U. olhanensis,male,pre_puberty,,Defensive claw movement in water.,"['Jellyfish', 'Sea Sponge']",9.0,20.25,18.689214304910077,16.446805521586583,277.78162025909654,,,9
