,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,Ucides alvorensis,female,adult,False,Collecting biofilm from sunken wood.,"['Polychaete Worm', 'Sea Sponge', 'Coral Fragment']",7.0,21.39455766484579,19.855321535175523,19.155093547273836,14.982517964037374,37.02606,-8.01873,0
1,u. olhanen.,male,adult,,Foraging through tangled seagrass roots.,['Crab (Other Species)'],6.0,37.5,38.337534414564914,30.437256705862623,1143.1849937154034,,,1
2,A farensis,male,sub_adult,,Lying still to avoid detection.,"['Crab (Other Species)', 'Mussel', 'Sea Star']",8.0,21.25,20.601172180021084,255.68808697512085,16.34685033209164,,,2
3,U. olhanensis,female,pre_puberty,False,Displaying territorial behavior against intruder.,['Hermit Crab'],10.0,5.586817000124616,5.348799652088896,4.742272921239847,4.788717870976332,,,3
4,U. olhanensis,female,sub_adult,False,Swimming briefly to avoid disturbance.,"['Sea Anemone', 'Crab (Other Species)', 'Algae']",8.0,16.208665024041146,19.14550082508052,11.756668615702216,16.164865357000956,,,4
5,u. olhanen.,female,adult,False,Swimming briefly to avoid disturbance.,"['Sea Star', 'Mussel']",8.0,23.065798817977715,22.80020748028814,19.30147087832437,17.45562085298732,,,5
6,U. olhanensis,male,sub_adult,,Adopting threatening stance when approached.,"['Sea Anemone', 'Algae', 'Hermit Crab', 'Jellyfish', 'Mussel']",11.0,36.25,41.76129161012388,1196.5797902740633,33.665942037778116,,,6
7,u. olhanen.,male,adult,,Displaying territorial behavior against intruder.,"['Barnacle', 'Snail', 'Mussel']",11.0,30.0,29.659554909858375,21.91090148113783,675.9401972671783,,,7
8,A farensis,male,pre_puberty,,Grazing on mollusks among debris.,"['Jellyfish', 'Mussel', 'Snail']",13.0,17.25,20.555683809333892,17.266435495268315,241.22765273325828,,,8
9,U. olhanensis,female,adult,False,Harvesting food beneath floating debris.,"['Sea Sponge', 'Barnacle', 'Jellyfish', 'Coral Fragment', 'Shrimp']",8.0,9.900901546062666,11.00951496367663,10.524912790335616,7.895045937342086,,,9
10,Ucides alvorensis,male or female,sub_adult,True,Staying half-submerged in loose sand.,"['Mussel', 'Sea Anemone', 'Sea Star', 'Sea Sponge', 'Barnacle']",9.0,31.25,27.511870111311065,199.96817983155367,23.426217674946777,,,10
11,A farensis,female,sub_adult,True,Adopting threatening stance when approached.,"['Sea Urchin', 'Small Fish', 'Mussel', 'Sea Star', 'Hermit Crab']",5.0,17.96205006308187,18.94809722494721,11.823825039153316,14.396334421360482,,,11
12,A. Farensis,male,sub_adult,,Harvesting food beneath floating debris.,"['Algae', 'Jellyfish']",8.0,8.75,10.212396805787677,7.255058825975163,83.1099793338038,,,12
13,A. Farensis,male,sub_adult,,Color change during molting stress.,"['Sea Sponge', 'Algae', 'Jellyfish', 'Sea Urchin']",10.0,16.25,13.902350665623294,10.561936308002588,134.613392742223,,,13
14,A farensis,male,sub_adult,,Adopting threatening stance when approached.,"['Crab (Other Species)', 'Jellyfish', 'Hermit Crab']",3.0,13.75,12.194081597202082,9.441819509187534,83.80480106140276,,,14
15,u. olhanen.,female,adult,False,Approaching small fish with curiosity.,"['Sea Urchin', 'Hermit Crab', 'Sea Sponge', 'Barnacle', 'Sea Anemone']",6.0,25.308159030413105,26.036431415095205,24.720377199752768,22.858842538434388,,,15
16,A farensis,female,sub_adult,False,Group migration across shallow seabed.,"['Jellyfish', 'Small Fish', 'Mussel', 'Coral Fragment', 'Sea Sponge']",8.0,8.486818049002325,7.739481680162151,6.308718757407295,6.7060540455734,,,16
17,A. Farensis,male or female,sub_adult,,Concealing self beneath floating matter.,['Sea Urchin'],12.0,4.835548973431032,4.111556553128076,3.564428151199607,3.804149430732625,,,17
18,A. Farensis,male or female,juvenile,,Claw snapping in diver confrontation.,"['Mussel', 'Jellyfish', 'Hermit Crab', 'Barnacle', 'Crab (Other Species)']",7.0,6.5,3.9400031895868803,6.192372618202821,2.772853417261504,,,18
19,A. Farensis,male,sub_adult,,Swimming briefly to avoid disturbance.,"['Coral Fragment', 'Sea Anemone', 'Polychaete Worm']",8.0,13.75,16.051902579743214,11.991632203398991,183.47959260146814,,,19
20,Ucides alvorensis,female,juvenile,False,Gradual movement in cold conditions.,['Hermit Crab'],10.0,4.950213452561323,3.836026768639255,3.8167170857121766,3.053351521517725,,,20
21,A farensis,male,adult,,Escaping from pursuing predator silhouette.,['Sea Sponge'],8.0,25.5,27.837465660481183,22.476336353442427,419.9865067313679,,,21
22,A. Farensis,male,sub_adult,,Collecting biofilm from sunken wood.,"['Barnacle', 'Small Fish', 'Mussel', 'Algae', 'Shrimp']",8.0,7.5,6.982297754419043,5.622678589271671,28.55901443024925,,,22
23,u. olhanen.,female,sub_adult,False,Progressing cautiously through new area.,"['Barnacle', 'Small Fish', 'Sea Star']",9.0,12.422815006161667,11.025503609637429,9.223357709507281,8.744988490387016,,,23
24,A. Farensis,female,pre_puberty,False,Advancing toward bait in water.,"['Sea Urchin', 'Sea Anemone', 'Crab (Other Species)', 'Barnacle']",8.0,26.20129721838,29.47450383154133,29.408039887222,25.97676806110828,,,24
25,u. olhanen.,male,pre_puberty,,Hiding beneath overhanging rock.,"['Sea Urchin', 'Mussel']",10.0,22.5,21.080192187304814,270.0060990941066,15.465959901024718,,,25
