,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,Ucides alvorensis,male,adult,True,Scuttling swiftly over rocky terrain.,"['Mussel', 'Snail', 'Sea Star', 'Hermit Crab', 'Crab (Other Species)']",11.0,28.5,28.64229834943442,41.21195933312624,29.10171104191105,41.0,2020-12-13,37.02606,-8.01873,0
1,u. olhanen.,female,adult,False,Sifting through sediment for scraps.,['Small Fish'],4.0,17.962132205967983,18.38015184656392,24.9815805294124,18.965776897290652,41.0,2020-12-13,,,1
2,u. olhanen.,female,sub_adult,False,Staying half-submerged in loose sand.,"['Polychaete Worm', 'Sea Anemone', 'Coral Fragment']",10.0,40.04106408609147,33.02340771719741,47.67912043105636,40.823555625090954,40.0,2020-12-13,,,2
3,A farensis,female,sub_adult,True,Scavenging at the edge of tidal pools.,"['Sea Star', 'Hermit Crab', 'Crab (Other Species)', 'Mussel', 'Sea Anemone']",3.0,33.18302405646098,30.556446592745832,39.56942051796388,34.480934472854734,42.0,2020-12-13,,,3
4,u. olhanen.,female,sub_adult,False,Displaying territorial behavior against intruder.,['Polychaete Worm'],8.0,18.73456065373689,15.574736403511464,23.056061835465552,19.639715819779603,40.0,2020-12-13,,,4
5,A. Farensis,nan,adult,,Retreating swiftly from perceived danger.,"['Sea Star', 'Sea Urchin', 'Coral Fragment']",7.0,31.5,32.20450048366569,46.37039529216587,33.87322450013536,39.0,2020-12-13,,,5
6,u. olhanen.,male,adult,,Frequent pausing while exploring.,"['Sea Sponge', 'Small Fish', 'Barnacle', 'Polychaete Worm']",7.0,34.5,31.874868764368728,44.81857111052453,34.770874088293944,40.0,2020-12-13,,,6
7,U. olhanensis,male,sub_adult,,Gradual movement in cold conditions.,"['Sea Urchin', 'Mussel', 'Polychaete Worm']",7.0,45.0,40.961919015170295,57.46175352459911,47.18265528163682,41.0,2020-12-13,,,7
8,u. olhanen.,female,pre_puberty,True,Clambering up submerged tree trunks.,['Crab (Other Species)'],6.0,12.192265817834679,9.499012463260154,11.861744305143098,12.522313864879923,40.0,2020-12-13,,,8
9,u. olhanen.,male,juvenile,,Rhythmic waving as social cue.,"['Sea Urchin', 'Sea Sponge', 'Jellyfish', 'Hermit Crab']",9.0,12.0,14.9169752147578,20.555502334900638,12.415542005067554,40.0,2020-12-13,,,9
10,A farensis,male,sub_adult,True,Reacting to sudden changes in temperature.,['Snail'],14.0,6.25,6.862850185497672,8.59768528937474,6.488273119430403,40.0,2020-12-13,,,10
11,Ucides alvorensis,female,juvenile,False,Guarding hole in substrate from intruders.,['Hermit Crab'],8.0,10.872984308143687,9.425867662666656,13.134869694708769,11.785418901255687,41.0,2020-12-13,,,11
