species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
A farensis,male,adult,True,Hiding beneath rocks.,"['Barnacle', 'Sea Sponge', 'Sea Anemone', 'Polychaete Worm', 'Sea Urchin']",6.0,18.0,16.621905001673436,21.025854921675162,18.76010161561465,48.0,2020-02-23,37.02606,-8.01873,0
Ucides alvorensis,male or female,adult,,Pausing frequently during exploration.,"['Polychaete Worm', 'Algae', 'Coral Fragment', 'Mussel', 'Small Fish']",11.0,46.5,48.03342731326769,61.18487980227004,46.676486171164946,48.0,2020-02-23,,,1
Ucides alvorensis,male,sub_adult,,Moving in groups.,"['Small Fish', 'Crab (Other Species)', 'Polychaete Worm']",9.0,10.0,10.983346915952616,14.233692618666263,10.591690965863137,49.0,2020-02-23,,,2
U. olhanensis,male,adult,,Mating behavior with antenna touching.,"['Polychaete Worm', 'Mussel']",10.0,18.0,17.42803728301201,21.04801385709199,18.769551711345585,48.0,2020-02-23,,,3
u. olhanen.,female,adult,False,Hiding beneath rocks.,"['Barnacle', 'Sea Urchin', 'Sea Star', 'Shrimp', 'Polychaete Worm']",9.0,15.822288754080365,15.432683283072047,22.912003511111866,16.281406631273754,50.0,2020-02-23,,,4
u. olhanen.,male,adult,,Resting under shell fragment.,"['Coral Fragment', 'Shrimp']",8.0,19.5,18.404248025298468,22.84433378544404,19.792959046849937,50.0,2020-02-23,,,5
u. olhanen.,female,adult,False,Scavenging near tidal pools.,['Sea Star'],11.0,8.801403481264533,9.785593937091003,13.994902573962626,9.203655246464306,50.0,2020-02-23,,,6
A. Farensis,male,juvenile,,Resting under shell fragment.,"['Mussel', 'Barnacle']",4.0,12.0,9.902655816107254,14.334938162899508,13.187493790771313,49.0,2020-02-23,,,7
u. olhanen.,male,sub_adult,,Exchanging antenna taps.,"['Crab (Other Species)', 'Sea Anemone']",9.0,21.25,17.995743634943373,23.8981124742604,21.718380366640126,47.0,2020-02-23,,,8
U. olhanensis,-,sub_adult,,Exchanging antenna taps.,"['Algae', 'Barnacle']",6.0,27.5,24.257122683582825,29.366998016637087,27.516991431919696,49.0,2020-02-23,,,9
A farensis,male,adult,True,Camouflaging with surrounding mud.,"['Crab (Other Species)', 'Snail', 'Jellyfish']",9.0,24.0,22.048157075391707,27.726632558521345,24.54988792950301,48.0,2020-02-23,,,10
u. olhanen.,male,adult,,Searching for food in tidal pools.,"['Crab (Other Species)', 'Sea Sponge', 'Hermit Crab']",5.0,13.5,12.583907536873484,17.120970874429744,14.153687397898302,50.0,2020-02-23,,,11
u. olhanen.,male,adult,,Emerging cautiously from hiding.,"['Sea Anemone', 'Barnacle', 'Mussel', 'Sea Star']",8.0,36.0,39.35369960467058,49.663798352782194,37.40080573571421,51.0,2020-02-23,,,12
U. olhanensis,female,adult,False,Climbing vertical rock face.,"['Sea Urchin', 'Algae']",8.0,15.851428061008232,15.094951674726374,20.187083645021097,17.26863522744436,48.0,2020-02-23,,,13
U. olhanensis,female,pre_puberty,True,Exploring new territory.,['Sea Anemone'],12.0,19.443792654642166,13.936550962602393,17.910132650965465,19.61259894964779,49.0,2020-02-23,,,14
u. olhanen.,male,juvenile,,Exchanging antenna taps.,"['Jellyfish', 'Coral Fragment']",11.0,6.0,5.645295183140794,7.5073079684231825,6.135219944631311,50.0,2020-02-23,,,15
u. olhanen.,male,adult,,Burrowing into sandy sediment.,"['Sea Urchin', 'Hermit Crab', 'Barnacle', 'Crab (Other Species)']",6.0,36.0,37.634522668611176,53.72202924879038,37.48535557773036,50.0,2020-02-23,,,16
U. olhanensis,female,adult,True,Swimming short distance to escape.,"['Sea Urchin', 'Small Fish', 'Crab (Other Species)', 'Algae', 'Coral Fragment']",11.0,27.145762439017187,33.4272663265905,49.76700184144666,27.355685353729598,49.0,2020-02-23,,,17
A farensis,female,adult,True,Escaping from aggressive fish.,"['Mussel', 'Coral Fragment', 'Shrimp', 'Hermit Crab']",10.0,33.14897684947694,32.77534064780925,47.85252088800446,33.56388004729924,48.0,2020-02-23,,,18
Ucides alvorensis,male,adult,,Claw snapping at diver.,['Small Fish'],5.0,18.0,18.62743009096258,22.772511002709557,18.09875795379981,49.0,2020-02-23,,,19
Ucides alvorensis,N/R,sub_adult,True,Rapid claw movement while feeding.,"['Polychaete Worm', 'Sea Sponge']",6.0,10.0,8.58191566061746,12.254386245617248,10.268949942308998,47.0,2020-02-23,,,20
A farensis,-,adult,,Dragging shell fragment backward.,"['Crab (Other Species)', 'Hermit Crab', 'Barnacle', 'Jellyfish']",10.0,39.0,42.77205955821843,62.939817584674856,39.425364640045714,49.0,2020-02-23,,,21
Ucides alvorensis,female,juvenile,False,Climbing barnacle-covered surfaces.,"['Mussel', 'Sea Star', 'Polychaete Worm', 'Jellyfish', 'Sea Urchin']",9.0,13.423257956667939,10.088594229721014,13.80100974006167,14.435711609083887,49.0,2020-02-23,,,22
A farensis,male,pre_puberty,,Sitting still blending with environment.,"['Algae', 'Snail', 'Crab (Other Species)']",9.0,21.0,22.53654226953128,27.98004413314971,21.960232356726586,49.0,2020-02-23,,,23
A farensis,male,adult,,Resting under shell fragment.,"['Small Fish', 'Coral Fragment', 'Hermit Crab', 'Sea Star', 'Sea Anemone']",5.0,12.0,12.815610949285656,19.064038959745357,12.02460986726112,49.0,2020-02-23,,,24
