species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
u. olhanen.,male,pre_puberty,True,Climbing vertical rock face.,"['Jellyfish', 'Sea Sponge', 'Sea Urchin', 'Barnacle', 'Sea Anemone']",9.0,18.75,24.034955523403763,34.1919971637992,19.27041440800403,21.0,2022-11-28,37.02606,-8.01873,0
A farensis,male,adult,,Hiding under seagrass blades.,"['Small Fish', 'Algae', 'Snail', 'Crab (Other Species)', 'Shrimp']",9.0,42.0,38.609676381122874,50.182888179269774,44.64032067373026,21.0,2022-11-28,,,1
A farensis,female,sub_adult,True,Hiding under floating debris.,"['Sea Sponge', 'Shrimp']",8.0,32.07757483175677,37.543199580223,46.039021042028146,32.960853611574194,21.0,2022-11-28,,,2
u. olhanen.,female,sub_adult,True,Climbing seaweed stalks.,['Jellyfish'],6.0,31.839135475144012,32.726681874665346,40.740663025626056,33.20957840647234,20.0,2022-11-28,,,3
A. Farensis,male,sub_adult,,Interaction with hermit crabs.,"['Crab (Other Species)', 'Snail']",8.0,45.0,36.04046857703024,53.79110851553382,45.173750720667286,19.0,2022-11-28,,,4
U. olhanensis,female,adult,True,Rapid crossing of open sand.,"['Barnacle', 'Crab (Other Species)', 'Coral Fragment', 'Jellyfish', 'Sea Star']",8.0,31.105224835141613,34.55471471204448,46.85737336421938,31.932046768591235,20.0,2022-11-28,,,5
A. Farensis,-,sub_adult,,Claw waving directed at nearby crab.,['Polychaete Worm'],6.0,51.25,45.593648793992834,56.5742419317927,55.62824150449286,21.0,2022-11-28,,,6
A. Farensis,female,sub_adult,True,Inspecting discarded crab shell.,"['Algae', 'Polychaete Worm', 'Sea Sponge']",12.0,16.746466778730937,23.49003319107761,29.90763038451087,18.41188819326974,20.0,2022-11-28,,,7
A. Farensis,male,adult,,Feeding on algae scraped from rocks.,"['Snail', 'Small Fish', 'Sea Urchin']",14.0,27.0,25.15554126582182,33.17052626133813,28.542790338976282,20.0,2022-11-28,,,8
u. olhanen.,male,pre_puberty,,Searching for food in tidal pools.,"['Algae', 'Hermit Crab', 'Sea Sponge']",7.0,11.25,12.945437876609542,18.41681179889153,11.987174418729397,21.0,2022-11-28,,,9
A farensis,female,juvenile,False,Feeding on algae scraped from rocks.,"['Hermit Crab', 'Sea Sponge', 'Coral Fragment', 'Polychaete Worm', 'Algae']",6.0,20.141799615825107,16.472984927912616,19.981145525458153,20.76832274038257,21.0,2022-11-28,,,10
u. olhanen.,male,sub_adult,,Claw snapping at diver.,"['Shrimp', 'Algae']",5.0,38.75,41.48794394718088,51.040987494430844,41.14063592155114,22.0,2022-11-28,,,11
U. olhanensis,female,adult,True,Searching for food in tidal pools.,"['Algae', 'Sea Urchin', 'Snail']",9.0,68.3317115159089,66.76730827349627,84.98548958612267,71.10329639095056,21.0,2022-11-28,,,12
U. olhanensis,female,juvenile,False,Territorial display against intruder.,"['Hermit Crab', 'Snail', 'Barnacle']",11.0,16.573930760383156,12.266931474582929,15.78465526501742,17.187620609667693,20.0,2022-11-28,,,13
u. olhanen.,female,sub_adult,True,Dragging shell fragment backward.,"['Barnacle', 'Polychaete Worm', 'Crab (Other Species)', 'Small Fish']",9.0,34.121406782209334,30.100679688094644,40.61929863018833,35.924068103158426,21.0,2022-11-28,,,14
U. olhanensis,male,adult,,Feeding on small mollusks.,"['Mussel', 'Sea Anemone', 'Jellyfish', 'Coral Fragment', 'Sea Urchin']",11.0,57.0,58.957257714638644,71.52119281159598,61.53343854420956,20.0,2022-11-28,,,15
U. olhanensis,N/R,adult,,Cleaning claws with rubbing motion.,"['Mussel', 'Sea Urchin', 'Algae', 'Coral Fragment', 'Sea Sponge']",9.0,63.0,66.82733516738104,90.7505854271754,64.69253787078868,22.0,2022-11-28,,,16
A. Farensis,female,adult,False,Guarding eggs under abdominal flap.,"['Hermit Crab', 'Snail', 'Shrimp', 'Small Fish']",8.0,21.627017784436873,27.636184049361994,34.89605946389559,23.02429994908188,21.0,2022-11-28,,,17
A. Farensis,female,sub_adult,False,Feeding on small mollusks.,['Algae'],9.0,49.74714705884656,53.96499497987254,67.8459792223437,50.071930896374,21.0,2022-11-28,,,18
A farensis,-,sub_adult,,Feeding on small mollusks.,"['Hermit Crab', 'Jellyfish', 'Snail', 'Barnacle', 'Sea Anemone']",8.0,51.25,50.42871021141027,68.39864822968109,52.89165283803834,20.0,2022-11-28,,,19
A. Farensis,female,sub_adult,False,Rapid claw movement while feeding.,"['Coral Fragment', 'Small Fish']",7.0,7.546948046733851,6.738394148213638,9.382680147935016,8.10362727440104,20.0,2022-11-28,,,20
u. olhanen.,male,adult,,Territorial display against intruder.,"['Coral Fragment', 'Barnacle']",10.0,18.0,19.735739226664236,25.35519786700997,19.290007846079273,19.0,2022-11-28,,,21
Ucides alvorensis,male,juvenile,,Pausing frequently during exploration.,['Mussel'],8.0,20.0,21.33154579099206,28.047071917017274,20.577233197767363,20.0,2022-11-28,,,22
A farensis,male,adult,,Moving toward warmer water pockets.,"['Mussel', 'Crab (Other Species)']",6.0,34.5,35.93755758828132,51.97417103972976,37.819914963322546,21.0,2022-11-28,,,23
A farensis,female,adult,True,Inspecting discarded crab shell.,"['Small Fish', 'Hermit Crab', 'Barnacle', 'Sea Anemone', 'Sea Star']",7.0,26.325290577647007,25.77602385505572,35.69591946306866,28.712223338740184,18.0,2022-11-28,,,24
A. Farensis,male,pre_puberty,,Mating behavior with antenna touching.,"['Mussel', 'Crab (Other Species)', 'Sea Star', 'Sea Sponge']",10.0,27.75,32.76792915190061,40.45464939668489,28.103733864718066,20.0,2022-11-28,,,25
A. Farensis,male,juvenile,,Mating behavior with antenna touching.,['Polychaete Worm'],7.0,19.5,19.79269494330326,25.52778745074708,20.729893112860456,19.0,2022-11-28,,,26
U. olhanensis,male,adult,,Half buried in sand.,['Jellyfish'],10.0,60.0,65.92354671559312,87.73364677129881,61.94916977555138,24.0,2022-11-28,,,27
u. olhanen., ,adult,,Escaping predator silhouette overhead.,"['Crab (Other Species)', 'Polychaete Worm', 'Snail']",4.0,22.5,20.546573454203482,29.85651293846535,23.04721959327197,21.0,2022-11-28,,,28
u. olhanen.,male,sub_adult,,Retreating quickly from shadow.,"['Shrimp', 'Jellyfish', 'Small Fish', 'Snail', 'Sea Urchin']",5.0,15.0,15.895620557983161,21.796749065258968,16.3390021753406,19.0,2022-11-28,,,29
U. olhanensis,male,sub_adult,True,Shaking claws after contact.,"['Shrimp', 'Hermit Crab', 'Barnacle']",7.0,30.0,25.4017672033276,35.494945825243335,32.18975820855038,21.0,2022-11-28,,,30
U. olhanensis, ,pre_puberty,,Mating behavior with antenna touching.,"['Mussel', 'Coral Fragment', 'Hermit Crab', 'Snail', 'Sea Anemone']",6.0,15.0,12.958871333058571,16.401479770255822,15.426274639357317,21.0,2022-11-28,,,31
A. Farensis,male,adult,,Climbing algae-covered rocks.,"['Barnacle', 'Sea Urchin', 'Sea Star']",7.0,66.0,67.28187524536119,95.92290343066497,68.64449617605844,20.0,2022-11-28,,,32
A farensis,male,adult,,Rapid claw movement while feeding.,"['Shrimp', 'Sea Sponge', 'Barnacle', 'Mussel']",6.0,58.5,60.37800635637705,87.31217005397994,59.26800657989844,22.0,2022-11-28,,,33
U. olhanensis,female,sub_adult,False,Picking algae from rock surface.,"['Barnacle', 'Coral Fragment', 'Snail', 'Sea Anemone', 'Jellyfish']",9.0,12.821015136664144,12.439400001740934,17.342067706180256,13.588559891529943,21.0,2022-11-28,,,34
u. olhanen.,male,pre_puberty,,Foraging among seagrass roots.,['Hermit Crab'],7.0,27.0,33.32434938702103,49.00846453949918,27.57033536594475,21.0,2022-11-28,,,35
U. olhanensis,male,adult,,Social contact with other crabs.,"['Sea Star', 'Sea Sponge']",8.0,64.5,68.76576616687025,94.79877309129185,69.51561802699527,21.0,2022-11-28,,,36
A. Farensis,female,juvenile,False,Hiding in sandy burrow.,"['Jellyfish', 'Sea Sponge', 'Barnacle']",8.0,5.655819682074962,3.845183205856452,4.776322081157071,6.110163100017384,18.0,2022-11-28,,,37
u. olhanen.,male,adult,,Territorial display against intruder.,"['Coral Fragment', 'Sea Sponge', 'Hermit Crab', 'Crab (Other Species)', 'Shrimp']",7.0,81.0,76.7404609596518,114.90218052923193,86.61443827190548,21.0,2022-11-28,,,38
A farensis,female,pre_puberty,True,Foraging among seagrass roots.,"['Sea Sponge', 'Sea Urchin', 'Snail', 'Sea Anemone', 'Barnacle']",8.0,34.939193394875055,29.423381930585172,36.33063211624467,35.69996724262512,20.0,2022-11-28,,,39
Ucides alvorensis,male or female,adult,True,Claw snapping in competition.,"['Barnacle', 'Shrimp', 'Small Fish', 'Hermit Crab', 'Sea Anemone']",14.0,49.5,53.67421745115397,66.99963663845337,54.373299563943775,21.0,2022-11-28,,,40
A farensis,male,adult,,Climbing vertical rock face.,"['Sea Urchin', 'Barnacle']",9.0,25.5,27.519241115554884,38.12403904133119,26.04269426372928,19.0,2022-11-28,,,41
U. olhanensis,female,sub_adult,False,Exchanging antenna taps.,['Hermit Crab'],9.0,45.76055446030758,43.95721920130732,57.24987625728203,50.07514118720475,22.0,2022-11-28,,,42
u. olhanen.,male,juvenile,,Sitting still blending with environment.,"['Sea Anemone', 'Jellyfish']",8.0,3.0,2.6906712721682156,3.9717837394745437,3.0601931770049937,22.0,2022-11-28,,,43
A. Farensis,male,pre_puberty,,Feeding on small mollusks.,"['Jellyfish', 'Sea Urchin', 'Mussel']",10.0,11.25,8.373296520743974,12.144683811225823,11.434937502074895,21.0,2022-11-28,,,44
A farensis,male,sub_adult,,Exchanging antenna taps.,"['Sea Star', 'Crab (Other Species)']",9.0,27.5,26.773521648930295,34.78628705269741,30.079647192039175,20.0,2022-11-28,,,45
A. Farensis,male,pre_puberty,,Climbing vertical rock face.,"['Crab (Other Species)', 'Polychaete Worm', 'Jellyfish']",7.0,27.75,24.64044094994692,36.56071105830459,28.20206908982113,21.0,2022-11-28,,,46
A. Farensis,male,adult,,Vibrating antennae in water currents.,"['Algae', 'Sea Sponge']",7.0,87.0,89.75132860435227,109.8407551220383,94.91117394351579,18.0,2022-11-28,,,47
A. Farensis,female,sub_adult,True,Claw snapping at diver.,"['Small Fish', 'Shrimp', 'Coral Fragment', 'Polychaete Worm', 'Algae']",10.0,31.134152498892455,25.693201566632172,36.40732874661467,32.807775676729044,20.0,2022-11-28,,,48
Ucides alvorensis,female,pre_puberty,False,Resting in shaded rock crevice.,['Barnacle'],7.0,18.999381612580173,14.67282209633052,20.585314534074875,19.462330722203077,18.0,2022-11-28,,,49
A. Farensis,female,adult,False,Using claws to dig into sediment.,"['Sea Anemone', 'Snail', 'Sea Urchin']",9.0,51.90220365347897,47.97317091106098,64.9885799617186,56.46646698043282,19.0,2022-11-28,,,50
U. olhanensis,female,sub_adult,False,Feeding on small crustaceans.,"['Hermit Crab', 'Algae']",6.0,26.845908704675374,31.616735780376644,40.98867940463689,28.1309082858708,18.0,2022-11-28,,,51
u. olhanen.,male,adult,,Camouflaging with surrounding mud.,"['Jellyfish', 'Mussel', 'Sea Urchin']",9.0,42.0,38.73627829332872,52.19486813150094,45.368947872475694,20.0,2022-11-28,,,52
A farensis,female,juvenile,False,Cleaning claws with rubbing motion.,['Barnacle'],8.0,8.191711857513132,10.641585572587992,13.29376106578184,8.952153616151977,20.0,2022-11-28,,,53
u. olhanen.,male,pre_puberty,,Climbing seaweed stalks.,['Sea Sponge'],8.0,7.5,6.981885107365564,9.310298071475916,7.660327693654594,20.0,2022-11-28,,,54
u. olhanen.,male,adult,,Using claws to dig into sediment.,['Crab (Other Species)'],4.0,43.5,42.028360131349324,51.91394571891752,46.79711600551109,19.0,2022-11-28,,,55
A. Farensis,male,pre_puberty,,Social contact with other crabs.,"['Barnacle', 'Shrimp', 'Polychaete Worm', 'Snail']",9.0,18.75,14.156292736245797,21.194829399445478,18.915877753622972,21.0,2022-11-28,,,56
u. olhanen.,male,sub_adult,,Moving in groups.,"['Barnacle', 'Shrimp', 'Polychaete Worm']",9.0,73.75,80.53554963942997,102.92860059596853,75.69561796020868,19.0,2022-11-28,,,57
u. olhanen.,female,adult,True,Burrowing into sandy sediment.,"['Mussel', 'Sea Anemone', 'Jellyfish', 'Barnacle']",9.0,19.862523783931337,20.231760168420102,25.515675905895883,21.72557497978736,19.0,2022-11-28,,,58
U. olhanensis,male,pre_puberty,,Hiding under floating debris.,"['Hermit Crab', 'Barnacle']",10.0,14.25,17.93226097639895,24.951097790788165,15.192232588585671,18.0,2022-11-28,,,59
Ucides alvorensis,male,sub_adult,True,Rapid claw movement while feeding.,"['Polychaete Worm', 'Barnacle']",9.0,33.75,38.16072348954047,54.52435877161353,36.87013740532028,20.0,2022-11-28,,,60
A. Farensis,female,sub_adult,True,Swimming short distance to escape.,"['Hermit Crab', 'Coral Fragment']",6.0,24.209759938620707,29.04134145300765,37.72704708229089,26.289380286519172,21.0,2022-11-28,,,61
u. olhanen.,female,adult,False,Displaying dominance by lifting body.,"['Barnacle', 'Jellyfish']",11.0,31.086490164307076,35.603280632691835,46.65095965836183,33.254877473335526,22.0,2022-11-28,,,62
A farensis,male,juvenile,,Moving in groups.,"['Small Fish', 'Coral Fragment', 'Snail', 'Sea Urchin']",7.0,16.5,14.981479659944668,20.861208808481926,17.434964381195897,20.0,2022-11-28,,,63
u. olhanen.,male,juvenile,,Crab moving quickly across rocks.,['Mussel'],6.0,12.5,7.870297723340776,10.762432365815442,13.164725897539336,21.0,2022-11-28,,,64
U. olhanensis,male,pre_puberty,,Crab moving quickly across rocks.,['Coral Fragment'],8.0,14.25,13.79584968209711,19.234063986015975,15.430881679172403,19.0,2022-11-28,,,65
U. olhanensis,male,adult,,Claw waving directed at nearby crab.,"['Hermit Crab', 'Jellyfish', 'Crab (Other Species)']",8.0,18.0,17.532652421977303,21.66912078667025,18.340564512531486,21.0,2022-11-28,,,66
u. olhanen.,male,adult,,Feeding on algae scraped from rocks.,"['Coral Fragment', 'Mussel', 'Sea Star', 'Shrimp']",3.0,73.5,67.62279541614029,94.01460732418865,79.91085417188393,20.0,2022-11-28,,,67
U. olhanensis,male,adult,,Moving toward warmer water pockets.,"['Small Fish', 'Snail', 'Polychaete Worm', 'Algae']",10.0,67.5,67.54029067015334,83.48965300588955,73.00828912378702,21.0,2022-11-28,,,68
A farensis,male,adult,,Exploring new territory.,"['Shrimp', 'Jellyfish', 'Sea Sponge', 'Sea Star']",8.0,46.5,42.27041133955863,57.607888587172525,49.49660437438425,20.0,2022-11-28,,,69
U. olhanensis,male,adult,True,Exchanging antenna taps.,"['Mussel', 'Polychaete Worm', 'Crab (Other Species)', 'Coral Fragment']",8.0,25.5,24.867199878890496,36.25396543870234,26.21788372404606,20.0,2022-11-28,,,70
A farensis,male,juvenile,,Feeding on small mollusks.,"['Small Fish', 'Jellyfish', 'Snail']",8.0,16.0,17.361359379096502,22.349259272224582,16.764401662652453,20.0,2022-11-28,,,71
U. olhanensis,male,adult,,Hiding beneath rocks.,"['Hermit Crab', 'Polychaete Worm', 'Crab (Other Species)']",10.0,87.0,89.80552378803264,123.86889066449586,92.08453449378624,19.0,2022-11-28,,,72
