,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,70,135,59
0,26.0,8.327641300568919,4.0,A. Farensis,-8.01873,True,10.079241270835894,adult,female,1.0,12.508415595202655,37.02606,"['Polychaete Worm', 'Small Fish', 'Sea Anemone', 'Mussel']",6.0,Feeding on detritus in shallow water.,,,
1,18.0,6.590144029655573,2.0,A. Farensis,,False,4.605496895108546,sub_adult,female,2.0,13.006022276816468,,"['Crab (Other Species)', 'Shrimp', 'Small Fish', 'Barnacle']",7.0,Picking detritus from seabed.,,,
2,20.0,7.144991323549345,4.0,u. olhanen.,,False,2.8717569691454754,pre_puberty,female,3.0,11.660068838724175,,['Shrimp'],7.0,Inspecting discarded crab shell.,,,
3,12.0,8.190915901475616,6.0,U. olhanensis,,False,1.0359791038907176,sub_adult,male,4.0,12.034193403310654,,"['Mussel', 'Snail']",9.0,Shaking claws after contact.,,,
4,32.0,7.628584289001652,8.0,A farensis,,False,1.665286130183249,pre_puberty,?,5.0,15.029926899955093,,['Jellyfish'],11.0,Hiding beneath rocks.,,,
5,60.0,8.729457189587253,3.0,A farensis,,False,2.739844593643879,pre_puberty, ,6.0,19.057281866069875,,"['Jellyfish', 'Polychaete Worm', 'Sea Urchin', 'Sea Anemone', 'Small Fish']",8.0,Camouflaging with surrounding mud.,,,
6,26.0,8.976693168640198,2.0,A. Farensis,,False,3.1650306835238737,adult,nan,7.0,14.481324302382644,,"['Shrimp', 'Barnacle', 'Crab (Other Species)', 'Small Fish', 'Snail']",8.0,Escaping from aggressive fish.,,,
7,24.0,7.543055341343347,4.0,u. olhanen.,,False,0.9374897090627712,pre_puberty,nan,8.0,13.363647759786595,,"['Algae', 'Barnacle', 'Sea Urchin', 'Hermit Crab', 'Mussel']",9.0,Waving claws rhythmically.,,,
8,12.0,7.116106591562711,6.0,u. olhanen.,,False,10.620254598945206,sub_adult,male,9.0,10.19246458209755,,"['Sea Urchin', 'Coral Fragment', 'Snail', 'Mussel', 'Sea Sponge']",7.0,Defensive posture when approached.,,,
9,41.0,8.493748380535841,2.0,u. olhanen.,,True,4.009414364986088,pre_puberty,female,10.0,16.86705516105507,,"['Sea Anemone', 'Sea Sponge', 'Shrimp']",4.0,Rapid crossing of open sand.,,,
