,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,520,84.83538757099025,50,A farensis,-7.99163,False,6.650120675901868,j,nan,1,183.09666127790908,37.01025,"['Shrimp', 'Crab (Other Species)', 'Sea Sponge', 'Algae']",6,Moving in groups.
1,270,59.76140582889366,20,A. Farensis,,False,1900.3799226807264,p,?,2,177.35335008532047,,"['Algae', 'Hermit Crab', 'Sea Star', 'Coral Fragment']",9,Stillness in cold water.
2,200,53.90599237565267,20,A farensis,,False,26.162357157926305,a,male,3,182.69926226937315,,"['Shrimp', 'Jellyfish', 'Sea Urchin']",7,Vibrating antennae in water currents.
3,360,61.82222472511508,30,A farensis,,False,61.3439378991179,s,male,4,168.42434169080877,,"['Sea Urchin', 'Sea Sponge', 'Barnacle']",8,Waving claws rhythmically.
4,280,68.36541709987725,60,A. Farensis,,False,14.286669195339917,p,male or female,5,166.71278622345358,,['Sea Star'],11,Claw snapping in competition.
5,120,94.67770087848238,30,A. Farensis,,False,197.02440170377167,j,?,6,164.37443617279885,,['Sea Urchin'],8,Hiding beneath rocks.
6,140,103.38911257965833,50,U. olhanensis,,False,18.18690102327016,j,male,7,180.61476244793997,,"['Sea Sponge', 'Mussel', 'Snail', 'Coral Fragment']",10,Waving claws rhythmically.
7,420,58.437089571887455,40,u. olhanen.,,False,65.6156696881173,s,male or female,8,165.94031928485052,,"['Jellyfish', 'Sea Sponge', 'Snail', 'Coral Fragment', 'Polychaete Worm']",12,Stillness in cold water.
8,130,85.6027686118074,50,A farensis,,True,2.6516307351478585,a,female,9,167.51579759009317,,"['Sea Anemone', 'Sea Star', 'Jellyfish', 'Crab (Other Species)', 'Sea Urchin']",7,Feeding on small crustaceans.
9,380,87.62327466629087,80,u. olhanen.,,False,3.7103070866180534,p,male,10,166.10516541482397,,"['Sea Star', 'Barnacle']",12,Searching for mates at twilight.
10,190,30.37312640699517,40,u. olhanen.,,False,60.145314347500474,s,male,11,186.47002009052355,,"['Sea Urchin', 'Algae']",6,Climbing barnacle-covered surfaces.
11,220,82.54807984724714,60,A farensis,,False,28.434853958471656,a,male,12,163.4370685666937,,"['Mussel', 'Small Fish', 'Sea Sponge']",8,Interaction with hermit crabs.
12,210,66.17284413253346,20,A farensis,,True,1500.0,j,male,13,163.4599363469584,,"['Sea Anemone', 'Hermit Crab']",6,Crab moving quickly across rocks.
13,280,51.6167965303892,40,A farensis,,True,58.96484175118647,p,female,14,161.46474595389773,,"['Hermit Crab', 'Jellyfish']",10,Exploring new territory.
14,140,75.8144464764913,40,A farensis,,False,264.776621919791,a,female,15,167.26433623975362,,"['Coral Fragment', 'Crab (Other Species)', 'Algae', 'Mussel', 'Sea Sponge']",12,Hiding beneath rocks.
15,480,68.31897025480485,20,A. Farensis,,False,44.68122588651008,a,female,16,182.4408722456581,,"['Hermit Crab', 'Polychaete Worm', 'Sea Sponge']",10,Struggling with entangled seaweed.
16,260,48.31356235231419,150,u. olhanen.,,False,917.4114626721644,p,male,17,149.09176791291958,,['Sea Anemone'],11,Stillness in cold water.
17,310,79.28285380758491,20,u. olhanen.,,False,383.328096603712,p,female,18,170.25619431635863,,"['Polychaete Worm', 'Sea Anemone', 'Hermit Crab', 'Mussel', 'Crab (Other Species)']",11,Searching for food in tidal pools.
18,440,46.14331877264526,20,A. Farensis,,False,10.026762827820283,s,female,19,164.2607011341517,,"['Shrimp', 'Crab (Other Species)', 'Sea Sponge', 'Snail', 'Algae']",9,Resting in shaded rock crevice.
19,300,66.26914409817878,20,A. Farensis,,True,277.82578905425487,j,nan,20,161.71146867436178,,"['Shrimp', 'Sea Urchin', 'Snail', 'Barnacle', 'Polychaete Worm']",4,Burrowing into sandy sediment.
20,310,102.93843634416255,20,u. olhanen.,,False,15.6161644292748,j,male,21,182.33851571206526,,['Crab (Other Species)'],5,Half buried in sand.
21,360,91.37440190575504,50,u. olhanen.,,False,139.4902816261084,p,male or female,22,172.89523775265823,,"['Coral Fragment', 'Shrimp']",10,Feeding on small crustaceans.
22,400,72.66819493555859,40,u. olhanen.,,False,51.34385644412423,p,male,23,159.71679581014268,,"['Sea Anemone', 'Small Fish', 'Sea Sponge']",8,Social contact with other crabs.
23,330,81.58619413291298,40,A farensis,,False,1434.663977471497,s,nan,24,166.04731185974845,,"['Hermit Crab', 'Algae', 'Sea Anemone', 'Sea Urchin', 'Sea Star']",13,Resting in shaded rock crevice.
24,160,89.89834552152158,30,A farensis,,True,26.194127632375732,s,male,25,166.8678674593791,,"['Hermit Crab', 'Sea Sponge', 'Algae']",7,Crab moving quickly across rocks.
25,250,50.7203026470527,20,A. Farensis,,False,292.4558690681601,a,male,26,162.9196513111574,,"['Polychaete Worm', 'Coral Fragment', 'Barnacle']",15,Displaying dominance by lifting body.
26,180,66.392624427411,20,u. olhanen.,,False,124.2745948852024,a, ,27,155.62091441341948,,['Shrimp'],6,Escaping predator silhouette overhead.
27,190,69.97372105252343,30,u. olhanen.,,True,574.8644775975954,s,?,28,184.80504624696925,,['Hermit Crab'],9,Emerging cautiously from hiding.
28,360,64.14295696782307,60,A. Farensis,,False,40.50339525507021,a,male,29,151.02844684588396,,"['Sea Urchin', 'Algae']",7,Dragging shell fragment backward.
29,270,48.30406679413283,20,u. olhanen.,,False,203.10185151452927,p,male,30,160.4940007432579,,"['Coral Fragment', 'Crab (Other Species)']",8,Picking detritus from seabed.
30,240,74.28120753045279,20,A. Farensis,,False,429.53557781634413,s,male or female,31,186.19290018019973,,"['Polychaete Worm', 'Crab (Other Species)']",6,Hiding under floating debris.
31,310,71.24196772948072,20,A. Farensis,,False,386.5011788707084,a,male,32,207.24870467072915,,"['Sea Star', 'Barnacle', 'Polychaete Worm', 'Sea Urchin', 'Coral Fragment']",5,Searching for mates at twilight.
32,180,89.83245150012166,50,A. Farensis,,False,2.5832064141619293,p,male or female,33,184.44519329143034,,"['Snail', 'Sea Urchin', 'Shrimp', 'Mussel', 'Small Fish']",9,Moving sideways along sandy bottom.
33,260,73.19482382001289,20,A farensis,,False,11.15936018518488,s,female,34,170.26568915337475,,['Shrimp'],7,Social contact with other crabs.
34,450,80.47030668122153,20,A farensis,,True,10.033856280103652,a, ,35,166.7646905645907,,"['Coral Fragment', 'Barnacle', 'Jellyfish', 'Shrimp']",6,Camouflaging with surrounding mud.
35,80,73.86960572944764,20,A. Farensis,,False,420.21785003016527,s,male,36,179.04953747982447,,"['Sea Sponge', 'Snail', 'Shrimp', 'Crab (Other Species)']",6,Resting under shell fragment.
36,90,97.09062967481039,40,u. olhanen.,,False,44.83011013953687,p, ,37,171.12399342955283,,['Barnacle'],5,Searching for food in tidal pools.
37,160,45.82961669230764,20,A farensis,,True,1500.0,j,nan,38,190.5190564777547,,"['Jellyfish', 'Sea Star', 'Sea Urchin']",3,Picking detritus from seabed.
38,270,62.980446757670265,40,A farensis,,True,638.9545898121808,s,male,39,157.27408789790795,,['Polychaete Worm'],8,Hiding beneath rocks.
39,340,54.40855385810369,20,A. Farensis,,False,1439.8920478321454,s, ,40,189.59256121957142,,['Algae'],8,Exploring new territory.
