,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,U. olhanensis,male or female,a,True,Lying still to avoid detection.,"['Hermit Crab', 'Sea Sponge', 'Mussel']",6.0,3.6818181818181817,3.954683039745591,10.746688615335858,3.300276117709555,37.1,-8.62,0
1,A farensis,female,s,False,Guarding eggs beneath body flap.,"['Sea Anemone', 'Sea Sponge', 'Hermit Crab']",7.0,1.3776910473398738,1.5554274384754156,1.2299544386413324,1.2642154276914155,,,1
2,u. olhanen.,female,a,False,Lying still to avoid detection.,"['Mussel', 'Jellyfish']",6.0,5.39731491862754,5.573749658185962,3.946466736792891,-999.0,,,2
3,u. olhanen.,male,a,,Picking algae carefully off rock faces.,"['Coral Fragment', 'Sea Urchin', 'Hermit Crab', 'Sea Sponge', 'Crab (Other Species)']",6.0,4.363636363636363,4.071450130771124,40.42074584015644,2.9095401180798692,,,3
4,A farensis,N/R,a,,Lying still to avoid detection.,"['Sea Star', 'Barnacle', 'Shrimp', 'Sea Urchin']",6.0,1.8970338470851014,1.575489236736678,1.2365329679883752,1.4659540419179151,,,4
5,U. olhanensis,female,j,False,Traversing algae-slick rock surfaces.,"['Sea Anemone', 'Snail']",5.0,0.6918969956083109,0.5599756072692323,0.40775179931313105,0.48324632259067113,,,5
6,A. Farensis,male,a,,Camouflaging with nearby mud.,"['Sea Sponge', 'Jellyfish']",7.0,4.090909090909091,4.335041724160911,48.05342430770136,3.165823110999,,,6
7,U. olhanensis,female,a,False,Frequent pausing while exploring.,"['Snail', 'Shrimp', 'Sea Urchin']",5.0,3.814477549950422,4.00432873135105,2.707370196244854,3.239386341432879,,,7
8,U. olhanensis,female,s,False,Swiftly dashing across exposed sand.,"['Sea Anemone', 'Barnacle']",6.0,2.808535913450783,3.185544561209816,2.047219415221861,2.6520043382523824,,,8
9,u. olhanen.,female,s,False,Lying still to avoid detection.,['Coral Fragment'],10.0,3.854194251575014,4.045141298838806,3.2252640360901594,3.5619452736176216,,,9
10,A farensis,female,s,False,Resisting aggressive fish encounter.,"['Algae', 'Small Fish']",10.0,3.6091893868444784,3.464196108846713,2.167987127238677,3.108131739579552,,,10
11,A. Farensis,male,p,,Advancing toward bait in water.,"['Algae', 'Coral Fragment', 'Sea Anemone']",6.0,2.25,1.868261130482625,1.414073341073497,11.029674610756059,,,11
12,A. Farensis, ,s,,Advancing toward bait in water.,"['Sea Sponge', 'Sea Urchin', 'Crab (Other Species)', 'Sea Star', 'Small Fish']",4.0,1.2353745148599282,1.3393428021387124,1.0742458825757877,1.4719423865417591,,,12
13,A. Farensis,female,a,False,Concealing self beneath floating matter.,['Coral Fragment'],6.0,3.8343417312302646,4.1059269982017295,3.0115375530543873,3.6926307792538364,,,13
14,A. Farensis,female,p,True,Retreating swiftly from perceived danger.,"['Mussel', 'Shrimp']",6.0,1.6235338897791884,1.5709051524364868,1.095277592374402,1.3322527139350038,,,14
15,Ucides alvorensis,nan,j,,Peering out cautiously from cover.,"['Sea Sponge', 'Coral Fragment', 'Shrimp', 'Sea Urchin']",3.0,1.2734244684536191,1.5553218292647912,1.1416432651054287,1.4081888615544769,,,15
16,u. olhanen.,female,s,False,Gradual movement in cold conditions.,"['Algae', 'Hermit Crab']",9.0,1.9320141395831163,2.011116579399793,1.2465322311588187,1.6634785845350952,,,16
