species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,male,juvenile,U. olhanensis,True,Interaction with hermit crabs.,"['Small Fish', 'Jellyfish', 'Sea Star', 'Shrimp', 'Snail']",8.0,1.2272727272727273,1.5286686120881467,2.2173729038178243,1.2384232130415627,2.5454545454545454,2021-09-11,37.1,-8.62,0
,female,adult,A. Farensis,False,Moving sideways along sandy bottom.,"['Snail', 'Polychaete Worm', 'Crab (Other Species)', 'Sea Anemone', 'Small Fish']",4.0,2.8113100234325876,2.9505362173781986,4.383116035758028,2.9760815808161896,2.4545454545454546,2021-09-11,,,1
,female,sub_adult,A. Farensis,False,Struggling with entangled seaweed.,"['Sea Star', 'Crab (Other Species)']",5.0,2.141877951259529,2.1701278121131655,2.9046145220794553,2.2997436749603946,2.5454545454545454,2021-09-11,,,2
,female,adult,U. olhanensis,False,Climbing onto submerged logs.,"['Sea Urchin', 'Polychaete Worm', 'Shrimp']",7.0,2.899881555913693,2.946004753179387,4.2492083750303316,3.084257242299372,2.5454545454545454,2021-09-11,,,3
,male,pre_puberty,u. olhanen.,,Color changes during molting.,"['Snail', 'Crab (Other Species)', 'Algae', 'Shrimp', 'Small Fish']",5.0,0.6818181818181818,0.7526464538317016,0.9056094833147351,0.7286671415080047,2.5454545454545454,2021-09-11,,,4
,male,sub_adult,Ucides alvorensis,,Resting under shell fragment.,['Mussel'],3.0,0.6818181818181818,0.5884480127950724,0.8354593413973234,0.6964107529673,2.6363636363636362,2021-09-11,,,5
,male,sub_adult,U. olhanensis,,Climbing onto submerged logs.,"['Sea Star', 'Sea Sponge', 'Hermit Crab']",6.0,5.454545454545454,6.14976650737905,8.92757533477778,5.7939165978034035,2.6363636363636362,2021-09-11,,,6
,male,adult,U. olhanensis,,Resting in shaded rock crevice.,"['Crab (Other Species)', 'Shrimp', 'Jellyfish', 'Mussel', 'Hermit Crab']",7.0,5.045454545454546,4.587917956636397,6.880135830756783,5.099882432434851,2.6363636363636362,2021-09-11,,,7
,female,juvenile,A farensis,False,Rapid crossing of open sand.,"['Barnacle', 'Shrimp', 'Polychaete Worm']",7.0,1.1339218363059638,0.621125820031101,0.8858472887339149,1.1991964035797038,2.3636363636363638,2021-09-11,,,8
,male,juvenile,A. Farensis,,Claw snapping in competition.,"['Small Fish', 'Snail', 'Shrimp']",3.0,1.7272727272727273,1.2173921873911648,1.4906523170234864,1.8664899984211594,2.727272727272727,2021-09-11,,,9
,female,pre_puberty,U. olhanensis,True,Hiding under floating debris.,"['Sea Anemone', 'Crab (Other Species)', 'Coral Fragment', 'Mussel', 'Snail']",9.0,2.1011592542775657,2.6809555101093716,3.8799419508157187,2.279884193358451,2.727272727272727,2021-09-11,,,10
,male,sub_adult,U. olhanensis,,Climbing vertical rock face.,"['Sea Urchin', 'Small Fish', 'Shrimp']",6.0,3.0681818181818183,3.4589130523559324,5.073606368059085,3.0781534071265955,2.5454545454545454,2021-09-11,,,11
,male,adult,U. olhanensis,,Feeding on small crustaceans.,"['Sea Urchin', 'Polychaete Worm', 'Shrimp']",7.0,6.545454545454546,6.463037559983072,8.335640897153752,6.942273718847246,2.5454545454545454,2021-09-11,,,12
,female,pre_puberty,u. olhanen.,False,Stillness in cold water.,['Sea Urchin'],8.0,2.4643602348953775,3.292597759055965,4.203216698935865,2.5085347545782803,2.727272727272727,2021-09-11,,,13
