,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,110,107.74296451506969,40,u. olhanen.,-7.99163,False,8.126477638330789,p,male,1,144.06295020090943,37.01025,"['Small Fish', 'Snail', 'Sea Sponge']",7,Waving claws rhythmically.
1,290,164.18817868567822,120,A farensis,,False,8.090991316185695,s,female,2,140.25433550187893,,"['Mussel', 'Algae']",9,Retreating quickly from shadow.
2,180,104.12093688086995,70,A. Farensis,,False,185.05488926362568,s,female,3,134.3777328699434,,"['Sea Sponge', 'Crab (Other Species)', 'Jellyfish', 'Snail', 'Coral Fragment']",6,Emerging cautiously from hiding.
3,170,97.72281980725862,20,A. Farensis,,False,84.38333311437704,s,male,4,118.60735852159094,,"['Coral Fragment', 'Barnacle', 'Sea Sponge', 'Mussel', 'Sea Urchin']",11,Searching for food in tidal pools.
4,150,121.00400127932153,30,A farensis,,False,135.6353147715637,s,male,5,94.06171762539915,,"['Polychaete Worm', 'Sea Sponge', 'Sea Star']",8,Sideways walking along bay edge.
5,50,103.04023473057448,80,u. olhanen.,,True,72.11337553597043,p,female,6,142.7387727911139,,['Algae'],5,Slow movement near seagrass patches.
6,50,105.75721245434619,50,u. olhanen.,,False,5.868075202810291,s,male,7,122.77539300007975,,"['Hermit Crab', 'Sea Anemone', 'Small Fish']",8,Cleaning claws with rubbing motion.
7,130,111.22495543110662,30,A farensis,,False,18.860573890910032,j,male,8,96.30078325123179,,"['Jellyfish', 'Sea Anemone']",8,Claw waving directed at nearby crab.
8,130,103.31442866710852,120,A. Farensis,,False,23.97627094514246,p,male,9,167.81328185572775,,"['Algae', 'Jellyfish', 'Hermit Crab', 'Crab (Other Species)']",5,Picking detritus from seabed.
9,90,92.56107793490654,40,A farensis,,False,4.966434443483292,s,female,10,113.45425208212687,,"['Sea Star', 'Sea Anemone', 'Mussel', 'Jellyfish']",7,Climbing barnacle-covered surfaces.
10,210,112.61674194910869,30,U. olhanensis,,True,1500.0,p,male or female,11,129.8724210644532,,"['Sea Anemone', 'Hermit Crab']",5,Half buried in sand.
11,60,128.89547445152817,60,A. Farensis,,True,15.946884877301912,p,female,12,127.37426799242078,,['Shrimp'],8,Picking algae from rock surface.
12,190,115.52138816069949,30,A farensis,,False,73.76414420985455,s,?,13,117.38081368869636,,"['Small Fish', 'Sea Anemone', 'Shrimp', 'Sea Sponge', 'Sea Urchin']",10,Dragging shell fragment backward.
13,90,110.82115488533462,40,u. olhanen.,,False,442.3039301206807,s,?,14,109.98503967737994,,['Small Fish'],11,Climbing seaweed stalks.
14,220,92.49184740899705,50,A farensis,,False,4.904429958221386,p,male,15,137.2238831030638,,"['Jellyfish', 'Small Fish']",9,Stillness in cold water.
15,120,103.2368744862575,20,A farensis,,True,13.463164703533172,s, ,16,143.30338467003938,,"['Coral Fragment', 'Crab (Other Species)', 'Sea Anemone', 'Sea Sponge']",8,Searching for food in tidal pools.
16,260,95.51917759830329,40,u. olhanen.,,False,8.303412583628743,p,female,17,137.16338640805174,,"['Sea Star', 'Coral Fragment']",9,Foraging among seagrass roots.
17,150,124.33105264670482,40,A. Farensis,,False,248.07115129863436,s,female,18,146.64034062474337,,"['Sea Anemone', 'Sea Sponge', 'Mussel', 'Jellyfish', 'Sea Star']",6,Half buried in sand.
18,210,111.21583442765117,100,A. Farensis,,False,291.67698191893186,p,male,19,134.91522762250315,,"['Sea Anemone', 'Barnacle', 'Algae', 'Sea Urchin', 'Shrimp']",13,Vibrating antennae in water currents.
19,80,111.10311513562388,50,A. Farensis,,False,70.07915172580871,p,male,20,154.2222365352534,,"['Algae', 'Barnacle', 'Sea Urchin', 'Sea Sponge']",8,Climbing algae-covered rocks.
20,280,94.52699929408351,60,A farensis,,False,60.63980568527377,s,?,21,130.42453771488346,,['Coral Fragment'],7,Using claws to dig into sediment.
21,330,104.9058027186107,70,A. Farensis,,True,49.86882553009269,s,male,22,127.72079489818822,,['Mussel'],7,Social contact with other crabs.
22,100,134.39865284894876,40,A farensis,,True,24.77947105365919,p,male,23,121.20123672345412,,"['Hermit Crab', 'Sea Star', 'Algae', 'Sea Anemone']",9,Pausing frequently during exploration.
23,220,110.71290106846135,20,U. olhanensis,,True,5.9427974050418255,s,female,24,113.29790075928678,,['Small Fish'],6,Climbing barnacle-covered surfaces.
24,70,94.69116636071048,50,A. Farensis,,False,37.51088574954833,s,male,25,136.4358633002198,,"['Hermit Crab', 'Algae', 'Sea Urchin']",14,Hiding beneath rocks.
25,170,129.72649941508806,30,u. olhanen.,,False,233.79959275770807,p,male or female,26,125.0506718236806,,"['Sea Star', 'Hermit Crab', 'Algae']",6,Interacting with small fish nearby.
26,180,108.62939720831957,60,A. Farensis,,False,145.41561015198437,s,male,27,122.93842139761578,,"['Small Fish', 'Snail', 'Sea Sponge']",6,Mating behavior with antenna touching.
