species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
A farensis,N/R,adult,True,Climbing barnacle-covered surfaces.,['Mussel'],10.0,43.5,43.6536230694924,55.271985876918734,45.71362334878362,50.0,2020-01-05,37.02606,-8.01873,0
U. olhanensis,male,sub_adult,,Rapid claw movement while feeding.,"['Polychaete Worm', 'Shrimp', 'Sea Star', 'Crab (Other Species)']",7.0,38.75,38.74712469925768,52.38594543387347,40.726771592022715,49.0,2020-01-05,,,1
U. olhanensis,male,adult,,Claw snapping in competition.,"['Mussel', 'Polychaete Worm', 'Small Fish', 'Sea Urchin']",9.0,27.0,26.41495120626461,33.338451024995685,28.251043478766977,50.0,2020-01-05,,,2
U. olhanensis,female,pre_puberty,True,Claw waving directed at nearby crab.,"['Sea Urchin', 'Mussel']",9.0,9.884886539709301,8.889658717638552,11.084797888478596,10.372085329549984,48.0,2020-01-05,,,3
A. Farensis,male,adult,,Sitting still blending with environment.,"['Shrimp', 'Barnacle', 'Hermit Crab']",8.0,24.0,25.741321365571185,36.04236475691326,26.066649401311114,47.0,2020-01-05,,,4
A. Farensis,male,sub_adult,,Feeding on small mollusks.,"['Polychaete Worm', 'Algae', 'Sea Urchin', 'Crab (Other Species)']",6.0,32.5,34.66642529064285,49.416075565190866,33.10986788390112,50.0,2020-01-05,,,5
U. olhanensis,male,sub_adult,,Feeding on algae scraped from rocks.,"['Polychaete Worm', 'Coral Fragment']",6.0,13.75,15.16569945543702,18.404786058510542,14.58381193783853,50.0,2020-01-05,,,6
u. olhanen.,male,adult,,Moving sideways along sandy bottom.,"['Barnacle', 'Coral Fragment', 'Snail']",12.0,36.0,36.19952121076787,46.541965232319825,36.21165330684818,49.0,2020-01-05,,,7
A. Farensis,male,sub_adult,,Escaping predator silhouette overhead.,"['Sea Star', 'Hermit Crab', 'Sea Urchin', 'Jellyfish', 'Coral Fragment']",10.0,6.25,7.051497186044578,9.837629566634545,6.354144309285376,50.0,2020-01-05,,,8
Ucides alvorensis,female,pre_puberty,True,Foraging among seagrass roots.,"['Hermit Crab', 'Small Fish']",6.0,5.554845980315346,7.693603900794368,9.784397035071219,5.599585643774156,49.0,2020-01-05,,,9
A. Farensis,male or female,adult,True,Displaying dominance by lifting body.,['Polychaete Worm'],10.0,18.0,17.95650117826707,22.7884891691997,19.69506625246153,48.0,2020-01-05,,,10
A farensis,male,adult,,Crab moving quickly across rocks.,"['Sea Anemone', 'Jellyfish', 'Crab (Other Species)', 'Sea Urchin']",5.0,12.0,12.782478028338755,18.785244437087535,12.251178222236982,50.0,2020-01-05,,,11
U. olhanensis,male,sub_adult,,Slow movement near seagrass patches.,['Hermit Crab'],10.0,12.5,12.863437249777885,16.746479487793447,13.058761253348145,48.0,2020-01-05,,,12
