,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,u. olhanen.,female,pre_puberty,False,Searching for mates at twilight.,"['Crab (Other Species)', 'Jellyfish', 'Sea Star', 'Sea Anemone']",6.0,9.440893455207755,8.145103320503347,11.360608793048648,9.668886548060108,40.0,2021-02-10,37.02606,-8.01873,0
1,U. olhanensis,male,adult,,Claw waving directed at nearby crab.,"['Small Fish', 'Sea Star', 'Sea Anemone', 'Barnacle']",7.0,45.0,45.95391211934656,55.20196276659786,47.57018239693034,38.0,2021-02-10,,,1
2,A farensis,male,sub_adult,,Claw snapping at diver.,['Shrimp'],10.0,6.25,5.28381254904476,7.689710504506575,6.674213056379968,39.0,2021-02-10,,,2
3,U. olhanensis,female,pre_puberty,True,Inspecting discarded crab shell.,"['Jellyfish', 'Crab (Other Species)', 'Sea Anemone', 'Shrimp']",5.0,28.43866690043151,27.67263504116343,34.140037058371085,30.776555011063294,36.0,2021-02-10,,,3
4,A farensis,female,sub_adult,False,Territorial display against intruder.,"['Coral Fragment', 'Sea Sponge', 'Polychaete Worm']",12.0,30.890195236360896,41.81514000876895,52.847822589958625,32.026635595439096,39.0,2021-02-10,,,4
5,U. olhanensis,male,adult,,Guarding eggs under abdominal flap.,"['Sea Star', 'Crab (Other Species)', 'Sea Urchin']",8.0,19.5,17.607588747580532,22.054935763032265,21.264688252325133,38.0,2021-02-10,,,5
6,u. olhanen.,female,sub_adult,True,Color changes during molting.,"['Mussel', 'Small Fish']",7.0,29.594221370895447,26.721664966909543,32.619029542196614,31.610139324106193,39.0,2021-02-10,,,6
7,U. olhanensis,male,adult,,Struggling with entangled seaweed.,"['Sea Urchin', 'Sea Star']",6.0,54.0,58.102503271721126,78.631295051359,55.39498178093092,39.0,2021-02-10,,,7
8,u. olhanen.,male,juvenile,,Feeding on algae scraped from rocks.,"['Coral Fragment', 'Sea Urchin']",7.0,9.5,8.457216676849992,10.980949129119178,9.756065527581129,38.0,2021-02-10,,,8
9,A. Farensis,male,adult,,Displaying dominance by lifting body.,"['Shrimp', 'Sea Star', 'Mussel']",6.0,34.5,34.92081001955306,51.27614490748993,37.53230524142794,38.0,2021-02-10,,,9
10,U. olhanensis,female,adult,False,Searching for food in tidal pools.,"['Mussel', 'Algae', 'Jellyfish']",5.0,25.70183513086421,24.524289012312206,33.649037860179554,27.4222511105861,38.0,2021-02-10,,,10
11,u. olhanen.,male,adult,,Scavenging near tidal pools.,"['Mussel', 'Coral Fragment', 'Barnacle', 'Sea Sponge', 'Snail']",6.0,51.0,55.78599003745142,67.2644866738674,55.363242273618226,38.0,2021-02-10,,,11
12,A. Farensis,female,adult,False,Retreating quickly from shadow.,['Shrimp'],6.0,31.589838342579938,32.71625200154434,48.11139301322495,33.31763713748744,38.0,2021-02-10,,,12
13,u. olhanen.,male,sub_adult,,Feeding on small crustaceans.,"['Crab (Other Species)', 'Jellyfish', 'Snail']",7.0,26.25,26.24221167372601,35.22855288408982,26.51314722817402,38.0,2021-02-10,,,13
14,U. olhanensis,female,pre_puberty,True,Scavenging near tidal pools.,"['Snail', 'Hermit Crab', 'Mussel']",11.0,10.466731980892254,13.532028288535685,17.470828402551433,11.05510647684852,40.0,2021-02-10,,,14
15,u. olhanen.,female,pre_puberty,False,Hiding in sandy burrow.,"['Algae', 'Sea Urchin', 'Snail']",6.0,13.152319696302891,11.415007736419081,16.729775336748972,13.623302801848537,38.0,2021-02-10,,,15
