,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,60,82.15800124333697,50,A farensis,-7.99163,False,23.756143338681873,p,male,1,137.39929798776114,37.01025,"['Mussel', 'Jellyfish', 'Algae']",9,Camouflaging with surrounding mud.
1,150,82.75940438880934,40,A. Farensis,,False,93.2045817183107,s,male,2,170.9220194773442,,"['Polychaete Worm', 'Crab (Other Species)', 'Snail']",6,Climbing onto submerged logs.
2,120,56.716243591947034,90,u. olhanen.,,False,21.996661497182508,p,male,3,124.05910880370556,,"['Coral Fragment', 'Sea Star']",3,Shaking claws after contact.
3,110,75.12873551732453,20,A. Farensis,,True,1.937642166669276,s,male,4,168.2393749179394,,"['Crab (Other Species)', 'Small Fish', 'Snail']",7,Interaction with hermit crabs.
4,110,76.60031678055697,70,A farensis,,False,26.752322426972526,a,male,5,169.51348373218718,,"['Small Fish', 'Hermit Crab', 'Barnacle', 'Sea Star']",5,Social contact with other crabs.
5,310,73.2944811157362,40,u. olhanen.,,False,12.13920892241918,s, ,6,163.8729761651871,,"['Barnacle', 'Mussel', 'Jellyfish', 'Small Fish', 'Sea Star']",10,Exploring new territory.
6,130,63.11147621380876,30,A. Farensis,,True,77.68098175898257,s,male,7,165.00163093899585,,['Sea Sponge'],6,Feeding on small crustaceans.
7,190,62.06698407691838,30,A. Farensis,,False,4.830498494144962,j,female,8,152.53168801279827,,"['Mussel', 'Sea Sponge', 'Crab (Other Species)', 'Small Fish', 'Polychaete Worm']",6,Color changes during molting.
8,190,67.85337556996689,30,A farensis,,False,74.96572556024988,j,male,9,128.38641379855736,,"['Snail', 'Sea Sponge', 'Barnacle', 'Small Fish']",9,Moving toward warmer water pockets.
9,330,67.24133096508945,40,A farensis,,False,3.052592677535265,a,female,10,138.65879653586506,,['Jellyfish'],7,Social contact with other crabs.
10,160,84.12545860843069,50,A farensis,,False,41.93608262134155,s,male,11,131.83905033783026,,"['Polychaete Worm', 'Mussel', 'Hermit Crab', 'Sea Anemone', 'Crab (Other Species)']",7,Burrowing into sandy sediment.
11,270,85.33492501686479,60,A farensis,,False,5.87935036211099,s,male,12,151.22390187714637,,"['Small Fish', 'Polychaete Worm', 'Sea Urchin', 'Snail']",9,Searching for food in tidal pools.
12,70,62.738931058967005,30,U. olhanensis,,True,71.74707185859292,j,female,13,123.95587293994508,,"['Sea Star', 'Polychaete Worm', 'Sea Sponge']",5,Feeding on small mollusks.
13,400,69.45057576247721,90,A. Farensis,,False,17.70890863406956,s,female,14,183.5878000896176,,"['Jellyfish', 'Coral Fragment']",9,Picking biofilm on submerged wood.
14,170,74.35762414815646,40,A. Farensis,,False,23.13932011947386,s,male,15,143.81482613389565,,['Snail'],11,Escaping from aggressive fish.
15,240,60.99621376424487,50,u. olhanen.,,False,16.259990612098562,s,male,16,129.69814128679118,,"['Jellyfish', 'Crab (Other Species)', 'Sea Urchin', 'Mussel']",7,Social contact with other crabs.
16,140,78.08619493761208,60,A. Farensis,,False,64.86710273649601,s,male,17,166.32445356634554,,['Small Fish'],9,Slow movement near seagrass patches.
17,120,58.607318873010556,80,A farensis,,False,31.777665492325845,p,male,18,147.32182110423645,,"['Crab (Other Species)', 'Shrimp', 'Sea Sponge', 'Mussel']",9,Using claws to dig into sediment.
18,160,68.41441542860494,60,A farensis,,False,179.27809384262898,p,male,19,144.302466183446,,"['Barnacle', 'Crab (Other Species)', 'Sea Urchin', 'Polychaete Worm']",9,Foraging among seagrass roots.
19,320,55.241848792054384,50,A. Farensis,,False,12.46470404091157,a, ,20,154.65564648813006,,"['Sea Star', 'Mussel']",8,Feeding on detritus in shallow water.
20,50,68.64402922832949,60,u. olhanen.,,False,12.551780368442913,j,male,21,124.10549433077716,,"['Mussel', 'Sea Sponge']",6,Foraging among seagrass roots.
21,140,75.09338712758017,70,A farensis,,False,11.289483156172672,s,female,22,159.92873708266345,,"['Shrimp', 'Polychaete Worm', 'Sea Star']",9,Retreating into burrow.
22,50,80.4113137174011,70,u. olhanen.,,True,53.31432245664165,a,nan,23,138.3381849122505,,"['Sea Star', 'Hermit Crab']",11,Slow movement near seagrass patches.
23,50,65.8016613187834,50,U. olhanensis,,False,40.04967935779378,j,?,24,146.92823898117706,,"['Algae', 'Barnacle', 'Snail']",7,Moving sideways along sandy bottom.
24,260,64.8954715675985,20,A. Farensis,,False,36.85933281713805,p,?,25,155.85915751990717,,"['Sea Sponge', 'Sea Urchin']",7,Retreating quickly from shadow.
25,160,71.95736826898128,60,A farensis,,False,25.200774829274643,s,male,26,175.0066379381909,,"['Algae', 'Sea Sponge']",9,Claw snapping in competition.
26,90,67.31021819185212,20,A. Farensis,,False,6.9191199323141985,s,male,27,109.55049195302846,,"['Coral Fragment', 'Crab (Other Species)']",10,Moving sideways along sandy bottom.
27,240,74.41493481963334,60,A. Farensis,,True,17.00691562684591,s,male,28,177.60773471533304,,"['Barnacle', 'Coral Fragment', 'Polychaete Worm', 'Sea Sponge']",9,Retreating into burrow.
28,60,65.5236133940318,50,A. Farensis,,True,24.33810508943261,s,?,29,186.47877270883265,,"['Sea Sponge', 'Shrimp', 'Mussel', 'Hermit Crab']",6,Camouflaging with surrounding mud.
29,250,62.06813128846174,60,A farensis,,False,86.59691350184082,p,male,30,153.993369848972,,"['Small Fish', 'Polychaete Worm', 'Shrimp', 'Hermit Crab', 'Snail']",8,Guarding eggs under abdominal flap.
30,350,77.8431473657179,90,A farensis,,False,155.4422000349625,s,female,31,135.1954065226619,,['Sea Star'],9,Rapid claw movement while feeding.
31,130,68.69565393670894,20,U. olhanensis,,False,4.880250497301709,a,?,32,113.20829130038143,,"['Sea Star', 'Sea Sponge', 'Sea Urchin']",10,Camouflaging with surrounding mud.
32,140,69.13539162370836,20,A farensis,,False,29.567200115664384,a,female,33,166.4097200897032,,['Jellyfish'],9,Color changes during molting.
33,120,82.77798112977331,20,A. Farensis,,False,9.97888073553921,s,male,34,129.7789584204923,,"['Algae', 'Barnacle', 'Crab (Other Species)', 'Small Fish', 'Shrimp']",4,Territorial display against intruder.
34,230,69.59686971895654,30,A. Farensis,,False,42.955044522114164,s,N/R,35,128.68771014619517,,"['Algae', 'Crab (Other Species)', 'Sea Sponge', 'Jellyfish']",8,Exchanging antenna taps.
35,220,64.1208022379337,50,A farensis,,False,14.42104762641669,a,male,36,118.2509029477605,,"['Polychaete Worm', 'Sea Anemone', 'Jellyfish']",5,Pausing frequently during exploration.
36,220,72.19281327141464,60,U. olhanensis,,False,3.5173750689377883,p,male,37,153.0362944219214,,"['Sea Urchin', 'Polychaete Worm', 'Hermit Crab', 'Small Fish', 'Sea Sponge']",3,Picking detritus from seabed.
37,310,79.3779700351992,50,A. Farensis,,False,11.930231483665416,p,?,38,155.86788996943912,,"['Polychaete Worm', 'Sea Anemone']",9,Crab moving quickly across rocks.
38,180,72.79853500484136,40,A. Farensis,,False,9.13830936858399,p, ,39,117.51405157961062,,"['Coral Fragment', 'Polychaete Worm', 'Barnacle', 'Sea Anemone']",12,Half buried in sand.
39,70,78.07954824999123,60,A farensis,,False,1.9496164587251787,s,male,40,177.43197118785386,,['Sea Anemone'],11,Climbing submerged rocks.
40,180,82.47286594314065,30,u. olhanen.,,False,36.543713149105635,p,male,41,151.0879812086436,,['Sea Urchin'],11,Moving sideways along sandy bottom.
41,160,56.71392120807191,80,A. Farensis,,False,26.037578010568836,s,male,42,199.6229034535946,,"['Sea Urchin', 'Coral Fragment', 'Sea Star', 'Barnacle', 'Hermit Crab']",8,Inspecting discarded crab shell.
42,90,67.14006456341538,50,A. Farensis,,False,25.912279452814758,s,female,43,120.75127996584436,,"['Jellyfish', 'Coral Fragment']",9,Crab moving quickly across rocks.
43,310,61.05419176632486,30,A farensis,,False,18.640694618278857,s,female,44,115.0899738280623,,"['Small Fish', 'Sea Sponge', 'Algae', 'Hermit Crab', 'Barnacle']",8,Rapid crossing of open sand.
44,180,49.24761305166498,40,u. olhanen.,,True,13.448919749138618,s,?,45,167.17107408419398,,['Algae'],6,Burrowing into sandy sediment.
45,200,57.09235749108852,60,u. olhanen.,,False,9.16283342630483,s,male,46,153.88485977774943,,['Sea Sponge'],11,Shaking claws after contact.
46,50,40.63429373573545,60,A. Farensis,,False,52.735234175208106,s,female,47,173.45722563004696,,"['Snail', 'Algae', 'Jellyfish']",6,Resting in shaded rock crevice.
47,90,49.44910793967783,20,A farensis,,True,10.630708971670899,a,male,48,146.53907438418634,,"['Crab (Other Species)', 'Snail', 'Mussel', 'Hermit Crab']",8,Climbing seaweed stalks.
48,90,99.0127849357051,40,A. Farensis,,False,9.360530116507375,p,female,49,178.7599418100322,,"['Sea Sponge', 'Jellyfish']",6,Moving sideways along sandy bottom.
49,270,75.17602853811893,50,A. Farensis,,True,92.87210226845767,s,female,50,148.9273484051046,,"['Coral Fragment', 'Snail', 'Jellyfish']",9,Sitting still blending with environment.
50,160,71.82581970519452,40,A. Farensis,,False,30.43126840306945,s,female,51,183.54103690021503,,['Hermit Crab'],8,Crab moving quickly across rocks.
51,220,49.8724549266009,40,A farensis,,False,1.6092219903885172,s, ,52,187.05664113707616,,"['Algae', 'Sea Urchin', 'Polychaete Worm']",9,Waving claws rhythmically.
52,220,97.34520711400543,40,U. olhanensis,,False,1.4652830773171874,s,female,53,150.53497139691675,,"['Sea Urchin', 'Jellyfish']",8,Slow movement near seagrass patches.
53,180,80.9293270268584,30,U. olhanensis,,False,6.1385791930534195,s,male,54,108.91730448773981,,"['Sea Urchin', 'Shrimp']",11,Camouflaging with surrounding mud.
54,150,89.5267755884228,20,A farensis,,False,5.831041100261322,j,male or female,55,137.92518242165198,,"['Sea Star', 'Sea Sponge', 'Coral Fragment']",5,Sitting still blending with environment.
55,180,82.77232188711164,40,A. Farensis,,False,8.101179157431348,s,female,56,170.50941727549719,,"['Sea Sponge', 'Small Fish']",10,Moving toward warmer water pockets.
56,170,87.8392521911055,60,A farensis,,False,14.781249296571685,s,female,57,144.40783370743222,,['Sea Sponge'],6,Feeding on detritus in shallow water.
57,220,75.06147458552546,30,u. olhanen.,,False,78.21182630890812,s,male,58,162.57081687292273,,"['Sea Urchin', 'Sea Anemone', 'Small Fish']",9,Picking biofilm on submerged wood.
58,60,70.90559779340636,30,u. olhanen.,,False,3.131514158086803,p,male,59,158.69732297195412,,['Sea Star'],11,Foraging among seagrass roots.
59,170,78.15382925863285,130,U. olhanensis,,False,46.84317039416584,s,male,60,170.88566115059578,,['Sea Anemone'],10,Inspecting discarded crab shell.
60,170,71.64647756036102,20,u. olhanen.,,False,36.2999066755994,a,female,61,127.00717393643654,,"['Coral Fragment', 'Crab (Other Species)']",8,Crab moving quickly across rocks.
61,190,78.54153099989246,60,A farensis,,False,47.983414840507336,p,female,62,154.27284969847054,,"['Jellyfish', 'Sea Star', 'Barnacle', 'Snail', 'Algae']",7,Burrowing into sandy sediment.
