,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,125,90,0
0,33.0,8.005368165664377,6.0,A. Farensis,-8.01873,False,7.312016662887486,adult,female,1.0,16.346942724310814,37.02606,"['Barnacle', 'Sea Sponge', 'Sea Star']",7.0,Swimming short distance to escape.,,,
1,27.0,6.160254843924623,3.0,U. olhanensis,,True,3.7682551884719944,pre_puberty,male,2.0,15.58037411619589,,['Polychaete Worm'],9.0,Guarding eggs under abdominal flap.,,,
2,46.0,7.373521483391149,7.0,u. olhanen.,,False,0.32854580273956474,pre_puberty,male,3.0,17.884842766970824,,"['Sea Anemone', 'Sea Urchin', 'Jellyfish', 'Sea Star', 'Coral Fragment']",7.0,Claw snapping in competition.,,,
3,29.0,6.4705275489854035,4.0,A farensis,,False,3.913318325571321,adult,female,4.0,14.638581533187812,,"['Mussel', 'Algae', 'Crab (Other Species)', 'Sea Sponge', 'Snail']",7.0,Feeding on detritus in shallow water.,,,
4,14.0,7.157428192729474,3.0,U. olhanensis,,False,0.7510028793627908,sub_adult,male,5.0,13.385441497340821,,"['Mussel', 'Small Fish', 'Snail', 'Hermit Crab', 'Algae']",8.0,Using claws to dig into sediment.,,,
5,28.0,5.206836505124464,4.0,u. olhanen.,,False,11.81851845964171,adult,male or female,6.0,16.19350064453387,,"['Algae', 'Sea Sponge']",9.0,Climbing algae-covered rocks.,,,
6,45.0,8.29450281697811,4.0,A. Farensis,,True,4.512139573361857,pre_puberty, ,7.0,15.7487620890483,,"['Shrimp', 'Jellyfish', 'Coral Fragment']",8.0,Scavenging near tidal pools.,,,
7,25.0,10.767543061506691,7.0,A farensis,,False,0.43631763394348555,sub_adult,male,8.0,13.827235928201612,,"['Coral Fragment', 'Algae', 'Shrimp', 'Sea Star']",7.0,Pausing frequently during exploration.,,,
8,42.0,6.975556202954007,3.0,A farensis,,False,6.585055567428564,juvenile,male,9.0,19.970473944593046,,"['Small Fish', 'Coral Fragment']",10.0,Foraging among seagrass roots.,,,
9,45.0,8.825247677454362,2.0,u. olhanen.,,False,1.1241947104845023,juvenile,female,10.0,18.38499933755341,,['Coral Fragment'],7.0,Color changes during molting.,,,
10,34.0,5.617881401655156,10.0,U. olhanensis,,False,0.777690434815566,adult,male,11.0,13.890635904415928,,['Hermit Crab'],7.0,Vibrating antennae in water currents.,,,
