,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,190,70.65256291463135,20,A. Farensis,-7.99163,False,12.498542878008527,p, ,1,161.7977388248357,37.01025,"['Polychaete Worm', 'Small Fish', 'Crab (Other Species)', 'Jellyfish']",8,Sitting still blending with environment.
1,210,41.31648525844015,50,A. Farensis,,False,68.24945927183863,a,male,2,175.3365719318818,,"['Barnacle', 'Sea Urchin', 'Algae', 'Shrimp', 'Sea Sponge']",7,Using claws to dig into sediment.
2,270,34.37134618965019,40,A farensis,,False,1849.9537665870116,j,male,3,176.1362309591927,,"['Small Fish', 'Polychaete Worm']",10,Rapid crossing of open sand.
3,280,64.76798108493361,20,A. Farensis,,False,4.215699052347587,j,male,4,170.73994823204396,,"['Shrimp', 'Coral Fragment', 'Sea Urchin', 'Hermit Crab']",8,Climbing seaweed stalks.
4,190,58.03653943461572,30,u. olhanen.,,False,797.3093445608903,s,?,5,177.2555857184179,,['Small Fish'],4,Exchanging antenna taps.
5,160,28.628899995224945,50,A. Farensis,,True,1247.375604630113,s,male,6,174.8062619051168,,"['Snail', 'Hermit Crab', 'Algae', 'Sea Sponge', 'Crab (Other Species)']",9,Emerging cautiously from hiding.
6,70,16.599141820660527,20,U. olhanensis,,False,75.59753614526012,s,female,7,170.7523206435779,,"['Shrimp', 'Sea Urchin', 'Mussel']",11,Camouflaging with surrounding mud.
7,210,34.79917498230033,40,A farensis,,True,8.229752120982859,s,female,8,154.4372707482436,,['Mussel'],6,Exploring new territory.
8,400,69.96115098351441,50,A farensis,,False,181.29794051688992,p,male,9,175.36751810917508,,"['Crab (Other Species)', 'Jellyfish', 'Sea Urchin', 'Polychaete Worm']",7,Resting under shell fragment.
9,60,55.0614108778008,20,A. Farensis,,False,1500.0,p,male,10,187.8006708276659,,"['Crab (Other Species)', 'Sea Sponge', 'Small Fish', 'Algae', 'Shrimp']",8,Emerging cautiously from hiding.
10,320,51.09312784658143,50,A farensis,,False,69.20705791033078,j,male,11,169.89701665423235,,"['Jellyfish', 'Sea Star', 'Coral Fragment', 'Algae', 'Crab (Other Species)']",10,Interaction with hermit crabs.
11,160,63.422153091025905,40,A farensis,,False,1.478908086354437,p,male,12,156.94103102133428,,"['Snail', 'Small Fish']",11,Crab moving quickly across rocks.
12,390,-4.503582911506525,70,A farensis,,False,488.17524840988875,j, ,13,165.63219693169177,,"['Algae', 'Snail', 'Crab (Other Species)']",8,Using claws to dig into sediment.
13,120,4.9654530548581555,30,A. Farensis,,False,376.55347358423506,a,male,14,185.15215710083905,,"['Shrimp', 'Crab (Other Species)', 'Mussel', 'Jellyfish']",6,Moving in groups.
14,80,58.69551579237996,40,A. Farensis,,True,60.584263113884106,p,male,15,179.28618240795797,,['Sea Anemone'],9,Moving sideways along sandy bottom.
15,70,59.58100667658183,40,A. Farensis,,False,1902.8607312278255,s,male,16,170.56679076386175,,"['Shrimp', 'Small Fish', 'Sea Star', 'Sea Anemone']",9,Searching for food in tidal pools.
16,110,40.157926941671676,20,A farensis,,False,110.7135530849751,s,female,17,185.13379938327665,,"['Polychaete Worm', 'Sea Anemone']",10,Defensive posture when approached.
17,90,26.9550476906959,30,A farensis,,False,63.01607764590301,p,nan,18,160.83048614576938,,"['Sea Star', 'Crab (Other Species)', 'Sea Sponge', 'Barnacle', 'Sea Anemone']",10,Camouflaging with surrounding mud.
18,190,39.903079437762095,40,A. Farensis,,True,336.5355566402824,a,female,19,156.44353212645404,,['Sea Sponge'],7,Using claws to dig into sediment.
19,160,62.56450534044024,80,A farensis,,False,130.54076039506444,j,male or female,20,169.7261589241107,,"['Coral Fragment', 'Sea Sponge', 'Jellyfish', 'Polychaete Worm', 'Barnacle']",11,Escaping predator silhouette overhead.
20,230,31.814138209484916,40,A farensis,,False,106.31669577071193,j,?,21,172.93331631841158,,"['Sea Anemone', 'Hermit Crab', 'Sea Star', 'Barnacle', 'Small Fish']",7,Struggling with entangled seaweed.
21,260,63.66887991570863,30,A farensis,,False,10.38954298549629,s, ,22,172.33997325808176,,"['Crab (Other Species)', 'Hermit Crab']",8,Claw snapping at diver.
22,140,71.17181671294496,40,A farensis,,False,12.915441461247179,s, ,23,170.0667460332724,,"['Shrimp', 'Polychaete Worm', 'Barnacle']",6,Moving in groups.
23,160,18.37163093931749,20,A farensis,,False,17.24850576516602,a,male,24,134.52785281724667,,"['Algae', 'Mussel', 'Coral Fragment']",6,Burrowing into sandy sediment.
24,200,38.666348152343545,30,u. olhanen.,,False,1500.0,s,female,25,173.69600764963008,,"['Mussel', 'Barnacle']",9,Interaction with hermit crabs.
25,220,16.19350456742374,30,A. Farensis,,False,289.48057140175143,s,male,26,161.68748434663303,,"['Sea Sponge', 'Shrimp']",7,Foraging among seagrass roots.
26,130,53.40507116433207,30,u. olhanen.,,False,40.12853991780173,p,male,27,166.48329286850202,,['Sea Anemone'],8,Retreating into burrow.
27,180,29.994584961780653,20,u. olhanen.,,False,1295.0879822367697,a,male,28,178.83792937308914,,"['Hermit Crab', 'Snail']",7,Retreating quickly from shadow.
28,180,40.719807558300396,30,A. Farensis,,False,60.18619048620114,s,male,29,189.21738382225578,,['Sea Urchin'],7,Struggling with entangled seaweed.
29,100,30.709895492261037,30,A. Farensis,,False,850.9864576172158,p,male,30,168.66884450326728,,"['Small Fish', 'Crab (Other Species)']",8,Retreating into burrow.
30,200,76.52143089844445,40,U. olhanensis,,False,63.61061492570399,p,-,31,167.52188852490195,,"['Coral Fragment', 'Sea Anemone', 'Mussel', 'Hermit Crab']",8,Climbing seaweed stalks.
31,50,50.19969899422294,80,A. Farensis,,True,1500.0,s,male,32,163.45247071948887,,"['Barnacle', 'Crab (Other Species)', 'Jellyfish', 'Sea Star']",9,Waving claws rhythmically.
32,160,30.547427518625312,60,A farensis,,False,131.94406448490045,p,female,33,142.5902004800699,,"['Barnacle', 'Small Fish', 'Shrimp', 'Mussel', 'Jellyfish']",7,Climbing seaweed stalks.
33,110,71.75696819591747,30,A farensis,,False,982.5146570137913,s,female,34,147.85619161000741,,['Sea Urchin'],11,Using claws to dig into sediment.
34,180,43.93339385618654,70,A. Farensis,,True,139.38109174681628,s,male,35,174.82661608874977,,['Polychaete Worm'],12,Crab moving quickly across rocks.
35,110,74.404213405555,70,A. Farensis,,False,364.8293932050644,p,nan,36,154.68101376629772,,['Hermit Crab'],11,Vibrating antennae in water currents.
36,180,22.107165963190198,40,u. olhanen.,,False,388.8407944963093,s,male,37,183.20132474766166,,"['Sea Sponge', 'Snail', 'Algae']",8,Using claws to dig into sediment.
37,190,42.32121178526019,30,u. olhanen.,,True,1500.0,a,male,38,139.41461054913745,,['Barnacle'],9,Color changes during molting.
38,330,45.938421034141484,50,A. Farensis,,False,16.537673686359565,p,male,39,166.62290807537846,,"['Hermit Crab', 'Sea Urchin']",8,Pausing frequently during exploration.
39,260,12.649438725571041,30,A. Farensis,,True,4.754543506399126,a, ,40,178.69355150008087,,"['Mussel', 'Small Fish']",12,Interacting with small fish nearby.
