species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
u. olhanen.,male,pre_puberty,True,Climbing vertical rock face.,"['Hermit Crab', 'Small Fish', 'Sea Anemone', 'Crab (Other Species)']",5.0,1.3636363636363635,1.596438463270274,2.1218843678255825,1.4068779004567729,2.8181818181818183,2021-02-10,37.1,-8.62,0
U. olhanensis,female,sub_adult,False,Interaction with hermit crabs.,"['Crab (Other Species)', 'Polychaete Worm', 'Small Fish', 'Mussel', 'Sea Star']",8.0,1.210944847491453,1.3168331070076809,1.894702347448254,1.293236719240443,3.0,2021-02-10,,,1
U. olhanensis,female,sub_adult,False,Exploring new territory.,"['Snail', 'Crab (Other Species)']",4.0,2.1697677087757916,1.7849641598073764,2.5722321203799052,2.2118441764387278,2.909090909090909,2021-02-10,,,2
U. olhanensis,male,sub_adult,,Guarding eggs under abdominal flap.,"['Sea Star', 'Jellyfish', 'Coral Fragment', 'Polychaete Worm', 'Small Fish']",7.0,2.6136363636363638,3.1096510325575726,4.090979817373076,2.67548561156249,2.909090909090909,2021-02-10,,,3
u. olhanen.,female,sub_adult,False,Feeding on detritus in shallow water.,"['Polychaete Worm', 'Barnacle']",6.0,1.618123422960147,1.7469459294517302,2.115203902331098,1.641512695334261,3.0,2021-02-10,,,4
A. Farensis,female,pre_puberty,False,Pausing frequently during exploration.,['Small Fish'],8.0,1.9294900632983043,2.8604960131706387,3.787188837705855,2.052161925096058,3.0,2021-02-10,,,5
U. olhanensis,female,sub_adult,False,Escaping from aggressive fish.,['Coral Fragment'],5.0,2.403855292016294,2.6135168820222856,3.714167406480628,2.5895565012005672,3.0,2021-02-10,,,6
U. olhanensis,male,adult,,Moving toward bait.,['Sea Star'],6.0,4.363636363636363,4.196019708295029,6.084804836707116,4.784903743237202,3.0,2021-02-10,,,7
u. olhanen.,female,adult,False,Inspecting discarded crab shell.,"['Polychaete Worm', 'Crab (Other Species)', 'Sea Star']",6.0,1.4611521695667982,1.328860304929915,1.6730938703212352,1.583247393402558,2.8181818181818183,2021-02-10,,,8
A farensis,male or female,pre_puberty,,Moving toward bait.,['Small Fish'],8.0,2.1818181818181817,2.821984582961633,3.471654041541299,2.3892190010182506,3.0,2021-02-10,,,9
u. olhanen.,male,pre_puberty,True,Swimming short distance to escape.,"['Small Fish', 'Polychaete Worm', 'Algae', 'Jellyfish', 'Coral Fragment']",6.0,1.9772727272727273,2.2287048995222496,3.0749698771587073,2.0393967117358307,3.0,2021-02-10,,,10
Ucides alvorensis,female,sub_adult,False,Struggling with entangled seaweed.,"['Sea Sponge', 'Sea Star', 'Algae', 'Jellyfish', 'Hermit Crab']",6.0,3.755143450152745,3.6157771924138724,5.202312579955277,3.8660399364029874,2.8181818181818183,2021-02-10,,,11
A farensis,male,sub_adult,,Hiding beneath rocks.,"['Small Fish', 'Hermit Crab', 'Crab (Other Species)', 'Sea Sponge']",7.0,3.977272727272727,4.224280549574387,6.306261463085332,4.295093723105213,3.090909090909091,2021-02-10,,,12
A farensis,male,adult,,Hiding beneath rocks.,"['Hermit Crab', 'Barnacle', 'Sea Star', 'Snail', 'Sea Anemone']",1.0,0.9545454545454546,0.9200790957960611,1.1826145381528614,1.0263710030633868,2.909090909090909,2021-02-10,,,13
