,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,U. olhanensis,female,sub_adult,True,Moving toward warmer water pockets.,"['Sea Star', 'Snail', 'Algae', 'Barnacle']",9.0,21.995032697757118,26.695948121425953,39.82310826365661,22.417087090542154,20.0,2022-12-03,37.02606,-8.01873,0
1,U. olhanensis,female,sub_adult,True,Picking detritus from seabed.,"['Snail', 'Sea Anemone', 'Small Fish', 'Sea Urchin']",8.0,23.704460761696208,28.24571161015882,38.25899990638006,25.92089498614586,20.0,2022-12-03,,,1
2,A farensis,nan,sub_adult,,Hiding beneath rocks.,"['Sea Urchin', 'Hermit Crab', 'Snail', 'Crab (Other Species)']",10.0,42.5,40.810459062195164,50.09620974036509,46.697385145051356,20.0,2022-12-03,,,2
3,u. olhanen.,female,adult,True,Foraging among seagrass roots.,"['Polychaete Worm', 'Jellyfish', 'Barnacle']",6.0,22.862971306115732,20.66951465390736,28.373310038393857,23.770588200145067,21.0,2022-12-03,,,3
4,A. Farensis,female,adult,True,Hiding under floating debris.,"['Crab (Other Species)', 'Snail', 'Jellyfish', 'Hermit Crab']",9.0,46.08922433431035,48.621007427601164,70.99982177904336,49.90925567059388,20.0,2022-12-03,,,4
5,A. Farensis,male,juvenile,,Feeding on algae scraped from rocks.,"['Sea Urchin', 'Snail']",8.0,18.5,18.121643341664598,24.05477666883847,19.895850030910964,19.0,2022-12-03,,,5
6,u. olhanen.,male,pre_puberty,,Exchanging antenna taps.,['Crab (Other Species)'],9.0,21.0,15.164333964711284,21.23642659840255,21.54960125546504,19.0,2022-12-03,,,6
7,U. olhanensis,male,adult,,Moving in groups.,"['Barnacle', 'Snail', 'Crab (Other Species)', 'Small Fish', 'Jellyfish']",10.0,63.0,67.8371635781983,97.98771472499952,65.316517596158,21.0,2022-12-03,,,7
8,u. olhanen.,female,adult,False,Slow movement near seagrass patches.,"['Hermit Crab', 'Mussel', 'Shrimp', 'Polychaete Worm', 'Sea Urchin']",7.0,59.431646959293836,57.204621625719845,82.30018589449614,63.78334049257791,19.0,2022-12-03,,,8
9,Ucides alvorensis,female,juvenile,False,Interaction with hermit crabs.,"['Crab (Other Species)', 'Hermit Crab']",8.0,7.005289632724393,10.227963215461838,13.23346349517852,7.404865362076708,18.0,2022-12-03,,,9
10,Ucides alvorensis,male,pre_puberty,True,Inspecting discarded crab shell.,"['Polychaete Worm', 'Small Fish', 'Sea Star']",6.0,20.25,24.360053980144954,31.356137849588123,21.336236490059417,21.0,2022-12-03,,,10
