species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,male,sub_adult,u. olhanen.,True,Guarding a small hole in sediment.,"['Sea Anemone', 'Sea Sponge']",4.0,4.886363636363637,4.538528076644443,6.420022942758058,5.083732084478388,2.8181818181818183,2021-05-28,37.1,-8.62,0
,female,juvenile,u. olhanen.,False,Resting under shell fragment.,"['Polychaete Worm', 'Coral Fragment', 'Algae']",5.0,1.188646118275049,1.0634463770917233,1.3816794526770846,1.2683628731597922,2.8181818181818183,2021-05-28,,,1
,male,sub_adult,A. Farensis,,Sideways walking along bay edge.,"['Sea Sponge', 'Snail', 'Algae', 'Sea Urchin', 'Jellyfish']",10.0,3.2954545454545454,3.901782153310259,4.928594149787556,3.489205283388238,2.8181818181818183,2021-05-28,,,2
,male,pre_puberty,u. olhanen.,,Guarding eggs under abdominal flap.,"['Polychaete Worm', 'Small Fish', 'Algae']",4.0,1.2954545454545454,1.661418796938276,2.3130761769352977,1.3700552922132394,2.8181818181818183,2021-05-28,,,3
,male,adult,u. olhanen.,,Hiding under seagrass blades.,"['Sea Urchin', 'Coral Fragment', 'Sea Anemone']",6.0,2.0454545454545454,2.2464500414501067,3.330308044708786,2.2278071466061644,2.727272727272727,2021-05-28,,,4
,female,sub_adult,A farensis,False,Picking biofilm on submerged wood.,"['Jellyfish', 'Snail']",6.0,2.7229721336943418,2.407582686252123,3.124749940112504,2.7957290696313426,2.727272727272727,2021-05-28,,,5
,male,juvenile,u. olhanen.,,Searching for mates at twilight.,"['Jellyfish', 'Polychaete Worm']",10.0,1.3636363636363635,1.1945824706832815,1.451717109163735,1.3663643270481187,2.8181818181818183,2021-05-28,,,6
,male,sub_adult,U. olhanensis,,Feeding on small mollusks.,"['Shrimp', 'Sea Urchin', 'Small Fish', 'Barnacle', 'Coral Fragment']",4.0,3.522727272727273,3.8929004104028824,5.430184051369657,3.5440411335700457,2.8181818181818183,2021-05-28,,,7
,female,pre_puberty,U. olhanensis,False,Moving in groups.,"['Shrimp', 'Sea Star', 'Algae']",10.0,2.0181388611515385,2.039196691157153,2.5257712964256647,2.0864840894991143,2.727272727272727,2021-05-28,,,8
,male or female,pre_puberty,Ucides alvorensis,,Slow movement near seagrass patches.,['Mussel'],5.0,1.2272727272727273,0.9590874119129557,1.3458180464197749,1.3163405671977684,2.909090909090909,2021-05-28,,,9
,male,sub_adult,A. Farensis,True,Cleaning claws with rubbing motion.,"['Crab (Other Species)', 'Mussel', 'Barnacle', 'Algae', 'Sea Anemone']",3.0,2.9545454545454546,2.4237556413698003,3.050193841408017,3.1186278272543677,2.8181818181818183,2021-05-28,,,10
,male or female,sub_adult,Ucides alvorensis,,Foraging among seagrass roots.,"['Snail', 'Shrimp', 'Coral Fragment']",5.0,1.1363636363636365,1.185733895326569,1.6847595201024381,1.2133761126789253,2.6363636363636362,2021-05-28,,,11
,female,adult,u. olhanen.,False,Scavenging near tidal pools.,"['Sea Sponge', 'Coral Fragment', 'Sea Anemone', 'Barnacle', 'Crab (Other Species)']",11.0,2.571514505400012,2.546731828171716,3.5237346797006563,2.742328200461986,2.909090909090909,2021-05-28,,,12
,nan,sub_adult,u. olhanen.,,Climbing onto submerged logs.,"['Coral Fragment', 'Mussel', 'Small Fish', 'Crab (Other Species)', 'Sea Sponge']",5.0,3.8636363636363638,3.5319259121791586,4.677808050358433,3.9930041425571927,2.727272727272727,2021-05-28,,,13
,female,sub_adult,A. Farensis,False,Claw snapping in competition.,"['Mussel', 'Algae']",4.0,1.0378997632982307,1.0996210763810308,1.6283458005800269,1.086145808908523,2.8181818181818183,2021-05-28,,,14
,male,juvenile,u. olhanen.,,Emerging cautiously from hiding.,"['Jellyfish', 'Snail', 'Sea Sponge', 'Coral Fragment', 'Sea Urchin']",5.0,0.7727272727272727,0.9862709896238658,1.225876324598474,0.8061591655330429,2.6363636363636362,2021-05-28,,,15
,female,adult,U. olhanensis,False,Defensive posture when approached.,"['Sea Urchin', 'Crab (Other Species)', 'Mussel', 'Sea Sponge', 'Shrimp']",2.0,2.890901913774588,3.1340857676105287,3.933692679749026,3.0768976949077387,2.8181818181818183,2021-05-28,,,16
,female,pre_puberty,u. olhanen.,False,Picking detritus from seabed.,['Sea Sponge'],4.0,1.5598767490252583,1.9158761302434157,2.461779371874822,1.5683933910025571,2.8181818181818183,2021-05-28,,,17
,male,juvenile,U. olhanensis,,Using claws to dig into sediment.,"['Jellyfish', 'Polychaete Worm', 'Hermit Crab', 'Small Fish', 'Mussel']",5.0,1.5454545454545454,1.9147536165758465,2.828266488968046,1.6216803138323614,2.8181818181818183,2021-05-28,,,18
,male,juvenile,A. Farensis,,Struggling with entangled seaweed.,"['Jellyfish', 'Mussel', 'Sea Anemone', 'Sea Star', 'Algae']",3.0,1.8636363636363635,1.5107137298648339,2.22494692612573,1.9806728761997758,2.8181818181818183,2021-05-28,,,19
,male,pre_puberty,u. olhanen.,True,Shaking claws after contact.,"['Mussel', 'Polychaete Worm', 'Small Fish', 'Sea Sponge', 'Crab (Other Species)']",5.0,0.5454545454545454,0.6369447594540797,0.8751610463909092,0.5843834190591607,2.727272727272727,2021-05-28,,,20
,female,pre_puberty,Ucides alvorensis,True,Sitting still blending with environment.,"['Algae', 'Sea Star', 'Crab (Other Species)', 'Polychaete Worm', 'Sea Urchin']",3.0,1.7476310947392164,1.234726598792428,1.6083610413229608,1.7547022738701017,2.8181818181818183,2021-05-28,,,21
,male,sub_adult,A farensis,,Sideways walking along bay edge.,"['Hermit Crab', 'Jellyfish']",5.0,1.8181818181818181,1.4944349178895526,1.9549663028398496,1.9052644765748041,2.8181818181818183,2021-05-28,,,22
,male,sub_adult,A farensis,,Moving in groups.,"['Sea Star', 'Jellyfish', 'Small Fish', 'Algae']",4.0,3.2954545454545454,3.7874553901373984,5.029830882208963,3.6034483106711304,2.727272727272727,2021-05-28,,,23
,female,juvenile,A farensis,False,Pausing frequently during exploration.,"['Crab (Other Species)', 'Sea Urchin', 'Sea Anemone']",4.0,2.378050978104783,1.632886554501155,2.3536993341384056,2.546701986978123,2.727272727272727,2021-05-28,,,24
,female,adult,u. olhanen.,False,Shaking claws after contact.,['Sea Sponge'],6.0,1.9173629774938332,2.173087007785004,3.0727049941967732,2.0460225408516006,2.727272727272727,2021-05-28,,,25
,male,sub_adult,u. olhanen.,,Claw snapping in competition.,"['Hermit Crab', 'Sea Sponge', 'Crab (Other Species)', 'Sea Star']",9.0,5.454545454545454,6.131078699001074,8.010631864129552,5.716750602047548,2.727272727272727,2021-05-28,,,26
,female,adult,U. olhanensis,False,Hiding under floating debris.,['Polychaete Worm'],6.0,1.2162687801474557,1.348295081539966,1.7376460022811957,1.3013466680927095,2.8181818181818183,2021-05-28,,,27
, ,adult,U. olhanensis,,Half buried in sand.,"['Mussel', 'Sea Anemone', 'Snail', 'Shrimp', 'Coral Fragment']",4.0,1.6363636363636365,1.7949042546616658,2.54778785593504,1.733694564191915,2.8181818181818183,2021-05-28,,,28
,female,juvenile,u. olhanen.,False,Claw waving directed at nearby crab.,"['Jellyfish', 'Snail', 'Polychaete Worm']",8.0,0.49695294143854823,0.5444318763181212,0.802188210263165,0.5100247732929888,2.909090909090909,2021-05-28,,,29
,male,adult,Ucides alvorensis,True,Moving sideways along sandy bottom.,"['Algae', 'Polychaete Worm', 'Sea Star', 'Sea Sponge', 'Jellyfish']",6.0,3.8181818181818183,3.683069969625332,4.751147969098874,3.8794655724849094,2.8181818181818183,2021-05-28,,,30
,male,adult,U. olhanensis,,Picking biofilm on submerged wood.,['Sea Urchin'],5.0,4.2272727272727275,4.521266815098546,6.507689110166828,4.584647819000028,2.727272727272727,2021-05-28,,,31
,male,sub_adult,A. Farensis,,Retreating quickly from shadow.,"['Polychaete Worm', 'Small Fish', 'Sea Star']",7.0,4.204545454545454,4.912903489112016,6.637266624551319,4.424782427325941,2.4545454545454546,2021-05-28,,,32
,female,juvenile,U. olhanensis,False,Color changes during molting.,"['Sea Anemone', 'Sea Star', 'Snail', 'Small Fish', 'Polychaete Worm']",6.0,2.279437114742303,2.193099605584649,3.2593178516229013,2.3779603598832444,2.8181818181818183,2021-05-28,,,33
,female,adult,A farensis,False,Crab moving quickly across rocks.,"['Barnacle', 'Sea Urchin', 'Sea Sponge', 'Snail', 'Coral Fragment']",6.0,4.11084905076758,3.4104641490800574,4.419631348012269,4.213399218290348,2.727272727272727,2021-05-28,,,34
,male,pre_puberty,A farensis,,Using claws to dig into sediment.,"['Sea Sponge', 'Snail', 'Shrimp', 'Mussel', 'Small Fish']",9.0,3.477272727272727,2.582991988538144,3.244561746121945,3.660747706508393,2.8181818181818183,2021-05-28,,,35
,male,adult,A. Farensis,,Crab moving quickly across rocks.,['Small Fish'],7.0,5.454545454545454,5.990674985755041,8.163245110859437,5.725789115838049,2.727272727272727,2021-05-28,,,36
,male or female,pre_puberty,Ucides alvorensis,,Pausing frequently during exploration.,"['Hermit Crab', 'Sea Sponge', 'Sea Anemone']",7.0,0.5454545454545454,0.5403663735672514,0.7596039645699747,0.5742276748776363,2.6363636363636362,2021-05-28,,,37
